,rule,type,coef,support,importance
741,eye_lmk_Y_5 <= 2.197906494140625 & eye_lmk_Y_54 > -2.8892303705215454,rule,0.028129722396946704,0.986328125,0.003266556650433397
1508,eye_lmk_Y_5 > -2.7853399515151978 & eye_lmk_Z_29 <= 1.6581955552101135,rule,-0.04773894508738225,0.947265625,0.010669783526523438
1297,eye_lmk_X_39 > -1.4497657418251038,rule,-0.016851847727480464,0.943359375,0.003895382685647803
1698,eye_lmk_Y_48 <= 1.5136759877204895,rule,-0.07835405762319425,0.92578125,0.0205386786438769
1794,eye_lmk_Y_38 <= 1.4413215517997742,rule,-0.013314877968817765,0.919921875,0.0036138457484993446
46,eye_lmk_Z_42 <= 2.3057481050491333 & eye_lmk_Z_43 > -1.458475410938263 & eye_lmk_Z_37 > -1.3737496137619019,rule,0.05928937556947302,0.90234375,0.017600009627790025
1271,eye_lmk_Z_23 > -2.0316731929779053 & eye_lmk_Y_38 > -1.1546748876571655 & eye_lmk_Y_29 > -1.1982364058494568,rule,-0.06364439783977822,0.8671875,0.021599125220272502
159,eye_lmk_Z_43 > -0.9503953754901886,rule,0.09039562447228336,0.853515625,0.03196309300674119
618,eye_lmk_X_55 > -0.9912276864051819,rule,-0.1152169120077874,0.853515625,0.04073968066434003
672,eye_lmk_Z_46 > -0.9389952421188354,rule,-0.16854704083276403,0.833984375,0.06271545413698884
1188,eye_lmk_Z_10 <= 0.9564025700092316 & eye_lmk_Z_12 > -2.5360958576202393,rule,-0.04210058216627555,0.8203125,0.016163548071833567
69,eye_lmk_Z_0 > -0.9601395130157471,rule,-0.15766543757443527,0.814453125,0.06129095235869187
1094,eye_lmk_X_8 > -0.8449512124061584,rule,-0.14594438272725244,0.814453125,0.05673450279508262
882,eye_lmk_Z_17 > -1.028241217136383 & eye_lmk_Y_38 <= 1.3946669697761536 & eye_lmk_Y_23 <= 1.2922762036323547,rule,-0.017848727485208042,0.8125,0.006966579213692669
345,eye_lmk_X_27 <= 0.9075351655483246,rule,-0.1184464520323932,0.80859375,0.04659778827387299
1564,eye_lmk_Z_3 > -0.847132533788681,rule,-0.07282680151216157,0.798828125,0.029194533626792626
