,rule,type,coef,support,importance
1549,Y_13 > -2.0618053674697876 & Y_12 <= 2.675833225250244,rule,0.2326578541817902,0.986328125,0.027017332419021038
700,X_2 > -1.6628957390785217,rule,0.05612714704697947,0.96875,0.009765710284859144
1290,Z_57 > -1.6140004396438599 & Y_25 > -2.517359972000122,rule,0.018673008296263803,0.958984375,0.003703349691973592
838,Y_1 <= 1.6618943214416504,rule,-0.13319673293068618,0.94140625,0.031282954141293014
584,Y_1 <= 1.7396974563598633 & Z_23 > -2.1095350980758667,rule,-0.3546269093170183,0.9375,0.08584150711886374
202,Y_2 <= 1.5189287662506104,rule,-0.1574342242148276,0.923828125,0.041763035882801135
1670,X_21 > -1.2915172576904297 & Z_17 > -2.631673216819763,rule,0.35660835848816197,0.921875,0.09570233902275252
1248,Z_18 > -1.2707512974739075 & Y_11 > -2.345672607421875 & Z_0 > -1.3339410424232483,rule,0.04703666201404611,0.90625,0.013710274249907253
681,Y_40 <= 1.2810063362121582,rule,-0.016690935923091416,0.904296875,0.004910200932269623
384,Z_6 <= 1.4391884207725525,rule,-0.12833083146612154,0.90234375,0.03809491747302127
1044,Y_17 <= 1.371969223022461 & Y_12 <= 2.80764102935791,rule,0.40810908783642363,0.896484375,0.12432274264907141
635,Y_17 <= 1.5011476278305054 & Y_15 <= 1.4558554291725159,rule,-0.011817534201462126,0.896484375,0.003599989088858145
85,X_15 > -1.0591205954551697 & X_15 > -1.074079155921936,rule,-0.06863342664910775,0.880859375,0.022234066990684358
1019,Z_49 <= 1.38494473695755,rule,-0.11387472174391194,0.8671875,0.038645889628217626
494,Z_40 <= 1.158811628818512,rule,-0.15288533698888146,0.861328125,0.052837753319156154
1001,Z_42 > -0.8090360164642334,rule,0.19822451438847294,0.849609375,0.07085612415967812
429,Y_48 > -1.051262617111206,rule,0.00010734184871379708,0.849609375,3.836976159814713e-05
1530,Z_40 > -0.9544595777988434,rule,-0.08132341455266655,0.845703125,0.029376708784575878
551,Z_7 <= 0.7823983728885651 & Z_8 <= 0.7815183997154236,rule,0.03239354723485068,0.822265625,0.012383696245975882
456,Z_54 > -0.8128681182861328,rule,0.01047668860496393,0.822265625,0.004005122637756968
7,Z_64 > -0.7470207214355469,rule,0.03190213728290712,0.814453125,0.01240165508958796
1388,Y_0 <= 0.9131782352924347,rule,-0.012603293555046004,0.8125,0.0049192214390306075
1152,Z_5 > -0.7581310272216797 & Z_26 > -1.5485799908638,rule,-0.3152849593655378,0.806640625,0.1245162163595506
1508,Y_2 <= 0.7867094576358795,rule,-0.28113016791083983,0.79296875,0.11390779381025108
1705,X_7 > -0.8462684154510498 & X_57 > -0.7609905004501343,rule,0.27201933110235554,0.78125,0.11245242217171408
1547,Z_6 > -0.7126141786575317,rule,0.07912401697575847,0.77734375,0.03291791566018103
188,Y_17 <= 0.8026832938194275,rule,0.04588028714115864,0.763671875,0.019491139516147938
1320,Z_0 > -0.6079488694667816 & Y_16 <= 3.204688310623169,rule,0.1265785295238554,0.755859375,0.05437516328982305
39,X_21 > -0.7798009812831879 & X_53 > -1.2382606267929077 & Z_0 > -2.6732715368270874 & X_59 > -1.1197723150253296,rule,0.06825144179925334,0.75390625,0.029398203654014844
1715,X_0 <= 0.6761457622051239,rule,-0.03088161178783756,0.75390625,0.013301754344961045
1499,Z_24 > -0.6508157849311829,rule,-0.20708823869461038,0.75390625,0.08919990633167833
417,Z_39 <= 2.165566921234131 & Y_17 <= 0.7891646325588226,rule,0.005074693860918696,0.75,0.0021974068999922624
250,Z_25 > -0.618631511926651,rule,0.04578593757282224,0.744140625,0.019978380786176635
935,Z_7 > -1.4639551639556885 & Z_15 > -0.5829274654388428,rule,-0.20021743361631417,0.7265625,0.08924161418127062
1644,X_35 > -0.6136633157730103,rule,0.17792014486152732,0.716796875,0.0801626740313495
1872,Z_48 <= 0.8717060387134552 & Z_17 > -2.487858533859253 & Z_41 <= 0.6119768917560577,rule,0.005789025896722994,0.7109375,0.0026243217565057693
609,Z_9 <= 0.4395700544118881,rule,-0.09578375399851427,0.69921875,0.04392621337511333
970,X_55 <= 0.33415432274341583,rule,-0.09666397482578032,0.693359375,0.04457164790409104
103,Y_24 > -2.7963356971740723 & Z_24 <= 0.5598720908164978 & Z_27 <= 0.2726958990097046,rule,0.11099003351376954,0.67578125,0.05195245979926407
460,Y_40 > -2.971226692199707 & Z_21 <= 0.24563082307577133,rule,0.0625438579473701,0.66015625,0.029624271549725033
667,Z_30 > -0.4132641851902008,rule,0.06540962493873943,0.66015625,0.030981659186765317
1074,Z_59 > -0.4530957490205765 & Z_7 > -0.7535320222377777 & Z_34 > -0.7107966244220734,rule,0.14441652151291431,0.66015625,0.06840374722591247
58,Z_60 > -0.612757533788681 & Y_0 <= 1.1536155343055725,rule,-0.1855648919238002,0.64453125,0.0888215844235723
1205,Z_54 > -0.2825744152069092,rule,0.17847139557375225,0.638671875,0.08573504876688724
1188,Z_2 > -1.7194977402687073 & X_12 > -0.7685837745666504 & X_18 > -0.4798615425825119 & X_15 > -0.6664566993713379,rule,0.26241534229921065,0.630859375,0.12663432070550645
679,X_45 > -0.42235641181468964,rule,0.04609544749578924,0.62890625,0.022268594693030722
56,Z_2 > -0.2757558971643448,rule,0.11386625451368529,0.62109375,0.05523819760181116
821,Z_45 > -1.1330319046974182 & Z_63 > -1.4127299189567566 & Z_16 > -0.34432855248451233 & Z_15 > -0.26069851219654083,rule,-0.10236123844213645,0.611328125,0.04989583302206837
622,Z_33 > -0.27455468475818634,rule,0.07854442539598026,0.607421875,0.03835514502017474
1316,Z_25 > -0.3779490739107132,rule,0.0013423607536730093,0.607421875,0.000655507263780356
1488,Z_18 > -0.3422888219356537,rule,-0.08772980208087412,0.60546875,0.04287792104674869
1164,Y_13 > -0.3624506741762161,rule,-0.2962521707930168,0.603515625,0.14491683453212015
1635,Z_58 <= 1.2865229845046997 & Z_12 > -1.4664254784584045 & X_11 > -1.93490469455719 & Z_9 <= 1.3588072061538696 & X_25 <= 0.47950175404548645 & Z_60 <= 1.5178276896476746 & Z_10 > -1.441615343093872,rule,0.11523449343539979,0.6015625,0.05641608929419466
1055,Z_17 > -0.3601890504360199 & Y_45 <= 2.34250807762146 & Z_37 > -0.29380936920642853,rule,0.2424144303376433,0.5859375,0.1194035023142826
683,X_5 <= 0.9857722222805023 & Y_48 <= 0.6431792080402374 & X_38 <= 1.2087751030921936,rule,0.284241366867945,0.5859375,0.1400057523776927
1731,Z_21 <= 2.0628039836883545 & X_26 > -0.3890956789255142,rule,0.036967421723938604,0.5859375,0.01820865044716742
1005,Z_0 > -0.2950212210416794,rule,-0.18521528690023248,0.5859375,0.09122952749648355
107,Z_0 > -0.25121134519577026,rule,-0.09384324925866588,0.576171875,0.04637393516048515
1129,Z_15 <= 0.8583725690841675 & Z_9 > -2.1210182905197144 & X_44 <= 1.3277851343154907 & Z_37 > -0.61886265873909,rule,0.5762395053060255,0.56640625,0.2855673517932493
1233,Y_15 <= 0.7526615560054779 & X_5 > -0.6317018568515778 & X_5 > -0.6415345668792725 & Z_24 > -1.2045412063598633,rule,0.048625223940580706,0.5625,0.024121921873425135
828,Z_57 <= 0.06999673694372177 & Z_17 <= 1.2670840620994568,rule,0.026381967979845048,0.556640625,0.013106073117686972
130,X_7 > -0.1918214112520218,rule,-0.1954020775958855,0.5546875,0.09711488708580876
805,Z_56 > -0.16559652984142303,rule,0.029596896951716845,0.552734375,0.01471591187260191
1054,Z_15 <= 0.015497760847210884 & Z_38 <= 2.2970480918884277 & Z_11 > -2.0560206174850464,rule,0.08558729492188356,0.55078125,0.042572368378573
