,rule,type,coef,support,importance
277,Z_22 > -2.133855938911438,rule,-0.04833712311260046,0.994140625,0.003689184339730524
1110,pose_Rx > -2.2634867429733276,rule,-0.1491535781809164,0.984375,0.018497966016662554
1878,Z_19 <= 2.3553504943847656 & Y_12 > -2.093962788581848,rule,0.03445661168731254,0.966796875,0.006173474630360584
209,Y_54 > -1.8415662050247192 & Z_19 > -2.6680232286453247,rule,0.001493789085383966,0.96484375,0.00027511802675384434
1808,Z_25 > -1.7251652479171753,rule,-0.21173836110390476,0.95703125,0.04293771872246975
505,Y_15 <= 1.527849018573761,rule,-0.18989187279355071,0.94140625,0.04459853194369406
1326,Y_25 > -1.6051987409591675,rule,0.1552959660688777,0.939453125,0.03703766496857129
1674,Y_16 <= 1.6285720467567444,rule,-0.10088523671125976,0.935546875,0.02477321563979272
788,Y_2 <= 1.5189287662506104,rule,-0.23031815027784333,0.923828125,0.06109716754718209
704,X_21 > -1.2915172576904297 & Z_17 > -2.631673216819763,rule,0.27312718674633374,0.921875,0.07329864822334495
1912,Y_45 <= 2.216280937194824 & Z_9 > -1.696600317955017 & pose_Tz > -1.144287347793579,rule,0.22713242513095508,0.91796875,0.06232793682646107
1928,Y_61 > -1.4210224747657776,rule,0.14941247864938748,0.900390625,0.04474581886305876
1553,Y_0 <= 1.208480417728424 & Z_7 > -2.42225182056427,rule,-0.08933174810747482,0.890625,0.027881254232668025
1727,Z_65 > -1.7477980852127075 & X_58 > -1.1596972942352295,rule,0.12835751565955503,0.884765625,0.04098514242840816
1558,Y_7 <= 1.2568705677986145,rule,-0.24691558379573716,0.875,0.08165965369373131
1743,X_49 > -0.8834527730941772,rule,0.09384750637890553,0.849609375,0.03354615641044347
163,Y_11 <= 1.0396681427955627,rule,0.05773217500870815,0.845703125,0.02085477229479389
1541,X_12 > -1.0447514653205872 & X_33 > -1.0818225145339966 & pose_Tz > -1.9165325164794922,rule,0.05996511257224178,0.841796875,0.02188314997909896
490,X_35 > -1.1465390920639038 & X_9 > -0.9950189590454102,rule,0.0009699901424251774,0.83984375,0.0003557447616070041
1829,Y_5 > -0.856128990650177 & Y_14 > -1.113351285457611 & Y_13 > -1.0344833731651306,rule,0.34552924165730914,0.83984375,0.12672316173678033
944,Z_52 > -0.8552759289741516 & Z_19 <= 2.750614285469055,rule,0.0013167385289355698,0.83984375,0.00048291504582076146
1516,Z_5 > -1.0245920419692993 & Z_6 > -0.900749921798706 & Y_13 > -2.0618053674697876 & Y_12 <= 2.675833225250244,rule,0.4284919199826445,0.82421875,0.1630985710643465
1721,pose_Tz > -0.7284629940986633,rule,0.10419585743390868,0.8203125,0.04000359766682749
10,Z_55 > -1.1605784893035889 & Z_13 > -0.8675846457481384,rule,-0.09565877309818041,0.8203125,0.036725980922506625
1351,Y_0 <= 0.9131782352924347,rule,-0.3835193680608505,0.8125,0.14969235536793937
1697,Z_2 > -0.7173710465431213,rule,-0.16747205796154047,0.810546875,0.06562696370165262
1159,Z_58 > -1.77546626329422 & Z_5 > -0.7581310272216797,rule,-0.05051008512942577,0.80859375,0.019871074330808956
25,Z_14 > -1.904545247554779 & Z_23 <= 2.781011939048767 & Z_58 > -0.77573162317276,rule,-0.044416498131835416,0.806640625,0.01754151007535094
