,rule,type,coef,support,importance
1826,AU23_r <= 5.294052362442017,rule,0.019123615164938178,0.99609375,0.001192889237953281
975,AU05_r <= 4.195568323135376,rule,0.06447597578618652,0.99609375,0.004021870182939695
893,AU05_r <= 4.120759129524231,rule,0.055051018320273544,0.99609375,0.0034339619745655716
430,AU04_r <= 3.5615910291671753,rule,0.010077214385770543,0.994140625,0.0007691128289428682
925,AU23_r <= 4.682775378227234,rule,0.04958853238589426,0.994140625,0.003784694357628663
1048,AU23_r <= 3.7853689193725586 & AU12_r <= 5.575706481933594,rule,0.04922094942232306,0.9921875,0.004333530697993389
616,AU05_r <= 3.97114098072052,rule,0.03794582468504643,0.9921875,0.003340841614459924
1743,AU04_r <= 3.197479009628296,rule,0.013316363302128955,0.9921875,0.0011724046332441686
310,AU12_r <= 3.970301032066345,rule,0.04421099701526502,0.990234375,0.004347597494280301
1720,AU23_r <= 3.707333564758301,rule,0.0002545982319814814,0.990234375,2.5036545432999397e-05
413,AU04_r <= 3.2133100032806396,rule,0.10001309465873955,0.990234375,0.009835034473061591
718,AU04_r <= 3.767393469810486,rule,0.013137091398318075,0.98828125,0.001413774499868725
646,AU12_r <= 3.161905527114868,rule,0.04629962077169016,0.986328125,0.005376531343257227
705,AU12_r <= 3.6856547594070435,rule,0.15901501923789715,0.986328125,0.018465577487061458
981,AU12_r <= 3.2074488401412964,rule,0.020844341136812265,0.984375,0.002585106698015561
1197,AU12_r <= 3.2188347578048706,rule,0.09990008715165327,0.98046875,0.013824446899607577
1788,AU12_r <= 3.2416064739227295,rule,0.01479079142379561,0.98046875,0.002046790112715629
1287,AU12_r <= 5.040571451187134 & AU04_r <= 3.767393469810486,rule,0.12821546508523918,0.98046875,0.01774280623087569
1105,AU12_r <= 3.571796178817749 & AU04_r <= 3.5615910291671753,rule,0.09102334777039993,0.978515625,0.013197693829155133
1053,AU12_r <= 3.127747893333435,rule,0.09961246675640036,0.9765625,0.015070211907116349
1277,AU12_r <= 3.1391338109970093,rule,0.05032684057385675,0.974609375,0.007916836119658014
13,AU10_r <= 2.234383702278137,rule,9.604527129617872e-05,0.974609375,1.5108730535231178e-05
394,AU23_r <= 3.304150938987732,rule,0.021772222827027923,0.97265625,0.0035506797121420174
316,AU10_r <= 2.0031787157058716,rule,0.04324673918496859,0.970703125,0.0072930170694774825
1751,AU12_r <= 3.2643781900405884,rule,0.007832648462623307,0.96484375,0.0014425749996289181
821,AU04_r <= 2.35843825340271 & AU23_r <= 4.708787202835083,rule,0.05914970176241036,0.96484375,0.010893873433122488
322,AU10_r <= 1.9821600317955017,rule,1.1259032709174626e-05,0.958984375,2.232962929909116e-06
1692,AU04_r <= 1.5985523462295532 & AU12_r <= 3.6514972448349,rule,0.08510405469400793,0.91015625,0.0243361663474292
909,AU07_r <= 0.4314742684364319,rule,0.08311865327161934,0.884765625,0.02654016654412554
