,rule,type,coef,support,importance
346,pose_Rx <= 1.548622965812683,rule,0.1710477137102923,0.970703125,0.028845039401672184
1356,Z_20 <= 2.5053281784057617 & AU04_r <= 2.580228090286255 & AU12_r <= 3.9592233896255493,rule,0.004212891108200999,0.962890625,0.0007963620081684719
856,AU04_r <= 3.5617398023605347 & Z_22 <= 2.0053879022598267 & eye_lmk_X_15 > -2.6626787185668945,rule,0.14634273358518968,0.947265625,0.03270799732117178
618,gaze_1_y > -1.569492220878601,rule,-0.07226943523147979,0.943359375,0.016705414815918324
1188,Y_0 <= 1.555420160293579,rule,-0.020016843049618795,0.9296875,0.00511776511575324
1535,Y_2 <= 1.5189287662506104,rule,-0.06285284564964531,0.923828125,0.016673157703120788
1706,pose_Rx <= 1.8917128443717957 & AU14_r <= 1.5858372449874878,rule,-0.07540847056964113,0.921875,0.020237234612891498
1670,Y_14 <= 1.4680776596069336,rule,-0.05259229652494245,0.921875,0.014114099325527318
436,Y_15 <= 1.4759466052055359,rule,-0.05249128261956105,0.912109375,0.01486215961002277
1283,pose_Tz > -1.0056792497634888,rule,0.028965973666379406,0.912109375,0.008201303195609496
1641,Y_21 <= 1.4215712547302246 & Y_24 <= 1.4029836654663086 & eye_lmk_X_3 > -2.5689715147018433,rule,0.03797498576264193,0.900390625,0.011372690217192762
1778,Y_14 <= 1.331681251525879,rule,-0.0406223509960535,0.900390625,0.01216551907773639
591,Y_17 <= 1.371969223022461 & Y_26 <= 2.3223878145217896,rule,0.06639462533729454,0.896484375,0.020225871378778165
1541,Z_60 <= 1.2910636067390442,rule,-0.06219444549003456,0.88671875,0.019711676466791
897,gaze_0_z > -1.148589849472046,rule,-0.06382887839723846,0.88671875,0.02022968755957648
788,X_15 > -1.074079155921936,rule,-0.1072573352266817,0.88671875,0.03399374130632385
1897,AU05_r <= 4.170972108840942 & Z_17 > -1.429934024810791 & gaze_1_z > -1.4988353848457336,rule,0.16287675284785316,0.875,0.05386642279864385
1289,Z_60 <= 1.1639760732650757,rule,-0.1760630859878388,0.873046875,0.05861500261521321
911,Z_9 > -1.052933156490326,rule,-0.05260209100974196,0.8671875,0.01785167570330093
1870,X_8 > -0.8928347527980804 & X_60 > -0.9191778004169464,rule,0.1549252353650798,0.859375,0.05385732638097395
1192,gaze_angle_x > -2.060612916946411 & gaze_0_z <= 1.189627766609192,rule,-0.2444704578928725,0.853515625,0.08644259087370305
1637,Y_0 <= 1.2520495653152466 & AU05_r <= 2.475198268890381,rule,-0.049144000953427316,0.84375,0.017843802867996132
65,AU14_r <= 1.6019046902656555 & Z_52 > -1.0911426544189453 & AU05_r <= 3.522588014602661 & eye_lmk_Z_1 <= 3.3653844594955444 & Z_24 > -1.991331934928894 & AU23_r <= 3.2784136533737183,rule,-0.07277059471097591,0.83203125,0.027204452398357896
484,AU26_r <= 0.8553544580936432 & AU20_r <= 4.425762414932251,rule,0.0943252929582577,0.826171875,0.035745665642988256
1631,Y_14 <= 0.8416644036769867,rule,0.0003435106611925431,0.818359375,0.00013243986980499434
1572,X_5 <= 0.9857722222805023,rule,-0.09338756733119528,0.814453125,0.036303536325062724
622,Z_24 > -1.6831852793693542 & AU17_r <= 1.0124524235725403,rule,-0.0859891306103995,0.806640625,0.03395988572750322
301,AU23_r <= 3.3174333572387695 & AU04_r <= 0.7755130231380463,rule,0.14700222746966246,0.806640625,0.05805592882636284
1069,Y_2 <= 0.7867094576358795,rule,-0.04018401999693162,0.79296875,0.016281685805164713
1138,AU20_r <= 0.4670327752828598 & AU04_r <= 3.7358789443969727,rule,0.013835745512409623,0.79296875,0.005605941399851789
1437,Z_35 > -1.3291175365447998 & Z_45 > -0.6672919392585754,rule,0.12189119372425479,0.7890625,0.049728450778057945
161,AU10_r <= 0.7001963257789612 & eye_lmk_Z_52 > -2.891272783279419,rule,0.006787976450718664,0.775390625,0.002832791036423947
472,X_14 > -0.8486766815185547 & eye_lmk_X_42 > -0.7732446789741516,rule,-0.11458124835504076,0.76953125,0.048253931475120644
765,Y_3 <= 0.6605094969272614,rule,0.026013458920969672,0.765625,0.011019497691361938
744,Z_25 > -0.6973452568054199 & Z_25 > -1.2135257720947266 & Z_34 > -0.6922394633293152,rule,-0.14142651420330196,0.751953125,0.06107916644164546
803,Y_4 <= 0.6920706629753113,rule,0.006758419829820538,0.751953125,0.0029188207882626864
542,gaze_1_x <= 1.124163269996643 & Z_49 > -0.7620444297790527,rule,0.11076772868974787,0.73046875,0.049149446782016715
1742,Z_58 > -0.6429166495800018,rule,-0.13968077544825108,0.73046875,0.061978636924059784
294,AU14_r <= 0.5093165934085846 & AU04_r <= 3.577570676803589,rule,0.1697106169782472,0.73046875,0.07530336711045699
1177,AU05_r <= 0.3305433690547943 & Y_25 > -1.6051987409591675,rule,-0.057016789000922434,0.728515625,0.025356809662124554
1396,AU06_r <= 0.47998960316181183 & Y_66 <= 1.2875216007232666,rule,0.1650437199971062,0.72265625,0.07388802821708775
1351,Z_38 > -2.7211711406707764 & gaze_0_z > -0.6624922156333923,rule,0.018840981855956104,0.71875,0.008471078879527244
1811,eye_lmk_X_32 > -0.7568500638008118 & Z_47 > -1.5805723071098328 & Z_59 > -1.6097283959388733,rule,0.342563237064091,0.71875,0.15401958478500147
293,AU23_r <= 3.6816171407699585 & Z_15 > -1.7273958921432495 & Z_7 > -1.4396104216575623 & gaze_0_x <= 0.8327020406723022,rule,0.02667131175470011,0.71484375,0.012041799323074672
1124,AU05_r <= 0.031289187259972095,rule,0.050814151668063114,0.708984375,0.02308134780421571
1451,AU17_r > -0.6037724614143372,rule,-0.07245937996887228,0.70703125,0.03297801925910915
1307,AU25_r <= 0.24653436988592148,rule,0.3848635748883537,0.697265625,0.17682220652996397
1611,X_14 <= 0.4751734584569931 & X_31 <= 0.4663774073123932,rule,0.28901372094135963,0.689453125,0.13373171535818432
440,X_6 <= 0.8353700041770935 & X_8 > -1.1317001581192017 & AU12_r <= 3.822586178779602,rule,-0.009078366960330913,0.6875,0.004207935707281585
1780,X_32 <= 0.2884240299463272,rule,-0.053931961210115585,0.6796875,0.025164470611128704
954,Z_34 > -0.3651689738035202,rule,-0.1521790577391407,0.677734375,0.07111998219550197
461,AU20_r <= 0.02717390889301896,rule,0.04441466376359365,0.673828125,0.020822084318662084
75,gaze_0_x <= 0.4942856729030609 & Z_15 > -1.8210486769676208,rule,0.027695000306606002,0.673828125,0.012983721652356905
1652,Z_8 <= 0.4084630161523819,rule,-0.14874881410818078,0.66015625,0.07045576346678835
386,X_6 <= 0.332927405834198,rule,0.18339423479001205,0.65234375,0.0873371372772528
1736,Z_7 <= 0.835514098405838 & Z_21 > -2.4764204025268555 & Z_33 <= 0.2822318822145462,rule,-0.1397503931289158,0.6484375,0.06672496761780218
1475,Y_47 > -0.9243085980415344 & Y_4 <= 0.8087114989757538,rule,0.25097563818756563,0.646484375,0.11998166670949438
551,AU17_r <= 0.6892074346542358 & AU26_r <= 2.9015883207321167 & Z_17 <= 0.6662144958972931,rule,0.16390159666923643,0.640625,0.07864281611332227
889,Z_21 > -2.4745662212371826 & eye_lmk_X_39 > -0.3630138784646988,rule,0.016685488577172947,0.634765625,0.008033993032997714
1233,AU15_r <= 1.4742019176483154 & AU04_r > -0.680923730134964,rule,-0.1189363356802721,0.6328125,0.05733185884181018
1801,AU12_r > -0.5725774466991425,rule,-0.1683145941341235,0.630859375,0.08122392580497327
56,AU12_r <= -0.2765301614999771,rule,0.027738270387075332,0.61328125,0.013508490927718414
1496,AU10_r <= 1.8560131788253784 & Z_58 > -1.5967698097229004 & Z_18 > -0.9612638056278229 & eye_lmk_Z_9 > -0.47602637112140656,rule,0.12391811036900069,0.61328125,0.06034791089496451
1455,AU02_r <= -0.25984837114810944 & Z_25 > -1.594984769821167,rule,-0.022401686222353865,0.61328125,0.010909583433913909
204,Y_11 <= 0.31022119522094727,rule,0.15680066915623106,0.61328125,0.07636166160324376
364,Z_33 > -0.27455468475818634,rule,0.014868001564021982,0.607421875,0.0072604052200174705
105,eye_lmk_Z_36 > -1.360768735408783 & gaze_0_z <= 0.2523021697998047,rule,0.004529524307898724,0.607421875,0.0022118764104009005
414,Z_19 > -0.3354111909866333,rule,-0.07263556042817856,0.607421875,0.03546970316224419
1579,Y_58 > -0.29817281663417816 & eye_lmk_Y_47 > -0.3317456692457199,rule,0.4407067315890642,0.599609375,0.21593639242871415
