,rule,type,coef,support,importance
1989,gaze_0_y <= 2.06567519903183,rule,0.056817332788196326,0.998046875,0.002508541739325943
929,gaze_0_y <= 2.020587682723999,rule,0.0012198920119612757,0.998046875,5.3859445336562895e-05
135,gaze_0_y <= 2.0651239156723022,rule,0.04981603715181171,0.998046875,0.0021994275751904507
267,gaze_1_z <= 5.91755747795105,rule,0.013693425661899683,0.998046875,0.0006045783591300256
1350,gaze_0_x <= 3.665068507194519,rule,0.014401927637243376,0.998046875,0.0006358594258455291
659,gaze_1_x <= 5.045897126197815,rule,0.08760376276671916,0.998046875,0.003867793235587735
1090,gaze_0_y <= 2.0635728240013123,rule,0.060067329498324565,0.998046875,0.0026520323257359125
128,gaze_0_y <= 2.0406854152679443,rule,0.015887991218752416,0.998046875,0.0007014706106472571
1516,gaze_1_z <= 5.0169923305511475,rule,0.10487550320780491,0.99609375,0.006541904238425397
954,gaze_0_z > -1.386709988117218,rule,0.0850865505399425,0.99609375,0.005307512703965954
23,gaze_0_y <= 2.070795178413391,rule,0.091485802246739,0.99609375,0.0057066840126412804
837,gaze_0_y <= 2.0717251300811768,rule,0.06817903121408167,0.99609375,0.0042528586717469515
745,gaze_0_z > -1.3874878883361816,rule,0.03423203028358403,0.99609375,0.0021353190893239875
1262,gaze_1_z > -1.6686456203460693,rule,0.09657484360187218,0.994140625,0.007370782075672935
345,gaze_1_z > -1.644372820854187,rule,0.03672876871866768,0.994140625,0.0028032118928313175
1731,gaze_1_z > -1.6644424796104431,rule,0.019402137778847726,0.994140625,0.0014808093291832694
663,gaze_1_z > -1.667958378791809 & gaze_0_y <= 2.0998207330703735,rule,0.10847040554392143,0.9921875,0.009549995230997935
1808,gaze_1_z > -1.6450202465057373,rule,0.05341868102664962,0.9921875,0.004703109078394074
957,gaze_1_z > -1.6451297402381897,rule,0.05457882228714178,0.990234375,0.005367143177848215
841,gaze_1_z > -1.613426685333252 & gaze_0_y <= 1.986530363559723,rule,0.05065295311894402,0.98046875,0.00700949399211375
1891,gaze_0_x > -2.184655547142029,rule,0.003135675765813532,0.9765625,0.0004743914070352343
1152,gaze_1_z > -1.6643229722976685 & gaze_0_x > -2.191954016685486,rule,0.12357896857184396,0.97265625,0.020153630616473923
299,gaze_0_x > -2.180161952972412,rule,0.046102377107649486,0.97265625,0.007518514594405207
1212,gaze_0_x > -2.1656064987182617,rule,0.04099625284369488,0.96875,0.007133046112271666
1587,gaze_1_z > -1.494343340396881,rule,0.05644687308766776,0.953125,0.011931236649290208
1000,gaze_1_z <= 6.193213939666748 & gaze_1_z > -1.475598394870758,rule,0.0637129181679469,0.951171875,0.01373067921461766
