,rule,type,coef,support,importance
1207,pose_Tz > -1.8051509857177734,rule,0.06039818816344651,0.978515625,0.008757278376835143
154,pose_Tz > -1.7977255582809448,rule,0.07589515378294157,0.96484375,0.013977960579070229
1883,pose_Rx > -1.6828731298446655,rule,0.09594279688919667,0.95703125,0.019455920999850423
1738,pose_Rx > -1.6828730702400208,rule,0.10409329898897837,0.951171875,0.02243299691659695
1813,pose_Rx <= 1.9738197922706604 & pose_Ty <= 2.4405077695846558 & pose_Ty <= 1.5688024163246155,rule,-0.04722551138368856,0.94140625,0.011091514592057117
1827,pose_Tz > -2.4709649085998535 & pose_Ty <= 1.5545640587806702,rule,-0.10048428754136862,0.939453125,0.023965228915940568
1723,pose_Rx > -1.4218901991844177,rule,0.07112102002023103,0.896484375,0.02166567844835308
1306,pose_Rx > -1.6799407005310059 & pose_Ty > -1.7028610706329346 & pose_Ty > -1.7250096797943115,rule,0.1070535829144847,0.888671875,0.03367242329009625
271,pose_Tz <= 1.2170008420944214 & pose_Tz <= 1.1254204511642456,rule,0.05188954841835147,0.865234375,0.01771888292697704
1641,pose_Tz <= 1.8877650499343872 & pose_Tx <= 1.7836304903030396 & pose_Tz > -1.2630943059921265,rule,-0.4928550709750741,0.849609375,0.1761729633162243
806,pose_Rx <= 1.2935048341751099 & pose_Rx <= 1.3081668019294739 & pose_Tx <= 1.3029291033744812,rule,-0.028146784211799593,0.845703125,0.010167549992343778
125,pose_Tx <= 0.9075134694576263,rule,0.000734358200218135,0.828125,0.0002770526140550945
774,pose_Rx <= 0.9005642831325531,rule,0.007746638848389355,0.818359375,0.002986701597397959
416,pose_Tx > -0.7865712344646454,rule,0.07834751682606288,0.796875,0.03152114803269565
759,pose_Tz <= 0.9051325619220734 & pose_Tz <= 1.0066134929656982 & pose_Tx <= 1.4657472968101501,rule,0.14322540014462848,0.7890625,0.05843225456772722
906,pose_Tz <= 0.3952527344226837,rule,0.12438576758237442,0.7734375,0.05206876982038722
5,pose_Rx > -1.967315137386322 & pose_Tz <= 0.5487117171287537,rule,-0.12708030459305025,0.765625,0.05383217692560854
960,pose_Tz <= 1.3110563158988953 & pose_Tx > -1.1393439769744873,rule,-0.15948510380989747,0.76171875,0.06794576352526173
689,pose_Rx > -1.8793433904647827 & pose_Rx > -1.9438560009002686 & pose_Tz > -1.8051509857177734 & pose_Tz > -0.6888606548309326 & pose_Tz > -0.7111369967460632,rule,0.18434216325678007,0.75390625,0.079402402565857
1677,pose_Ty > -0.7077564597129822,rule,-0.022023460494882165,0.74609375,0.009585592364570182
305,pose_Tz <= 1.766482949256897 & pose_Ty > -1.2883660197257996 & pose_Tz > -1.3076468706130981,rule,-0.19625276606599118,0.74609375,0.08541795765316255
767,pose_Rx > -1.0289496779441833 & pose_Ty > -1.6000283360481262 & pose_Rx > -1.0612059831619263 & pose_Tz <= 1.3481834530830383,rule,-0.048389843310291135,0.72265625,0.021663533201953612
1113,pose_Ty <= 0.48510344326496124,rule,0.017794598879392054,0.701171875,0.00814537684005432
731,pose_Ty <= 0.5468030869960785,rule,0.1927392123876327,0.69140625,0.08902875363074539
499,pose_Ty <= 1.0024313032627106 & pose_Tx <= 0.8118900656700134,rule,-0.005228611680945605,0.68359375,0.0024316885915856485
1014,pose_Tz > -2.6615511178970337 & pose_Tx <= 0.4449030011892319,rule,-0.03164757899858641,0.67578125,0.014813668611642657
982,pose_Tx > -1.0359673500061035 & pose_Rx > -1.7825744152069092 & pose_Rx <= 0.9768064916133881 & pose_Tx > -1.0540582537651062 & pose_Rx <= 0.9181586503982544,rule,0.0015064769274784466,0.662109375,0.0007125501310513451
878,pose_Rx <= 0.748079925775528 & pose_Tx > -1.0359673500061035,rule,-0.12448065563184922,0.64453125,0.059583302362206325
1693,pose_Tx > -2.1692336797714233 & pose_Ty > -0.27744095027446747 & pose_Rx <= 1.9444958567619324,rule,0.21952622388250193,0.640625,0.10533247270118887
417,pose_Tx > -0.34592828154563904,rule,-0.006991535911900276,0.634765625,0.0033663953288730797
1060,pose_Ty > -0.6381466090679169 & pose_Rx > -0.39262060821056366,rule,-0.13213146344934362,0.6328125,0.063692414666312
1258,pose_Rx > -0.2284066528081894,rule,0.1019434236471595,0.6328125,0.04914062587316824
