,rule,type,coef,support,importance
139,eye_lmk_Y_8 <= 1.3343812823295593,rule,-1.1172616058379612,0.9610894941634242,0.2160579385052766
20,eye_lmk_Y_35 <= 1.3739527463912964,rule,0.22075102577017366,0.9610894941634242,0.04268920662950466
368,eye_lmk_X_31 <= 1.3620824813842773,rule,-0.24908727027863117,0.9552529182879378,0.05149832199478096
22,eye_lmk_Y_16 <= 1.2894852757453918 & eye_lmk_Y_8 <= 1.3798814415931702,rule,-0.13967810131981306,0.9513618677042801,0.030046205815920084
1826,eye_lmk_Y_44 <= 1.2985349297523499,rule,-0.5034767625206331,0.933852140077821,0.12513430593816194
842,eye_lmk_Y_6 <= 1.2229488492012024,rule,-0.07214600648935258,0.9202334630350194,0.0195466202787239
1974,eye_lmk_X_24 <= 1.0472590923309326,rule,-0.8357233022482753,0.9182879377431906,0.22892595636203517
728,eye_lmk_Z_43 <= 0.9643175601959229,rule,-0.2947192798529959,0.9027237354085603,0.08733522043906711
1520,eye_lmk_Z_42 <= 1.0603781342506409,rule,-0.0002867105730205564,0.8949416342412452,8.791366497892985e-05
845,eye_lmk_Z_28 > -1.1259101629257202,rule,0.7860261269213932,0.8929961089494164,0.24297497741221238
1956,eye_lmk_X_18 <= 2.2094083428382874 & eye_lmk_Y_8 <= 1.1396406292915344,rule,0.47654466342858587,0.8929961089494164,0.14730862609615325
1886,eye_lmk_X_13 <= 1.046585500240326,rule,1.7607804909589997,0.8891050583657587,0.5528885888533679
232,eye_lmk_Z_1 <= 0.6534914076328278,rule,1.0691503055312663,0.8852140077821011,0.34080609220338554
674,eye_lmk_X_49 <= 1.0054802894592285 & eye_lmk_X_46 <= 1.0147241950035095,rule,0.2241236124759364,0.8832684824902723,0.07196611302065845
1653,eye_lmk_Y_11 <= 1.1314058303833008 & eye_lmk_Y_37 <= 1.1635543704032898,rule,-0.12264681398462694,0.8793774319066148,0.039944612652647433
1562,eye_lmk_Y_38 <= 1.0790287852287292 & eye_lmk_Y_9 <= 1.285286784172058,rule,-0.6524973311204217,0.877431906614786,0.21398048439414882
1702,eye_lmk_Z_47 > -1.2101001143455505,rule,-0.20411046172961084,0.8754863813229572,0.0673904552218483
1393,eye_lmk_Z_2 > -0.9066380262374878,rule,-0.5635957837434464,0.8696498054474708,0.18975611466515435
107,eye_lmk_Y_43 <= 1.0923276543617249 & eye_lmk_Y_41 <= 1.1556118726730347 & eye_lmk_Y_50 <= 1.1359041333198547,rule,1.0698908555571591,0.867704280155642,0.3624918463607773
688,eye_lmk_Z_37 <= 0.8747651278972626,rule,-0.6214863407907075,0.8618677042801557,0.2144368932216539
175,eye_lmk_Y_19 <= 1.2070977687835693 & eye_lmk_Y_18 <= 1.0146326422691345,rule,-0.08179609998599872,0.8618677042801557,0.02822282712815431
1135,eye_lmk_Y_8 <= 1.0377203226089478,rule,-0.650629167919794,0.8599221789883269,0.22581240325228696
1168,eye_lmk_Y_55 <= 1.0234225392341614,rule,-0.7929059555395435,0.8599221789883269,0.27519208821499896
1143,eye_lmk_X_15 <= 2.219967842102051 & eye_lmk_Y_39 <= 1.0644176602363586,rule,1.320880811371948,0.8599221789883269,0.45843513499305577
906,eye_lmk_Y_43 <= 1.118345320224762 & eye_lmk_Y_43 <= 1.1350709795951843 & eye_lmk_Y_8 <= 1.0886805057525635 & eye_lmk_Y_14 <= 1.1873522400856018 & eye_lmk_Y_42 <= 1.21062570810318,rule,-0.31727673584198063,0.857976653696498,0.1107530856148951
1885,eye_lmk_Z_38 <= 0.955558568239212 & eye_lmk_X_4 <= 1.7278777956962585,rule,-0.1891105630964833,0.857976653696498,0.06601359639471727
977,eye_lmk_X_34 <= 0.9630089104175568 & eye_lmk_Z_53 > -2.854888439178467,rule,-0.7358798661422902,0.8560311284046692,0.2583366358810225
939,eye_lmk_Y_54 <= 1.0992864966392517 & eye_lmk_Y_36 <= 1.0168842673301697,rule,0.07402883604763598,0.8501945525291829,0.026419456745518127
900,eye_lmk_Y_14 <= 1.020956575870514 & eye_lmk_Z_12 > -2.759917140007019,rule,1.2975329945254355,0.8443579766536965,0.4703759943934605
233,eye_lmk_Z_8 <= 0.4805173724889755,rule,0.13411064040931242,0.8404669260700389,0.049107623438640995
1615,eye_lmk_Y_44 <= 1.011536717414856,rule,-0.49727981491004375,0.8385214007782101,0.18298495915055205
1182,eye_lmk_Y_42 <= 1.0087856650352478,rule,0.8575642862757279,0.8365758754863813,0.3170862706326364
994,eye_lmk_Y_44 <= 1.123354196548462 & eye_lmk_Y_41 <= 1.2408620715141296 & eye_lmk_X_15 <= 1.2241188883781433,rule,-0.32983210242747285,0.8287937743190662,0.12424414726790338
988,eye_lmk_Y_9 <= 0.8527291119098663,rule,0.572081205864322,0.8210116731517509,0.21930306457685883
1673,eye_lmk_Z_8 <= 1.1193234324455261 & eye_lmk_Z_6 <= 1.1304937601089478 & eye_lmk_Z_0 <= 0.4853769391775131,rule,0.39714850368404087,0.8171206225680934,0.1535247446176437
1029,eye_lmk_Y_42 <= 0.9643438160419464,rule,-0.22710656651830094,0.8151750972762646,0.08815265289754831
1396,eye_lmk_Y_13 <= 1.0317861437797546 & eye_lmk_Z_36 <= 1.075680136680603,rule,-1.9951604227538884,0.8132295719844358,0.7775681438532639
1917,eye_lmk_X_8 <= 0.7480259537696838,rule,0.13886545371979656,0.8132295719844358,0.054119634623267084
838,eye_lmk_Z_8 <= 0.3686913698911667,rule,-1.060024036219965,0.8073929961089494,0.4180172845448939
1888,eye_lmk_Z_30 <= 0.85630664229393 & eye_lmk_Z_45 <= 0.8909854292869568 & eye_lmk_Z_14 <= 0.6790923476219177,rule,-1.282043653602287,0.8073929961089494,0.5055700516545973
466,eye_lmk_Z_15 > -2.7694318294525146 & eye_lmk_X_39 <= 1.4831464886665344 & eye_lmk_Y_42 <= 0.8513874709606171,rule,0.32459062052973986,0.7996108949416343,0.12993087718689453
516,eye_lmk_Y_44 <= 1.2090809345245361 & eye_lmk_Y_8 <= 1.015880286693573 & eye_lmk_Y_19 <= 1.362487018108368 & eye_lmk_Y_4 <= 0.9110077321529388 & eye_lmk_Y_51 <= 1.2601036429405212 & eye_lmk_Y_46 <= 1.2546496987342834 & eye_lmk_Y_12 <= 1.0861799120903015 & eye_lmk_Y_46 <= 1.183726966381073,rule,-2.3051682564681446,0.7937743190661478,0.9326582272940793
