,rule,type,coef,support,importance
1098,X_0 <= 2.0041621923446655,rule,-0.10290988621908735,0.9941634241245136,0.00783907927610125
148,X_0 <= 2.0068304538726807,rule,-0.06752040624565052,0.980544747081712,0.009325823587624122
1069,X_2 <= 1.5185157656669617,rule,-0.11029653092555376,0.9785992217898832,0.015961697252266507
997,X_19 <= 1.4521019458770752 & Z_4 > -2.2540786266326904,rule,-0.41364812095970044,0.9708171206225681,0.06962478052599037
1608,X_16 <= 1.3780755400657654,rule,0.0005721361404669613,0.9630350194552529,0.00010794826410470119
1136,Z_26 <= 1.0942747592926025,rule,0.02892423625123684,0.914396887159533,0.00809233863972625
683,X_14 <= 1.6803262829780579 & Z_9 > -1.295851230621338,rule,0.1967429316055644,0.896887159533074,0.05983074586359183
1218,Y_0 <= 1.3662973642349243 & X_16 <= 1.1700704097747803 & Z_63 > -2.7638003826141357,rule,0.2787604283458695,0.8910505836575876,0.08685498641556846
1454,Y_0 <= 1.1976863741874695 & Z_24 <= 1.844123899936676 & X_15 <= 1.6342026591300964,rule,0.13431723803231022,0.8910505836575876,0.04184999267614248
1291,X_15 <= 1.5694321393966675 & Z_16 <= 1.091198742389679,rule,0.39812641619505645,0.8891050583657587,0.12501248938500362
1589,Z_54 <= 1.1473973393440247,rule,-0.14619179390480133,0.8696498054474708,0.0492210687295204
592,X_16 <= 1.6424325704574585 & Z_3 > -1.8227100372314453 & Y_12 <= 1.2110325694084167,rule,0.2621711682055404,0.8638132295719845,0.08992124583642004
1544,Z_54 <= 1.05821031332016 & X_59 <= 1.5365339517593384,rule,0.22661587609491543,0.8599221789883269,0.07865106287768463
135,Z_3 <= 0.7476231753826141,rule,0.11520946265662853,0.8443579766536965,0.041765231242129754
1318,Y_15 <= 1.083342730998993 & Y_26 <= 1.1603760719299316,rule,-0.07595863894344428,0.8443579766536965,0.027536194051746742
1103,Y_0 <= 1.3600525856018066 & X_16 <= 1.2645428776741028 & Z_45 <= 1.095897138118744,rule,0.4956041671279883,0.8424124513618677,0.18057527626435801
450,Z_14 <= 0.9723571538925171,rule,0.11355226048184817,0.8404669260700389,0.04157971083673885
1074,Y_7 <= 1.1995977759361267 & Y_13 <= 1.144899308681488,rule,-0.5026934914068056,0.8326848249027238,0.1876338774715778
116,X_20 <= 1.4999260902404785 & Z_12 <= 1.227814257144928 & X_48 <= 1.777256965637207 & Z_7 <= 0.8901329636573792 & Z_16 <= 1.7278014421463013,rule,-0.2740714985440822,0.8229571984435797,0.10461444015170368
1591,Y_66 <= 1.0750632286071777 & Y_0 <= 1.038442611694336,rule,0.06839930060504527,0.8210116731517509,0.026220361871418917
892,Y_22 <= 0.9512890577316284,rule,0.1175274806550062,0.8210116731517509,0.0450532833720692
537,Z_13 <= 1.0574241876602173 & Z_26 <= 1.0560287833213806 & Z_16 <= 0.905022531747818,rule,0.0670105028291889,0.8132295719844358,0.026115810893866002
1007,Z_25 <= 0.8232856690883636,rule,0.19972287986796664,0.8132295719844358,0.07783742460649236
844,Y_13 <= 2.5973328351974487 & Z_15 <= 0.7978918850421906,rule,0.1441966495147193,0.791828793774319,0.058543831733842165
1381,Y_12 <= 0.8862178921699524,rule,0.06007749683975561,0.7859922178988327,0.024639718133774295
656,Y_1 <= 0.7020578980445862,rule,0.011280929725646018,0.7801556420233463,0.004671896176176339
500,Y_2 <= 0.6683342158794403 & Z_58 > -2.2528027296066284,rule,0.315041776965688,0.7607003891050583,0.13441445139154054
422,Y_1 <= 0.6770839691162109,rule,0.1109448824351677,0.7568093385214008,0.047596384304145915
