,rule,type,coef,support,importance
1728,AU06_r <= 2.3178412914276123,rule,0.1852894681538067,0.9669260700389105,0.03313525146334534
1515,AU23_r <= 2.557499647140503,rule,0.03892702888908749,0.9630350194552529,0.007344589684372866
731,AU09_r <= 2.1650954484939575,rule,0.15146064012038268,0.9319066147859922,0.03815385701782212
1486,AU12_r > -1.0644951462745667 & AU23_r <= 2.5574997663497925,rule,0.33658068507704697,0.8871595330739299,0.10649335004036008
1094,AU14_r > -1.1871631741523743,rule,0.011041308651244985,0.8852140077821011,0.0035195661777156855
73,AU05_r <= 1.2029919624328613,rule,-0.00022418699597285337,0.8696498054474708,7.548114187743147e-05
474,AU25_r <= 0.9938952922821045,rule,0.08141508021785257,0.8638132295719845,0.027924296531805542
221,AU01_r <= 3.835451602935791 & AU17_r <= 1.5020447969436646 & AU15_r <= 3.9514883756637573 & AU10_r <= 2.3344799280166626,rule,0.03944099429874777,0.8501945525291829,0.014075726412954579
625,AU14_r > -0.9345526993274689,rule,0.0666028790457258,0.8190661478599222,0.02563966851378717
817,AU15_r <= 0.7923563718795776,rule,0.09086459705780633,0.8132295719844358,0.03541239855725056
450,AU04_r <= 1.4476747512817383 & AU04_r <= 0.7119114995002747,rule,0.19640293686531854,0.7976653696498055,0.0789029892155383
1270,AU25_r <= 3.996988892555237 & AU23_r <= 3.8275035619735718 & AU25_r > -0.8356817066669464,rule,0.5474632895212891,0.7859922178988327,0.224532343256136
900,AU10_r <= 0.40585263073444366,rule,0.11483047569947155,0.7645914396887159,0.04871727693487995
1420,AU14_r > -0.8461390435695648 & AU23_r <= 3.855725884437561 & AU01_r <= 2.999092936515808,rule,0.5169871598020738,0.7509727626459144,0.22357089994755006
1532,AU20_r <= 0.21546652913093567,rule,0.0630740215999572,0.7412451361867705,0.02762330965296272
409,AU06_r <= -0.06794124282896519,rule,-0.07583422417762596,0.7334630350194552,0.033529964047675484
1493,AU01_r <= 3.44008207321167 & AU17_r > -0.9509197473526001 & AU15_r <= 1.3498502373695374,rule,-0.015482398346156136,0.7140077821011673,0.00699627412885663
696,AU25_r > -0.9835263192653656 & AU12_r <= 0.6047154068946838,rule,-0.23988311626628026,0.6964980544747081,0.1102910764583872
1006,AU23_r <= -0.18006400018930435,rule,0.03829394620808507,0.6848249027237354,0.01779081497009245
181,AU15_r > -0.7190715074539185 & AU25_r <= 2.0010866522789,rule,0.03857561455939437,0.6653696498054474,0.018202331151929353
1608,AU04_r <= 1.0541269183158875 & AU06_r <= 0.07406963035464287,rule,-0.04992141975563576,0.6634241245136187,0.02358978866498596
110,AU09_r <= -0.2527364492416382,rule,-0.10335083116281926,0.6439688715953308,0.04948691677005401
77,AU15_r <= -0.0996338427066803,rule,-0.00025364058434029996,0.6342412451361867,0.00012216402992691936
1223,AU15_r <= 3.864767074584961 & AU20_r <= 3.4939762353897095 & AU25_r <= 0.16226937621831894,rule,0.26199036748575055,0.6303501945525292,0.12646533845141855
109,AU17_r > -0.917085736989975 & AU15_r <= 0.7923563718795776 & AU17_r > -0.9678367376327515,rule,0.4508993794579235,0.6284046692607004,0.2178885774203244
554,AU10_r <= -0.1050419956445694 & AU01_r <= 4.763049364089966,rule,0.37506897041852055,0.622568093385214,0.18181255561518236
1646,AU17_r <= 0.11485108360648155,rule,0.11522331998586757,0.6206225680933852,0.05591005414265354
1292,AU25_r > -0.44758962094783783,rule,0.12783564598085137,0.6070038910505836,0.062436972020232795
1538,AU04_r <= 1.9781087040901184 & AU06_r <= 2.374645709991455 & AU20_r <= 4.7087812423706055 & AU14_r > -0.5935285985469818,rule,-0.335537217756059,0.5894941634241245,0.16505934675010608
467,AU04_r <= 0.2328098639845848 & AU25_r > -0.8356817066669464,rule,0.04285976806686227,0.5758754863813229,0.02118169937232529
139,AU25_r > -0.46607019007205963 & AU02_r <= 1.7703725099563599,rule,0.09033287760544603,0.5739299610894941,0.044669983449753384
977,AU25_r <= 1.7146377563476562 & AU14_r <= 0.10115014016628265,rule,-0.15931180567472839,0.5700389105058365,0.07887053523487873
634,AU17_r > -0.2911568582057953,rule,0.12473771479700613,0.556420233463035,0.06197051488974632
167,AU20_r > -0.5602522790431976,rule,0.1724200308598177,0.5389105058365758,0.08594857033157825
1550,AU15_r <= 1.7710678577423096 & AU15_r <= 1.8206228613853455 & AU20_r <= -0.3699816167354584,rule,0.08963219433238291,0.5369649805447471,0.04469345504965635
1199,AU25_r <= 2.564744234085083 & AU23_r > -0.5751762986183167,rule,-0.13570566979531412,0.5252918287937743,0.06776597155565858
473,AU14_r <= 0.2906079888343811 & AU06_r <= 1.1817544102668762 & AU12_r > -0.9485777616500854,rule,0.06900203977130227,0.5233463035019456,0.03446338981019717
1124,AU15_r > -0.6447389721870422 & AU15_r > -0.42174141108989716,rule,0.046265210370393564,0.5214007782101168,0.023111406315062626
655,AU09_r <= 0.4956400692462921 & AU15_r <= 2.551559329032898 & AU01_r > -0.6352651119232178,rule,0.12285294911391248,0.5155642023346303,0.06139670690591426
875,AU20_r <= -0.3553454130887985 & AU12_r > -1.0644951462745667,rule,0.09867381602685908,0.5116731517509727,0.049323460642733935
1345,AU17_r <= 0.8084479570388794 & AU15_r <= -0.19874386489391327,rule,0.5282666726077596,0.5019455252918288,0.2641313367706842
1106,AU09_r <= 4.870764493942261 & AU09_r <= -0.48300614953041077 & AU23_r <= 3.799281120300293,rule,-0.23426103018081493,0.5019455252918288,0.11712962839296738
370,AU15_r <= 1.0896864533424377 & AU10_r > -0.6670261025428772,rule,-0.05913097228527624,0.4980544747081712,0.02956526232700086
149,AU04_r <= -0.04096250142902136 & AU09_r <= 0.43807265162467957,rule,-0.07356050383839771,0.49416342412451364,0.03677774594980856
671,AU05_r <= 3.6520800590515137 & AU14_r <= 0.8716120421886444 & AU06_r <= -0.38036514818668365,rule,0.11933544320961721,0.49416342412451364,0.059663656230698095
1447,AU17_r > -0.9509197473526001 & AU04_r > -0.6569503247737885,rule,-0.6464294371497966,0.4785992217898833,0.32291852250058406
493,AU17_r <= 1.1129539012908936 & AU01_r <= -0.23989560455083847,rule,0.5113739383298544,0.4727626459143969,0.2553073125467472
100,AU01_r <= 4.717429876327515 & AU20_r <= 2.7475297451019287 & AU25_r <= -0.31822559237480164,rule,0.15998265829641767,0.4649805447470817,0.07979489125584825
699,AU20_r <= -0.5602522790431976,rule,-0.07248088935419214,0.46108949416342415,0.03613053996852017
1273,AU23_r > -0.3776201456785202 & AU02_r <= 2.320225954055786,rule,0.14949684735002686,0.45330739299610895,0.07442177700149356
193,AU17_r <= -0.2911568582057953,rule,-0.08661434895525988,0.44357976653696496,0.043030576681098893
772,AU25_r <= 2.564744234085083 & AU23_r <= -0.5751762986183167,rule,0.4517244420295451,0.44357976653696496,0.22441966574752545
912,AU23_r <= 0.4126044362783432 & AU15_r <= 1.5852366089820862 & AU20_r <= 4.723417282104492 & AU04_r > -0.6569503247737885,rule,-0.38762836309165716,0.44357976653696496,0.19257631331270855
1477,AU23_r > -0.49050934612751007 & AU23_r <= 1.2874959707260132,rule,-0.3245600579042284,0.42217898832684825,0.16030240746879673
1610,AU15_r <= 0.7799676060676575 & AU12_r <= -0.3458072692155838,rule,-0.14248024207522048,0.41245136186770426,0.0701395422572023
1731,AU05_r <= 0.6118327677249908 & AU09_r <= 3.1149580478668213 & AU23_r > -0.5187316536903381,rule,0.35492782334265544,0.41050583657587547,0.17459808201356486
339,AU02_r <= 0.07193609327077866 & AU02_r <= 0.12081196531653404 & AU12_r <= 5.5543882846832275 & AU12_r > -0.27625682950019836,rule,0.172672594706928,0.4046692607003891,0.0847525310450722
928,AU06_r <= 0.3438902795314789 & AU04_r > -0.48584258556365967,rule,0.07202993537332596,0.4027237354085603,0.03532679731398736
897,AU14_r <= -0.40407076478004456,rule,0.20333156311591505,0.40077821011673154,0.09964388429265489
1302,AU06_r <= -0.18154993653297424 & AU09_r <= 3.3740113973617554 & AU04_r > -0.6227287650108337,rule,0.017145694501696927,0.39883268482490275,0.008395530284096914
1568,AU06_r > -0.35196298360824585 & AU12_r > -0.8326603472232819,rule,-0.05523047858659168,0.3968871595330739,0.027021634675347943
1026,AU10_r <= -0.5393024384975433 & AU23_r <= 0.15860367566347122 & AU01_r <= 2.6493431329727173,rule,0.21191638845080488,0.39105058365758755,0.10341216309362437
497,AU17_r > 0.11485108360648155,rule,-0.02288451666180633,0.37937743190661477,0.01110430219982361
1708,AU06_r <= -0.35196298360824585 & AU12_r > -0.7399264276027679,rule,0.5035899039142622,0.37937743190661477,0.24435798931148195
1658,AU12_r <= -0.4617246687412262 & AU20_r <= 2.688984990119934,rule,0.16962830549083727,0.3657587548638132,0.08170016420019242
1279,AU15_r > -0.0996338427066803,rule,0.03299333026812101,0.3657587548638132,0.015890982891191296
1349,AU09_r > -0.2527364492416382,rule,0.18933019904028192,0.3560311284046693,0.0906559501897344
563,AU10_r <= -0.6670261025428772 & AU15_r <= 1.0896864533424377,rule,0.16927935549287895,0.3443579766536965,0.08043451759130885
1030,AU06_r > -0.38036514818668365 & AU07_r <= 0.23584388196468353,rule,-0.30088948763273227,0.3443579766536965,0.1429701850858772
1684,AU12_r > -0.229889877140522 & AU07_r <= -0.2996850460767746 & AU20_r <= 5.55768084526062,rule,0.08100132073747957,0.3424124513618677,0.038436485039662446
19,AU17_r > -0.6548722982406616 & AU17_r > -0.8494177460670471 & AU05_r <= 0.2318018600344658 & AU06_r <= -0.12474559247493744,rule,-0.06374047017269266,0.3326848249027237,0.030032899228962694
1434,AU06_r <= -0.38036514818668365 & AU12_r <= -0.3226237893104553,rule,-0.16357686823287457,0.33073929961089493,0.07695953803755373
1297,AU12_r <= -0.16033943742513657 & AU23_r <= -0.3211755305528641,rule,0.08412991387088017,0.32879377431906615,0.03952211933430478
874,AU10_r > -0.6670261025428772 & AU12_r <= 0.0019449228420853615,rule,-0.10614966136093236,0.321011673151751,0.049557590143416486
1690,AU14_r > 0.20850958675146103 & AU01_r <= 4.702223300933838,rule,0.01571588007707491,0.321011673151751,0.007337198570559078
729,AU12_r <= -0.41535770893096924 & AU25_r <= 1.825521171092987 & AU12_r <= -0.6008255481719971 & AU01_r <= 4.580571174621582,rule,0.22290667198391648,0.31712062256809337,0.10373070016060616
1326,AU06_r > -0.5507782101631165 & AU14_r <= 0.40428268909454346,rule,-0.17340964133573453,0.31712062256809337,0.0806970170531873
343,AU06_r > -0.5507782101631165 & AU09_r <= -0.2527364492416382,rule,-0.07551398415311847,0.3093385214007782,0.03490414500011133
1029,AU23_r > -0.5751762986183167 & AU17_r > -0.037401892244815826,rule,0.39452583631266197,0.30544747081712065,0.18171729541702386
1322,AU06_r <= -0.5223760306835175 & AU04_r > -0.6227287650108337,rule,0.12710591507210703,0.3035019455252918,0.0584394950996457
1714,AU15_r > -0.5951839685440063 & AU06_r <= -0.40876732766628265,rule,0.009091792001095337,0.29766536964980544,0.004157054218987791
823,AU15_r > -0.7438490092754364 & AU09_r > -0.4254387319087982 & AU17_r > -1.1200896501541138,rule,-0.47162343301889276,0.29571984435797666,0.21523274051279664
280,AU06_r > -0.5507782101631165 & AU02_r <= -0.3435087949037552 & AU25_r > -0.7247982621192932,rule,-0.37890454869179324,0.2918287937743191,0.17225150348429902
939,AU23_r <= 0.29971520602703094 & AU23_r > -0.49050934612751007,rule,-0.0004847387995628104,0.2918287937743191,0.00022036417168954625
1715,AU12_r > -0.9949447214603424 & AU14_r <= 0.7831983864307404 & AU06_r > -0.46557168662548065,rule,-0.03532648565007923,0.2898832684824903,0.01602790953566712
933,AU10_r <= 0.1759500503540039 & AU07_r <= -0.2996850460767746 & AU20_r > -0.618797093629837,rule,-0.37269664458387597,0.2898832684824903,0.16909545327568262
1243,AU15_r > 0.024253686424344778 & AU20_r <= 5.6015894412994385 & AU25_r > -0.9650457501411438,rule,0.2851797392389456,0.2782101167315175,0.12779401712107116
1077,AU12_r > -0.6240090131759644 & AU09_r <= -0.1376016065478325 & AU23_r <= -0.23650861531496048,rule,-0.12294811111346099,0.27626459143968873,0.05497615776035466
1196,AU06_r > -0.5507782101631165 & AU25_r <= 1.030856430530548 & AU15_r > -0.5951839685440063,rule,-0.016171401030499948,0.27431906614785995,0.007215202102060997
1618,AU09_r <= 0.4956400692462921 & AU12_r > -0.4037659615278244 & AU04_r <= -0.28051331639289856,rule,0.1190123424213141,0.2704280155642023,0.05286301365980411
307,AU09_r <= 1.3591514825820923 & AU12_r > 0.3265136331319809 & AU09_r <= 1.4167189002037048,rule,-0.07754353099275149,0.26848249027237353,0.03436496608671914
1644,AU06_r > -0.06794124282896519,rule,0.2402491774858996,0.26653696498054474,0.10622573608345187
1301,AU25_r > -0.576953649520874 & AU09_r <= 0.553207516670227 & AU25_r > -0.5954342186450958 & AU06_r > -0.5507782101631165,rule,-0.20470561474226162,0.26459143968871596,0.09029880228839375
1296,AU23_r <= -0.5751762986183167 & AU23_r <= -0.23650861531496048 & AU04_r > -0.6569503247737885,rule,0.330350812961285,0.26264591439688717,0.1453780201749421
1226,AU25_r <= 4.126352787017822 & AU02_r <= 3.114458918571472 & AU09_r > 0.15023552998900414,rule,0.24019266498037437,0.26264591439688717,0.10570197718714931
364,AU20_r > 0.21546652913093567,rule,-0.04442996174484498,0.2587548638132296,0.019458131256180653
202,AU23_r > -0.23650861531496048 & AU09_r <= -0.1376016065478325,rule,0.2731203325510231,0.2490272373540856,0.1181107835749414
848,AU15_r > -0.2730763852596283 & AU20_r <= -0.004076526965945959,rule,-0.4090750716516253,0.2490272373540856,0.1769043586116847
