,rule,type,coef,support,importance
1152,Z_9 > -2.853510618209839,rule,2.8343155621254445e-05,0.9961089494163424,1.7645544355644759e-06
1492,AU20_r <= 4.928323984146118 & AU25_r <= 4.107872247695923,rule,3.322237498771187e-05,0.9961089494163424,2.0683190653828366e-06
1786,AU09_r <= 4.525359869003296,rule,-2.580298747729727e-05,0.9961089494163424,1.6064116717383485e-06
780,eye_lmk_X_47 <= 1.7798359990119934,rule,0.012932964368895744,0.9941634241245136,0.000985158342775064
892,X_58 <= 1.6048558950424194,rule,2.132946074974982e-05,0.9941634241245136,1.6247548207158215e-06
1873,AU15_r <= 3.864767074584961 & AU23_r <= 5.661953449249268 & AU20_r <= 3.4939762353897095,rule,0.5700479508394419,0.9883268482490273,0.06122880045655347
1735,AU25_r <= 3.793702483177185 & Y_26 <= 2.1190072298049927,rule,-0.16170614881905587,0.9883268482490273,0.017368843277235847
1748,X_23 <= 1.6215398907661438,rule,-0.07954023031647553,0.9863813229571985,0.009218849495823167
1792,Z_4 > -1.833703100681305 & eye_lmk_X_46 <= 1.5848666429519653,rule,0.0628433999401569,0.980544747081712,0.008679842051841392
384,AU20_r <= 4.284331202507019 & Z_43 > -2.7168452739715576 & X_15 <= 1.5835487842559814,rule,0.14507713007698617,0.9785992217898832,0.020995014159416677
1367,AU17_r <= 2.3901872634887695 & AU23_r <= 3.8839482069015503 & gaze_1_z > -0.8005480468273163,rule,-0.5937583743092765,0.9766536964980544,0.08965801314804293
1651,AU01_r <= 2.847027897834778,rule,-0.16633587439803604,0.9747081712062257,0.026116402043309433
1687,pose_Rx > -1.8907577991485596,rule,-0.11297334279656802,0.9747081712062257,0.017737948902059715
1418,AU02_r <= 3.1388968229293823,rule,-0.16301603093591757,0.9747081712062257,0.025595153293505393
616,AU02_r <= 2.320225954055786,rule,0.02682600165328163,0.9727626459143969,0.004366584290863378
1495,AU01_r <= 2.9078539609909058,rule,-0.23373162134026934,0.9708171206225681,0.03934144025613883
477,AU02_r <= 2.344663977622986,rule,0.06431707880169414,0.9649805447470817,0.01182334283855201
1160,gaze_0_y > -1.8858336210250854 & X_15 <= 1.6342026591300964,rule,0.11662882464155763,0.9630350194552529,0.02200504088826174
1166,Y_6 <= 1.4900559186935425 & Y_17 <= 1.3312780261039734,rule,-0.32568024480402225,0.9591439688715954,0.06447055424905268
1865,Y_16 <= 1.2626633644104004,rule,-0.07346191376712628,0.9513618677042801,0.015802418273317086
924,AU25_r <= 1.8717226386070251,rule,0.049940425724392355,0.9513618677042801,0.010742702654685332
564,gaze_0_y > -1.5658715963363647,rule,3.658608145966456e-05,0.9513618677042801,7.87004493294304e-06
308,Y_8 <= 1.3757860660552979 & AU25_r <= 3.4795327186584473,rule,-0.14218000556620064,0.9494163424124513,0.03115817361417518
1018,Y_15 <= 1.3810295462608337 & Y_40 <= 1.445604145526886 & gaze_0_z > -0.8491605222225189 & eye_lmk_Y_50 <= 1.3530900478363037,rule,0.10406364956957526,0.9377431906614786,0.02514400428713573
821,Z_26 <= 1.104983627796173,rule,0.00013773915465048643,0.9357976653696498,3.376166081060152e-05
1098,Y_11 <= 1.345134437084198,rule,-0.004845533080495219,0.933852140077821,0.0012043106337073985
675,AU01_r <= 3.075125575065613 & pose_Rx > -1.56317138671875,rule,0.01773446028370289,0.9319066147859922,0.004467418475287345
1226,Y_11 <= 1.3560373187065125,rule,-0.15196070360612218,0.9260700389105059,0.03976156332436098
910,Y_11 <= 1.3435768485069275 & X_12 <= 1.6458066701889038,rule,-0.13525189640144042,0.9241245136186771,0.035814537940818035
148,Z_5 > -1.9294511675834656 & Z_12 <= 1.2438704371452332,rule,-0.1970933006434831,0.9221789883268483,0.052799269025274764
1537,Y_11 <= 1.3591524362564087,rule,-0.10544123816387399,0.9221789883268483,0.028246623715754045
174,Z_16 <= 1.2083096504211426 & AU01_r <= 4.930320978164673,rule,0.10734222774605473,0.9202334630350194,0.029082382625489945
101,Y_1 <= 1.201535940170288,rule,-5.6556045634988144e-05,0.9202334630350194,1.5322809983341792e-05
1630,Y_8 <= 1.4180430173873901 & eye_lmk_Y_11 <= 1.3024052381515503 & Y_16 <= 1.2511425614356995 & AU09_r <= 4.3526575565338135,rule,-0.09419070600274641,0.9202334630350194,0.025519222110960745
144,gaze_0_y > -1.881047546863556 & AU06_r <= 1.5225805044174194,rule,0.2683810589584881,0.9202334630350194,0.07271286249555034
1899,Z_26 <= 1.0942747592926025,rule,1.6541045034322882e-05,0.914396887159533,4.62780544004785e-06
