,rule,type,coef,support,importance
1939,gaze_1_y > -1.9185462594032288,rule,0.03797386792949575,0.9727626459143969,0.006181170690562919
1517,gaze_1_y > -1.9255640506744385,rule,0.06050121265629275,0.9688715953307393,0.0105069247828837
409,gaze_1_y > -1.92655748128891,rule,0.029098447228058887,0.9630350194552529,0.005490173831437239
1907,gaze_1_y > -2.417309880256653 & gaze_0_y > -1.5642681121826172,rule,0.29303516833761195,0.9513618677042801,0.0630348987849949
1916,gaze_1_x > -1.576550006866455,rule,0.05141148024837135,0.9455252918287937,0.011667938722564627
1579,gaze_0_z > -0.686973512172699,rule,0.027897911834415277,0.8832684824902723,0.008958022110818229
1209,gaze_0_z > -0.8465243577957153 & gaze_0_x > -1.153379201889038,rule,0.23211023251383983,0.8754863813229572,0.07663504407470308
1271,gaze_1_y > -1.918535053730011 & gaze_1_z > -0.6974263489246368 & gaze_1_z > -0.7202779054641724,rule,0.339844385018663,0.8618677042801557,0.11725949440740356
820,gaze_0_x > -0.8929303288459778,rule,0.04129555267195638,0.8463035019455253,0.014893553778202673
629,gaze_0_x > -0.8923372030258179,rule,0.030819917986972284,0.811284046692607,0.012059304305833305
1914,gaze_0_x > -1.177081048488617 & gaze_1_x > -0.7169845998287201 & gaze_1_x > -0.7221572399139404,rule,0.07314626985030355,0.7957198443579766,0.029490719500582376
1838,gaze_0_x > -0.607373058795929 & gaze_0_y > -2.4474419355392456,rule,0.29407075908131425,0.7665369649805448,0.12440202721498995
1795,gaze_0_z > -0.5796726942062378 & gaze_0_y > -2.274297595024109,rule,0.3107731560726537,0.7470817120622568,0.13508827861659786
421,gaze_0_z > -0.5327059030532837,rule,0.7479840378639249,0.72568093385214,0.3337284130252638
1420,gaze_0_y > -0.5103796422481537 & gaze_0_y > -0.4488885998725891,rule,0.12331589784040506,0.7159533073929961,0.05561043439359814
579,gaze_0_z > -0.5004903972148895,rule,0.05354006392146159,0.708171206225681,0.024339524397261433
48,gaze_0_z > -0.5008089244365692,rule,0.07744767670750759,0.6906614785992218,0.035797938196973744
704,gaze_1_x <= 0.45830753445625305,rule,-0.041539269894537184,0.6770428015564203,0.019424032944389272
1911,gaze_0_z <= -0.10179999843239784 & gaze_0_z <= -0.11342087388038635,rule,0.04780040604483486,0.6536964980544747,0.022743018604994975
1112,gaze_0_z > -0.4734262675046921,rule,-0.07121556864594869,0.6342412451361867,0.03430042901830655
968,gaze_0_y > -2.471250057220459 & gaze_1_z > -0.45763298869132996,rule,0.5083450651338854,0.6128404669260701,0.2476152042379482
1503,gaze_0_z > -0.3989340662956238,rule,0.1427317545536705,0.5933852140077821,0.07011009380685651
