,rule,type,coef,support,importance
1323,pose_Tx <= 1.6084539294242859 & pose_Rx > -2.4793028831481934 & pose_Tx <= 1.670139193534851,rule,0.6429182309550028,0.9883268482490273,0.06905579085944594
843,pose_Tx <= 1.4034155011177063,rule,-0.2489659566613201,0.9747081712062257,0.039090154440796686
1346,pose_Ty <= 1.5148599743843079 & pose_Tx <= 1.505934715270996,rule,0.9858958330008938,0.9669260700389105,0.17630741060809607
1680,pose_Tx <= 1.4355613589286804,rule,-0.3174849122077778,0.9610894941634242,0.06139576915533039
712,pose_Ty <= 1.2805359363555908 & pose_Rx > -2.482079029083252,rule,0.0024245909085559257,0.9221789883268483,0.0006495229784022219
651,pose_Tx <= 1.026353359222412,rule,0.2847832513634993,0.8832684824902723,0.0914439287659467
640,pose_Ty <= 1.159333884716034 & pose_Ty <= 1.2627596855163574 & pose_Tx <= 1.5867337584495544 & pose_Tx <= 1.5771768689155579,rule,-0.006630984202077731,0.877431906614786,0.0021745701382932946
783,pose_Ty <= 1.0284356474876404,rule,-0.2938550883176193,0.8696498054474708,0.09893757448533365
1509,pose_Ty <= 1.0753004550933838,rule,-0.5081358963666033,0.8618677042801557,0.17532659336104256
885,pose_Tx <= 0.8630176186561584 & pose_Tx <= 1.5241796374320984,rule,0.33940699611428193,0.857976653696498,0.11847818592555516
1330,pose_Ty <= 1.1173171401023865,rule,-0.3810616395625154,0.8501945525291829,0.1359935133563347
860,pose_Tx <= 0.8899506330490112,rule,-0.18528034335302898,0.8482490272373541,0.06647475935930809
1545,pose_Tx > -0.8702520430088043,rule,-0.2516475995868763,0.8443579766536965,0.09122618876886213
782,pose_Ty <= 1.0397478342056274,rule,-0.21661620309483678,0.8443579766536965,0.0785267599069692
1196,pose_Rx > -0.9912832975387573,rule,0.3174111870364429,0.8424124513618677,0.11564998155816886
19,pose_Ty <= 0.946018248796463 & pose_Tx <= 1.6970722079277039,rule,2.2221774142310284,0.8385214007782101,0.8176986701981885
184,pose_Tx <= 0.8717056810855865,rule,0.9009768095595861,0.8365758754863813,0.3331381460746661
1554,pose_Tx > -3.0483508110046387 & pose_Tz <= 0.8315750658512115,rule,0.18749852792350122,0.830739299610895,0.07030857684018815
675,pose_Tx <= 0.8239213228225708,rule,0.671538291704346,0.8287937743190662,0.25296113324474706
735,pose_Ty <= 1.0122753977775574,rule,-0.3005658124355814,0.8268482490272373,0.11372761458852085
578,pose_Tx <= 0.9012451469898224,rule,-0.13095477696591348,0.8268482490272373,0.049550460455302404
811,pose_Ty <= 0.9476342797279358,rule,-0.6908909313186706,0.8249027237354085,0.26257329624300896
1690,pose_Tz <= 0.7743863463401794,rule,-0.1574044747919108,0.8249027237354085,0.05982161570803459
567,pose_Tz <= 0.8904458284378052 & pose_Tx <= 1.2826513648033142,rule,0.21549628581406305,0.8229571984435797,0.08225599310752009
146,pose_Rx > -0.9135509133338928 & pose_Tx <= 2.2174874544143677,rule,0.2854356637126618,0.8210116731517509,0.10941963334932957
1289,pose_Ty <= 1.0138913989067078,rule,-0.2673638661020901,0.8210116731517509,0.102491944486656
241,pose_Tx <= 0.8708368837833405,rule,0.9535787446134774,0.8171206225680934,0.36862264840878534
582,pose_Ty <= 0.8878412544727325,rule,-0.6497969011926525,0.8073929961089494,0.25624544997192333
1899,pose_Ty <= 0.7779513895511627,rule,-0.5179578982216824,0.8015564202334631,0.2065760813540519
