,rule,type,coef,support,importance
335,skwdurunvoiced <= 2.6787604093551636,rule,0.012964972430280046,0.9767441860465116,0.001954014522852368
1109,F0max <= 1.6045615077018738,rule,-0.04791681801769271,0.9651162790697675,0.00879203063588284
1742,skwdurvoiced > -1.4635065197944641,rule,0.005569646862283767,0.9651162790697675,0.0010219481983583841
856,F0max > -1.8023517727851868,rule,-0.015576452981807546,0.9651162790697675,0.0028580497929531533
1183,F0min > -0.5555233955383301,rule,0.004001204423339464,0.9651162790697675,0.0007341621026972447
1748,F0min > -0.555726170539856,rule,0.02460337694607809,0.9651162790697675,0.004514357438680944
388,F0tiltavg <= 1.3151742219924927,rule,0.03873153133366851,0.9534883720930233,0.00815648681898152
54,F0skew > -1.312129557132721,rule,0.01064132435893932,0.9534883720930233,0.0022409602430241574
1800,F0min <= 2.4920812845230103,rule,0.008837593881342018,0.9534883720930233,0.0018611120067441548
1505,F0min <= 2.011578679084778,rule,0.024194874739723597,0.9534883720930233,0.005095207189236963
773,F0max <= 1.5932868719100952,rule,0.0017976317668551532,0.9534883720930233,0.00037856390663776405
176,stddurvoiced <= 1.5821484327316284,rule,-0.13201808510277138,0.9418604651162791,0.030893171080724906
83,kurtosisdurvoiced <= 1.087181031703949,rule,-0.18632350616860174,0.9418604651162791,0.043601025934789
611,F0tiltavg <= 1.2295284271240234,rule,-0.04926017528914882,0.9418604651162791,0.011527231450823593
405,mindurvoiced <= 1.0919601619243622,rule,-0.013799452598604343,0.9418604651162791,0.003229170076335917
1664,F0std <= 1.4518977403640747,rule,-0.09132521712420777,0.9302325581395349,0.02326552627348171
1199,avgdurunvoiced <= 1.2273679971694946 & F0min <= 1.9177332520484924,rule,0.05417738092886242,0.9302325581395349,0.013801941228506111
39,skwdurunvoiced <= 1.4385311007499695,rule,-0.014215417005901766,0.9302325581395349,0.0036214439806860218
1518,stddurvoiced <= 1.2439812421798706,rule,-0.33285808351166934,0.9186046511627907,0.09101714797124198
1062,F0max <= 1.4088633060455322,rule,-0.14849148125181208,0.9186046511627907,0.04060370407405553
1383,skwdurunvoiced <= 1.7479929327964783,rule,-0.020780155302709456,0.9186046511627907,0.005682152736380183
1795,F0std <= 1.3336530327796936,rule,0.00424009915983799,0.9186046511627907,0.0011594182378634752
740,skwdurunvoiced <= 1.493362009525299,rule,-0.012711266764081955,0.9186046511627907,0.0034757853429983393
