,rule,type,coef,support,importance
63,skwdurunvoiced > -2.305594801902771,rule,0.015566225602223725,0.975609756097561,0.0024012062182952776
183,skwdurunvoiced > -2.4376981258392334,rule,0.01469790509501284,0.975609756097561,0.002267261313816299
1291,avgdurpause <= 1.306183636188507,rule,0.08499172072622847,0.975609756097561,0.013110605841552304
1679,avgdurpause <= 1.9425907731056213,rule,-0.03579052621142753,0.975609756097561,0.005520955194344788
621,avgdurpause <= 1.2767828702926636,rule,0.020273443095159868,0.9634146341463414,0.003806166942792692
547,skwdurunvoiced > -1.441362202167511,rule,-0.06689331478008925,0.9512195121951219,0.014409408773018115
150,stddurunvoiced <= 0.8665567636489868,rule,-0.0009265158612890298,0.9512195121951219,0.0001995796713601097
1373,avgdurpause <= 1.622909665107727,rule,-0.06657611105946667,0.9512195121951219,0.014341080299690114
257,stddurunvoiced <= 0.8299547433853149,rule,0.018037631800260454,0.9512195121951219,0.0038854646501163674
175,skwdurunvoiced <= 1.4583280086517334,rule,-0.0010852796024874178,0.9390243902439024,0.00025969175001575403
260,stddurunvoiced <= 0.8256858289241791,rule,0.1584761500662312,0.9390243902439024,0.03792105615192005
741,skwdurunvoiced <= 1.4121288657188416,rule,-0.20433322236706766,0.9390243902439024,0.048893991908852096
157,kurtosisdurunvoiced > -1.3230926394462585,rule,0.010131862116963765,0.9390243902439024,0.0024244084179248612
655,skwdurunvoiced <= 1.3359032273292542,rule,-0.015771172019739363,0.926829268292683,0.004107074092219606
1009,skwdurunvoiced <= 1.4432622194290161,rule,0.025438770154279512,0.926829268292683,0.006624676574943437
107,maxdurunvoiced > -1.965821087360382,rule,0.014389638474345857,0.926829268292683,0.003747299902659296
1622,mindurunvoiced <= 1.8745558857917786,rule,-0.015227091453734156,0.926829268292683,0.003965386512252604
354,skwdurunvoiced <= 1.4337374567985535,rule,-0.006041300850488599,0.926829268292683,0.0015732546810909773
17,skwdurunvoiced <= 1.3623276352882385,rule,-0.02055694450991022,0.926829268292683,0.005353368418414069
1533,stddurunvoiced <= 0.7267384231090546,rule,-0.06772392740603875,0.9146341463414634,0.018923781932796757
1031,stddurunvoiced <= 0.7568217515945435,rule,-0.01871290683664959,0.9146341463414634,0.0052288604909514255
