,rule,type,coef,support,importance
1443,avgdurunvoiced <= 0.9842854142189026,rule,-0.00158988899941955,0.975609756097561,0.0002452522178054587
1030,stddurvoiced <= 2.1549845933914185,rule,0.0029422072853003117,0.9634146341463414,0.0005523744563560315
1046,skwdurvoiced <= 2.0595587491989136,rule,0.019187838746839506,0.9634146341463414,0.003602353936578891
1467,maxdurvoiced <= 2.3976430892944336,rule,-0.0023928624520803713,0.9634146341463414,0.0004492396245180746
1031,skwdurvoiced > -1.5505735278129578,rule,0.016359560734376128,0.9634146341463414,0.0030713687346308523
1143,kurtosisdurvoiced <= 2.568580389022827,rule,-0.014827439820974873,0.9634146341463414,0.0027837260315351246
342,mindurvoiced <= 1.4625875353813171,rule,-0.05117088929133006,0.9634146341463414,0.009606900334579267
1313,kurtosisdurvoiced > -0.9703950881958008,rule,0.0251959822509046,0.9634146341463414,0.004730331906842205
1533,skwdurvoiced <= 2.764559745788574 & skwdurvoiced > -1.586424469947815,rule,-0.006869449113667983,0.9512195121951219,0.001479739801349352
873,stddurvoiced <= 1.9021578431129456,rule,-0.03378737829168946,0.9512195121951219,0.007278098667618491
1682,stddurvoiced > -1.799336552619934,rule,0.010978125725408499,0.9512195121951219,0.002364784906519264
1305,kurtosisdurvoiced > -0.9653539657592773,rule,-0.004533437118187935,0.9512195121951219,0.0009765422568383003
418,avgdurunvoiced <= 1.416145384311676,rule,0.08620215394916883,0.9512195121951219,0.018568702679059468
326,kurtosisdurvoiced > -0.9481206238269806,rule,-0.005762299727329399,0.9390243902439024,0.0013788351839247094
1354,maxdurvoiced <= 2.0089606046676636,rule,-0.13971655768738994,0.9390243902439024,0.03343215636676079
1033,skwdurvoiced <= 1.806057631969452,rule,-0.005190293209542377,0.9390243902439024,0.0012419622773630552
1535,avgdurunvoiced <= 1.4078862071037292,rule,0.01984515846077619,0.9390243902439024,0.004748660085573354
541,kurtosisdurvoiced > -1.028607726097107 & mindurvoiced <= 1.0398942232131958,rule,0.016925586500315327,0.9390243902439024,0.004050048640217458
609,maxdurvoiced > -1.2763323187828064,rule,0.058368714148578006,0.9390243902439024,0.013966791127993452
867,skwdurvoiced > -1.586424469947815 & mindurvoiced <= 1.4625875353813171,rule,-0.010446462410123246,0.9390243902439024,0.0024996877288957888
223,skwdurvoiced <= 2.764559745788574 & kurtosisdurvoiced <= 1.5658001899719238,rule,0.03307702101373914,0.9390243902439024,0.007914853879754342
795,mindurvoiced <= 1.0398942232131958,rule,-0.015386882302597068,0.926829268292683,0.00400699869267377
1681,skwdurvoiced <= 2.764559745788574 & maxdurvoiced <= 2.0089606046676636 & stddurvoiced <= 2.1549845933914185,rule,-0.07044725267817603,0.926829268292683,0.018345629987451408
884,kurtosisdurvoiced <= 1.501078724861145,rule,-0.01904647848872637,0.926829268292683,0.004960018079262499
719,avgdurunvoiced > -2.44254469871521,rule,-0.051897480850216504,0.926829268292683,0.013514962539538
1557,stddurvoiced > -1.7591756582260132,rule,0.06294928141477428,0.926829268292683,0.016393034233528905
417,skwdurvoiced <= 2.764559745788574 & kurtosisdurvoiced <= 2.568580389022827,rule,0.006638560382654465,0.926829268292683,0.0017287909435716251
1312,stddurvoiced <= 1.9006360173225403,rule,0.022307472977286406,0.926829268292683,0.005809234989842946
1069,stddurvoiced <= 1.1708199977874756,rule,-0.0078019446306615775,0.926829268292683,0.002031755447307053
400,skwdurvoiced <= 1.4363917112350464,rule,-0.0021936153306543666,0.926829268292683,0.0005712537204939562
118,skwdurvoiced <= 1.1918237209320068,rule,-0.028622801820352203,0.9146341463414634,0.007997936338017302
1072,avgdurunvoiced <= 1.0320934057235718,rule,-0.3776458241749287,0.9146341463414634,0.10552381555887773
180,kurtosisdurvoiced > -0.9703950881958008 & mindurvoiced <= 1.6034852862358093 & kurtosisdurvoiced <= 4.172033190727234,rule,-0.019994525117097012,0.9146341463414634,0.005586977124011757
360,skwdurvoiced <= 1.1368502378463745,rule,-0.005829635630826826,0.9146341463414634,0.0016289479605046077
1659,maxdurvoiced <= 1.592514991760254,rule,-0.14650927778648434,0.9146341463414634,0.04093840582133394
347,avgdurunvoiced <= 0.8410404324531555,rule,0.002479487529583855,0.9146341463414634,0.0006928316639644556
229,avgdurunvoiced <= 0.9550076723098755,rule,0.032244979272912054,0.9146341463414634,0.009010064530512292
