,rule,type,coef,support,importance
536,81 <= 1.669262409210205,rule,0.14515951762099352,0.9743589743589743,0.02294418879710448
1648,97 <= 1.220580518245697,rule,0.07046945037226111,0.9743589743589743,0.011138535042469075
235,77 > -1.6016679406166077,rule,0.06543626469235898,0.9706959706959707,0.0110363072804415
617,97 <= 1.1687429547309875,rule,0.18413825395949174,0.9597069597069597,0.03620998642110945
173,78 <= 1.6940850019454956 & 75 <= 1.8150332570075989,rule,0.04950440744103788,0.945054945054945,0.011280716941014535
450,92 > -1.265253484249115 & 94 <= 1.481712281703949,rule,-0.2806977517617699,0.9358974358974359,0.06875285919952677
1820,77 > -1.4788853526115417,rule,0.04489146229180757,0.9340659340659341,0.011140570929690218
228,94 > -1.3360212445259094,rule,0.14063009935753132,0.9322344322344323,0.03534641678425404
1171,93 > -1.2670009136199951,rule,0.009795368624841427,0.9267399267399268,0.002552309844731304
1497,94 > -0.7928845286369324 & 94 > -0.7911675870418549 & 87 <= 2.1287697553634644 & 75 <= 1.8724762201309204,rule,-0.0012638592599456663,0.9267399267399268,0.0003293148583845526
232,84 <= 1.6205151677131653 & 84 > -1.4465985298156738,rule,-0.33585164889733427,0.9194139194139194,0.09141827853022079
1456,88 <= 1.0521697402000427,rule,-0.22576988627825603,0.9175824175824175,0.062086687745147036
1466,81 <= 1.6872686743736267 & 88 <= 1.052398443222046,rule,-0.20372604642527964,0.9065934065934066,0.059284560145140594
548,76 <= 0.9162348508834839,rule,0.06690359827151535,0.9029304029304029,0.019806978390327263
783,85 <= 1.3091695308685303,rule,-0.05493556811099856,0.8956043956043956,0.016797816580589087
1269,85 <= 1.3431849479675293 & 75 <= 1.848156988620758,rule,-0.17091895038771135,0.8956043956043956,0.05226240990096851
919,92 <= 1.3221356272697449 & 85 <= 1.9251456260681152,rule,-0.051332160747756705,0.8937728937728938,0.01581687967076352
1565,95 > -2.5132561922073364 & 94 <= 1.0087165832519531,rule,0.24618510462044038,0.8864468864468864,0.07810658598792476
44,77 <= 1.383221447467804 & 90 <= 1.7950027585029602 & 92 <= 1.5721125602722168,rule,-0.022882987308670426,0.8827838827838828,0.0073609451759372455
1736,92 <= 1.7286867499351501 & 89 <= 0.9306933581829071,rule,0.018650571363493608,0.8791208791208791,0.006079839082611473
1125,93 > -1.2208195328712463,rule,0.3581766392832075,0.8736263736263736,0.11901134117154813
958,83 > -1.1648643016815186,rule,0.16861731187908174,0.8717948717948718,0.05637181462363666
1275,88 <= 1.0203612446784973,rule,0.14915115227237394,0.8626373626373627,0.05134226871921682
1266,87 <= 1.1141775846481323 & 85 <= 1.4099657535552979,rule,0.334298790991595,0.8534798534798534,0.1182170492822811
1524,77 <= 1.0820475816726685,rule,0.0774600103139577,0.8498168498168498,0.027672654716310557
1508,77 <= 1.9409617185592651 & 83 <= 0.8398175537586212,rule,-0.02867732025637414,0.8443223443223443,0.010396947457838316
1126,94 <= 1.0086440443992615 & 90 <= 1.7140148878097534,rule,0.005919634667302046,0.8388278388278388,0.0021765885351352457
972,83 <= 0.9312502145767212 & 83 <= 1.0748741626739502 & 94 <= 1.293017029762268,rule,-0.09886115940230304,0.836996336996337,0.03651624901785879
439,80 > -0.980497270822525,rule,0.16607190299375624,0.8351648351648352,0.061617942921352704
1653,91 > -0.8022154569625854 & 82 > -0.8727538883686066,rule,0.0004908457630233647,0.8333333333333334,0.00018292741543133266
361,80 <= 0.8302649557590485 & 84 <= 1.6617648005485535,rule,-0.06819146178296409,0.815018315018315,0.026477565432258404
991,80 > -2.6790770292282104 & 96 <= 0.8926866948604584 & 75 <= 0.7854990363121033 & 84 <= 0.8846285343170166,rule,-0.23490779646245663,0.8131868131868132,0.09155801305077693
1348,89 <= 0.8296791613101959 & 75 <= 1.8805289268493652 & 89 <= 0.8312070965766907,rule,-0.33827515346172926,0.8113553113553114,0.1323420728070797
1222,93 > -1.2838152647018433 & 81 <= 1.6693382859230042 & 89 <= 0.9161060154438019,rule,0.16451874368545408,0.8095238095238095,0.06460268167705197
690,96 > -0.87888965010643,rule,0.22016333029982316,0.8058608058608059,0.08708264550939998
745,77 <= 2.0755661725997925 & 80 > -0.8091126084327698,rule,-0.4041098918161642,0.8058608058608059,0.15984023501073133
123,95 > -0.8252902626991272,rule,0.18810050163189726,0.793040293040293,0.07620447597159374
777,82 <= 1.3875256180763245 & 85 > -0.9514288902282715 & 91 > -0.7469132244586945,rule,-0.2041910823115725,0.793040293040293,0.0827231947317003
1121,82 <= 1.2872498035430908 & 93 <= 0.7789120972156525,rule,-0.4681719884066879,0.782051282051282,0.1932859120775023
303,96 <= 0.761645495891571,rule,0.08533318935242318,0.7728937728937729,0.035751346494385605
1006,77 > -0.519562840461731,rule,0.04389913369219309,0.7454212454212454,0.019123523416758742
568,88 > -0.13166046142578125,rule,0.06867270016836619,0.7344322344322345,0.030328272155463448
1591,86 <= 0.5238924920558929,rule,0.16435169231760952,0.7271062271062271,0.07320991881048582
350,88 <= 1.1154680848121643 & 94 > -0.4599049240350723,rule,0.07006374056263132,0.7124542124542125,0.03171212202104781
850,89 > -0.7865870893001556,rule,0.037281108857146354,0.706959706959707,0.016968748860844186
646,94 > -0.4136077016592026,rule,0.031099251038404514,0.7051282051282052,0.01418079536880689
47,95 > -0.5256917476654053,rule,-0.38350152776158164,0.7051282051282052,0.174870985867022
104,96 <= 0.820176750421524 & 90 > -1.224928379058838,rule,-0.48446047981234486,0.7014652014652014,0.22169653299729955
1511,77 > -0.5509636998176575,rule,0.0075030113752458955,0.6996336996336996,0.0034395099303392716
730,76 > -0.6006901860237122 & 85 > -0.8662547469139099 & 94 > -0.6960581839084625 & 91 > -0.9934876561164856,rule,0.08031478111390038,0.6904761904761905,0.037129308828232975
1721,97 <= 0.4939405918121338,rule,0.07109495189568421,0.6831501831501832,0.03307680778180922
377,76 <= 0.5500004887580872,rule,0.20694512177602167,0.6794871794871795,0.09657584792179337
340,76 <= 0.5215771794319153,rule,0.03359272739939293,0.673992673992674,0.015746590498951222
905,80 > -0.37991638481616974,rule,0.1373955426554145,0.6648351648351648,0.06485729899697897
921,97 <= 1.1773332357406616 & 91 <= 0.6251821517944336,rule,-0.0644816554934538,0.663003663003663,0.03047942242620846
1956,96 > -0.24473541229963303,rule,0.23849656167825548,0.6593406593406593,0.11303090429055174
1430,76 > -0.1485983356833458,rule,0.04632561144369335,0.6538461538461539,0.022039083363884993
466,77 <= 0.9187220931053162 & 80 > -1.9105736017227173 & 97 > -0.3191143721342087,rule,-0.4291698554173233,0.6318681318681318,0.20698751154421188
1949,77 <= 1.860170841217041 & 91 > -0.9654299318790436 & 80 <= 0.6265197098255157 & 77 <= 1.6913576126098633,rule,-0.0192852406681838,0.6208791208791209,0.009356586611442713
765,84 <= 1.6542161703109741 & 83 <= 1.0451041460037231 & 77 > -0.49552176892757416,rule,0.502866788777145,0.5989010989010989,0.24646556209369802
614,87 <= 0.19219975173473358,rule,-0.1092147790077466,0.5934065934065934,0.053646051347736805
1265,91 <= 0.6282950043678284 & 93 > -0.2880822569131851 & 78 <= 1.7315202951431274,rule,-0.05010243191347646,0.5897435897435898,0.024644392037464574
1527,89 <= 0.8106010854244232 & 89 <= 0.8161874711513519 & 76 > -1.0506463646888733 & 94 <= 0.8669230937957764,rule,0.31510028205839924,0.5897435897435898,0.15499157596927182
1210,85 <= 1.3423194885253906 & 92 > -0.23493757843971252,rule,-0.06776612662046583,0.5897435897435898,0.033332812949664746
487,87 <= 1.1334755420684814 & 75 <= 1.7905946373939514 & 97 <= 0.5802584588527679 & 92 > -0.8127362728118896 & 97 <= 0.5969178378582001,rule,-0.047022933627128255,0.5879120879120879,0.02314519545233869
1911,83 <= 0.4021341800689697 & 83 > -1.6166483759880066,rule,-0.10419813881485596,0.5787545787545788,0.05144874415829223
1031,93 > -1.2921881079673767 & 91 <= 0.5163865089416504,rule,-0.0005629380821371103,0.5787545787545788,0.0002779556112445896
140,83 <= 0.5034305155277252 & 95 > -1.2065450549125671,rule,-0.0253243016936083,0.5677655677655677,0.012545318291354121
1768,92 > -0.18313318490982056,rule,0.10648422817475058,0.5604395604395604,0.05285170214161718
524,91 > 0.18915829062461853,rule,-0.05807267284716598,0.5567765567765568,0.028848527286285484
1007,89 <= 0.8370411396026611 & 76 <= 0.5780653953552246 & 75 <= 1.8316181898117065,rule,-0.27940881383186783,0.554945054945055,0.13885832108844365
526,75 <= 1.794716238975525 & 80 > -2.37204110622406 & 97 > 0.32035525143146515,rule,-0.0707520648410327,0.5476190476190477,0.035215231440670486
1533,96 > -1.065164864063263 & 97 > 0.32055841386318207,rule,-0.14001073925581323,0.5476190476190477,0.06968716175493692
801,84 > -0.2394777163863182,rule,-0.9104830722870575,0.5421245421245421,0.45362302770751844
1064,76 > 0.07382838800549507,rule,0.03262890537950371,0.5384615384615384,0.016266113464419144
890,93 > -0.24187292903661728 & 91 <= 0.8468257486820221,rule,-0.2717528447391403,0.5384615384615384,0.13547382467761993
688,84 <= 1.658029019832611 & 97 > 0.3204347491264343,rule,-0.07813526196477659,0.5384615384615384,0.038951874784299026
93,75 <= 1.7290802597999573 & 76 <= 0.24380896240472794 & 77 <= 1.8423997163772583,rule,0.14001542417345342,0.5347985347985348,0.06983795627233096
821,97 > 0.3203596770763397 & 75 <= 1.8027458786964417,rule,-0.5354425510055932,0.532967032967033,0.2671387091742424
939,87 <= 2.017290711402893 & 81 > -1.282282292842865 & 84 > -0.2282087281346321,rule,-0.014416396406924728,0.532967032967033,0.007192513034045045
9,93 > -1.2459744811058044 & 86 <= 0.32090796530246735,rule,0.042022573596452124,0.5238095238095238,0.020987450957543036
1561,82 > -0.9717743396759033 & 92 <= 0.9522732198238373 & 94 <= 0.7734701633453369 & 82 <= 1.2857126593589783,rule,0.23724020292559747,0.5238095238095238,0.1184855352238328
1175,77 > -0.04706263728439808,rule,-0.08608589089457216,0.5164835164835165,0.04301954900835222
1778,77 > -1.2475780844688416 & 76 <= 0.29622645676136017 & 83 <= 1.4719946384429932,rule,-0.02770461984180493,0.5128205128205128,0.013847755487137771
1199,95 > -0.6150892674922943 & 85 <= -0.06132723018527031,rule,-0.09574010866418649,0.5091575091575091,0.04786202489566799
1749,75 > -1.2290902137756348 & 89 <= 0.6257641315460205,rule,-0.10209597642311005,0.4926739926739927,0.051042508387242794
1426,84 <= 1.6278133988380432 & 97 <= 0.3381187915802002,rule,-0.10191103980829917,0.48717948717948717,0.050938766486006745
1838,97 > 0.3380613774061203,rule,0.021568163605967444,0.4816849816849817,0.010776844551951811
760,95 <= 0.7299664318561554 & 92 <= 0.19082047790288925,rule,0.2421715481415722,0.47985347985347987,0.12098744100426362
698,85 <= 1.9246647953987122 & 89 > 0.546939343214035,rule,-0.17911961399399712,0.47435897435897434,0.08944196509464813
310,81 > -1.3331102132797241 & 97 <= 0.33754904568195343,rule,-0.3857570543157215,0.4725274725274725,0.19258716089713232
1792,94 > -0.41449037194252014 & 82 > 0.0305739501491189,rule,0.025132215414025286,0.46703296703296704,0.0125387636297915
1246,77 <= 0.01932921353727579,rule,0.08067918687427536,0.46153846153846156,0.04022006845312073
21,91 > 0.18960699439048767 & 95 <= 0.7781595289707184,rule,-0.21037501078961635,0.46153846153846156,0.10487583802709687
121,97 <= 0.33829544484615326 & 84 > -1.3452342748641968 & 84 <= 1.6466560363769531 & 92 > -1.0252283215522766 & 80 > -1.2507011890411377,rule,0.3693303239385316,0.4597069597069597,0.1840645667702769
1301,96 <= 0.7752072513103485 & 90 <= -0.28744329512119293 & 84 <= 0.8205135464668274,rule,-0.3858706629277823,0.4597069597069597,0.19230783880335442
1452,94 > -0.24649521708488464 & 92 <= 0.5915554165840149,rule,0.09458175742400472,0.45787545787545786,0.04712274667644578
1557,95 > -2.029687523841858 & 86 <= 0.13283319026231766 & 97 <= 1.1169142127037048,rule,-0.020929683161854673,0.45787545787545786,0.010427636200847735
253,94 <= 0.9138127565383911 & 77 <= 0.008917822735384107,rule,0.009036868202208602,0.45787545787545786,0.00450236982943844
284,75 <= 1.778321921825409 & 86 <= 0.0942230261862278,rule,0.12155658216430679,0.44871794871794873,0.06045777050325337
1262,75 <= 1.757948398590088 & 81 <= 1.6582484245300293 & 87 > 0.09214586392045021,rule,-0.021053951986565567,0.44505494505494503,0.01046322191858415
1011,88 <= 1.076296627521515 & 76 <= 0.6344532370567322 & 87 > -0.8914428055286407 & 88 > -0.31599751114845276,rule,-0.07085860690186117,0.43223443223443225,0.03510240037497873
1826,95 <= 0.6033211350440979 & 84 <= 0.8318826854228973 & 86 > -0.336754709482193 & 81 <= 0.8494357764720917,rule,-0.2597031565026063,0.43040293040293043,0.12858748765218667
349,85 <= 1.4100444316864014 & 87 <= 0.06907808035612106,rule,0.25399697097906215,0.42857142857142855,0.12569590248695237
167,89 <= 0.7076417207717896 & 93 > -1.2502338290214539 & 85 > -0.8142480850219727 & 94 > -0.6498093605041504,rule,-0.158921066308021,0.4267399267399267,0.07860297015459648
951,93 > -1.2416894435882568 & 94 > -0.3643723428249359,rule,-0.2868679778349399,0.4249084249084249,0.1418071882119712
1925,83 > 0.2508290708065033 & 81 <= 1.6111257672309875 & 83 > 0.2374274656176567,rule,-0.08300704186736627,0.42124542124542125,0.04098545433675155
1855,91 > -1.076132595539093 & 85 <= 1.3260504603385925 & 97 <= 0.42490482330322266 & 91 <= 0.6277621686458588,rule,-0.11642163295792585,0.4157509157509158,0.05737851628819527
1137,95 > -2.387610912322998 & 77 > 0.2667151540517807,rule,-0.04461053904393248,0.41208791208791207,0.021957788801384503
1237,91 > -1.1313086152076721 & 94 <= -0.22352193295955658,rule,0.357715585278657,0.41025641025641024,0.17595319797534795
670,87 > 0.19219975173473358,rule,0.5180753848904909,0.4065934065934066,0.25447745215748174
63,89 > 0.5048928558826447 & 80 <= 0.507246732711792,rule,-0.004422081704350412,0.4065934065934066,0.0021721164876288687
503,80 > -1.6622926592826843 & 95 <= 0.9098725020885468 & 95 <= 0.9381138384342194 & 81 <= 0.8678010702133179 & 77 > -0.9145289659500122 & 84 <= 0.8318672478199005 & 87 <= 0.3995548188686371 & 77 > -0.8542275428771973,rule,0.13524535766400392,0.40476190476190477,0.0663846303598961
886,89 <= 0.38681483268737793 & 87 <= 2.117050528526306,rule,-0.07693802173351783,0.4010989010989011,0.037708938422919495
288,84 <= 1.6428874731063843 & 77 <= -0.13455934822559357 & 80 > -1.8174139857292175 & 80 <= 1.4180702567100525,rule,-0.07300939881172518,0.3992673992673993,0.03575619509679484
992,92 <= -0.24762053787708282,rule,0.026396363950297992,0.3974358974358974,0.012917524113638631
1699,97 <= 0.30363401770591736 & 80 > -2.37204110622406 & 94 <= 1.1752850413322449 & 97 <= 0.32035525143146515,rule,-0.4700789521893907,0.3956043956043956,0.22985926246433896
1349,97 > -0.3368867486715317 & 97 <= 0.3729126900434494 & 85 <= 1.3087761402130127,rule,0.015520610348804987,0.38644688644688646,0.0075575283392743066
771,85 <= 1.92510187625885 & 77 > -0.8713447749614716 & 84 <= 1.6653503775596619 & 83 <= 0.5764999389648438 & 92 <= 0.14970868080854416,rule,-0.21602840838870638,0.3772893772893773,0.10471075522462779
804,80 > -2.1302372217178345 & 75 > -1.3974337577819824 & 84 <= -0.2020428106188774,rule,0.03757529810462422,0.37545787545787546,0.018195496559223905
1853,77 <= -0.000878116930834949 & 76 > -0.8252955973148346 & 80 <= 0.8523156642913818,rule,0.11022260258540141,0.37545787545787546,0.053374293412313895
1165,84 > -1.2770272493362427 & 89 > 0.26775220036506653 & 86 > -0.6496801674365997,rule,-0.41803517946421004,0.36996336996337,0.20182506190828095
