,rule,type,coef,support,importance
973,1F0mean <= 2.155426025390625,rule,0.010796218261682432,0.9647058823529412,0.0019921419632803255
1156,F0min <= 2.0974677205085754,rule,0.015674541664834996,0.9647058823529412,0.0028923009380543542
501,skwdurunvoiced <= 1.454956293106079,rule,-0.031212303446355595,0.9529411764705882,0.006609664259228247
568,1F0std > -0.9274142682552338,rule,0.025034422122264165,0.9529411764705882,0.005301407037655944
509,F0skew > -1.348989486694336,rule,-0.05382533919002074,0.9529411764705882,0.011398307122592634
319,VP <= 1.2439221143722534,rule,0.00013302316283865002,0.9529411764705882,2.816961095406708e-05
1283,mindurvoiced <= 1.733717441558838,rule,-0.104059578577039,0.9411764705882353,0.024484606724009178
1437,stdEvoiced <= 1.7359925508499146,rule,-0.2712067461539432,0.9411764705882353,0.06381335203622193
110,stdEvoiced <= 1.7406946420669556,rule,-0.0018996431255088619,0.9411764705882353,0.00044697485306090874
1866,lastF0ku <= 1.872939646244049,rule,0.018260815368642932,0.9411764705882353,0.00429666243968069
1451,avgEvoiced > -1.2778277397155762,rule,-0.009721974434366114,0.9411764705882353,0.002287523396321439
548,F0tiltskw > -1.5914121866226196,rule,0.0063782198148113435,0.9411764705882353,0.001500757603485022
1605,mindurvoiced <= 1.3892276287078857,rule,-0.03302382198241834,0.9411764705882353,0.0077703110546866695
1839,kurtosislastEvoiced > -1.0863094925880432,rule,0.004966240794553151,0.9294117647058824,0.0012720319453875977
844,avgEvoiced > -0.912323534488678,rule,0.0020063391811398334,0.9294117647058824,0.0005138952453718659
1245,stdlastEvoiced <= 1.3102064728736877,rule,0.028880173544527918,0.9294117647058824,0.007397245694825945
1749,F0kurt > -0.8830445408821106,rule,0.009153898581759108,0.9294117647058824,0.0023446409271187002
1617,lastF0std > -0.9277946054935455,rule,-0.003736977479885645,0.9294117647058824,0.0009571736309729804
507,kurtosislastEvoiced > -1.1161175966262817,rule,-0.044849239982472186,0.9294117647058824,0.01148749493714239
953,kurtosisdurvoiced <= 1.6622394323349,rule,-0.011710745564272509,0.9294117647058824,0.002999540916018165
1494,kurtosislastEvoiced > -1.112434446811676,rule,0.0049637516545792916,0.9176470588235294,0.0013645436742663584
952,avgEunvoiced > -1.037179946899414,rule,0.0434829283996435,0.9176470588235294,0.011953530114983055
424,skwdurunvoiced <= 1.4618881940841675,rule,-0.28149825930984207,0.9176470588235294,0.07738434470303737
1865,avgtiltEunvoiced <= 1.6168025135993958,rule,0.05417494445939543,0.9058823529411765,0.015818667777194772
902,kurtosismseEvoiced <= 1.170272171497345,rule,0.19805171181616305,0.9058823529411765,0.057829579027492105
1453,F0kurt > -0.9216934740543365 & kurtosisdurvoiced <= 1.6622394323349,rule,0.06333585010380438,0.8941176470588236,0.019487616713345177
1079,PVU <= 1.031727135181427 & F0tiltskw <= 2.095332145690918,rule,-0.029190714006050007,0.8941176470588236,0.008981602760623715
1073,avgdurpause <= 0.4652608036994934,rule,0.028208092575687318,0.8941176470588236,0.008679262936056066
467,1F0max > -1.0852278470993042,rule,-0.005018642396894972,0.8941176470588236,0.0015441709441294535
