,rule,type,coef,support,importance
64,mindurunvoiced <= 2.4400951862335205,rule,0.21469158299559185,0.9878048780487805,0.023563710328784484
166,skwdurunvoiced > -2.4376981258392334,rule,0.03504253155009685,0.975609756097561,0.00540557144763985
1312,avgdurpause <= 2.2137123346328735 & stddurunvoiced <= 1.0796211659908295,rule,0.02131935307858008,0.9634146341463414,0.004002527668760413
1601,stddurunvoiced <= 0.8937072157859802,rule,-0.0014391805532051976,0.9634146341463414,0.00027019393896774726
559,stddurunvoiced <= 0.8465758860111237,rule,0.005490105868664506,0.9512195121951219,0.0011826171259236111
1642,skwdurunvoiced > -1.0964261889457703,rule,0.03911661060177564,0.9512195121951219,0.008426062213076763
1266,avgdurpause <= 1.306183636188507,rule,-0.09489232135710246,0.9512195121951219,0.0204406412262601
421,avgdurpause <= 1.1524311304092407,rule,0.014497305926004116,0.9512195121951219,0.003122847296206488
138,maxdurunvoiced > -2.4749724864959717,rule,-0.04690490048433172,0.9390243902439024,0.011223665922747417
1535,kurtosisdurunvoiced <= 1.7640653848648071,rule,0.011993185999163786,0.9390243902439024,0.0028697963669904983
502,stddurunvoiced <= 0.7858902215957642,rule,-0.06941323677184172,0.9390243902439024,0.016609586036835565
355,skwdurunvoiced <= 1.4337374567985535,rule,-0.0032275255153358484,0.9390243902439024,0.0007723002877572116
290,avgdurpause <= 0.8595884442329407,rule,0.026466617254840074,0.9390243902439024,0.006333079637868026
1249,skwdurunvoiced > -1.432003915309906,rule,-0.00048049450933275033,0.9390243902439024,0.00011497540331135971
552,stddurunvoiced <= 0.8299547433853149 & avgdurpause <= 2.2137123346328735,rule,-0.029591252984597756,0.9390243902439024,0.0070807598844724335
646,stddurunvoiced <= 0.8174183070659637,rule,-0.008243105130479822,0.926829268292683,0.002146640939459849
103,maxdurunvoiced > -2.347684621810913,rule,0.04058038537058771,0.926829268292683,0.010567803660959793
741,skwdurunvoiced <= 1.4121288657188416,rule,0.0031822803825800623,0.926829268292683,0.0008287184552368648
1027,skwdurunvoiced <= 1.4432622194290161,rule,-0.08707267992516304,0.926829268292683,0.022675166272561987
523,stddurunvoiced <= 1.0796211659908295 & stddurunvoiced <= 0.7776531279087067,rule,-0.040236647088476615,0.926829268292683,0.010478288525927623
375,avgdurpause <= 1.306183636188507 & stddurunvoiced <= 1.0308976471424103,rule,-0.031192886863373615,0.9146341463414634,0.008716083243634343
1048,stddurunvoiced <= 0.7568217515945435,rule,0.02020643787058109,0.9146341463414634,0.0056461909187414715
835,skwdurunvoiced <= 1.4367194175720215,rule,-0.02383066257427143,0.9146341463414634,0.006658891165094514
107,maxdurunvoiced > -1.965821087360382,rule,-0.009536607213829706,0.9146341463414634,0.0026647697823436916
162,skwdurunvoiced <= 1.4583280086517334,rule,-0.0480206398373146,0.9146341463414634,0.01341818396187232
553,mindurunvoiced <= 1.3090165853500366,rule,0.05049540046306335,0.9146341463414634,0.014109694809091215
994,avgdurpause <= 1.306183636188507 & stddurunvoiced <= 0.8554182648658752,rule,-0.018335761409213697,0.9146341463414634,0.005123476498925117
540,kurtosisdurunvoiced <= 1.8085659742355347,rule,0.01287264717506401,0.9146341463414634,0.0035969439069628217
147,skwdurunvoiced > -0.9605522453784943,rule,-0.0016973249999421326,0.9146341463414634,0.0004742756275107158
256,stddurunvoiced > -2.428629755973816,rule,0.12333256093108302,0.9024390243902439,0.03659525270230799
1106,skwdurunvoiced > -1.1032642126083374,rule,0.023260739846631046,0.9024390243902439,0.006901929598346442
1315,avgdurpause <= 1.622909665107727 & avgdurpause <= 0.5618431568145752,rule,0.01177934728865088,0.9024390243902439,0.0034951693814036827
712,avgdurpause <= 0.7746794819831848,rule,-0.06161658404172856,0.9024390243902439,0.01828288042214623
1381,stddurunvoiced <= 0.7475697994232178,rule,0.0039892582369735405,0.9024390243902439,0.0011836931964656675
905,stddurunvoiced <= 0.7262134552001953,rule,-0.04095751969541121,0.9024390243902439,0.012152920299375545
937,avgdurpause <= 0.4887343794107437,rule,-0.020773423005908526,0.8902439024390244,0.006493470876788335
1308,stddurunvoiced <= 0.8665567636489868 & avgdurpause > -0.5941727757453918,rule,0.034908556473692696,0.8902439024390244,0.010911908680055815
1561,kurtosisdurunvoiced <= 0.780856728553772,rule,-0.10429768739656506,0.8902439024390244,0.032601945063812525
1446,maxdurunvoiced > -1.2020940780639648,rule,-0.06031118684956521,0.8902439024390244,0.018852402670508438
432,stddurunvoiced <= 0.6898957788944244,rule,0.0032636584955070824,0.8902439024390244,0.0010201723320384106
858,skwdurunvoiced <= 1.1518378257751465 & skwdurunvoiced <= 1.4121288657188416,rule,0.007276943441670908,0.8902439024390244,0.002274667025125613
1223,skwdurunvoiced <= 1.4337374567985535 & skwdurunvoiced <= 0.9496603012084961,rule,0.015769390131539655,0.8902439024390244,0.004929282744338346
637,kurtosisdurunvoiced <= 0.6932969093322754,rule,0.00648211302463397,0.8780487804878049,0.002121138345500243
1145,maxdurunvoiced > -0.9475183486938477,rule,-0.03733359946346382,0.8780487804878049,0.012216653596837284
661,skwdurunvoiced <= 1.3623276352882385 & skwdurunvoiced <= 0.8951721489429474,rule,0.027332848847352285,0.8780487804878049,0.008944113371913144
113,avgdurpause <= 0.7875661551952362,rule,-0.003949941509101976,0.8780487804878049,0.0012925372275366033
437,stddurunvoiced <= 0.7562967836856842,rule,-0.09755377595448943,0.8780487804878049,0.03192246943844236
1461,mindurunvoiced <= 0.7434772700071335,rule,-0.08564098763884588,0.8780487804878049,0.0280242541493676
215,avgdurpause <= 0.7797196209430695,rule,-0.004752448613551807,0.8780487804878049,0.001555141194069727
509,stddurunvoiced <= 0.6284871399402618,rule,0.007066060581971395,0.8658536585365854,0.0024081804209539386
531,stddurunvoiced <= 0.6944551467895508,rule,0.017204704849148957,0.8658536585365854,0.0058635264848596125
422,skwdurunvoiced > -0.9603919982910156,rule,-0.03511438069989835,0.8658536585365854,0.011967313769028818
1647,stddurunvoiced <= 0.6310533881187439,rule,-0.17504902711448883,0.8658536585365854,0.05965836761712803
1450,stddurunvoiced <= 0.6853251457214355,rule,-0.00882324344427409,0.8536585365853658,0.0031185596310810233
620,maxdurunvoiced > -1.0748062133789062,rule,-0.01015567828725086,0.8536585365853658,0.003589506345698734
574,skwdurunvoiced > -1.0964261889457703 & skwdurunvoiced <= 1.4541966915130615,rule,-0.02442185669780045,0.8536585365853658,0.008631861615836007
1396,skwdurunvoiced > -0.8687716126441956,rule,0.016741294179842083,0.8536585365853658,0.005917180516558053
769,kurtosisdurunvoiced <= 1.0336685180664062,rule,-0.03233139208197054,0.8536585365853658,0.01142747276557564
655,avgdurpause <= 0.40116778016090393,rule,-0.058233184137341416,0.8414634146341463,0.02126928578632058
714,mindurunvoiced <= 1.3090165853500366 & kurtosisdurunvoiced <= 1.417720079421997,rule,0.051466505005081875,0.8414634146341463,0.018797800937597166
512,kurtosisdurunvoiced <= 0.7009344100952148,rule,0.059812769874914795,0.8414634146341463,0.02184621904137336
1475,avgdurpause > -1.0973261892795563 & avgdurpause <= 1.1524311304092407,rule,-0.10771291767370815,0.8414634146341463,0.039341431570654145
493,avgdurpause <= 0.2732703238725662,rule,0.08844888477586815,0.8292682926829268,0.03328104721090115
807,skwdurunvoiced > -0.7807336151599884,rule,-0.005976928210080451,0.8292682926829268,0.002248964816683885
724,skwdurunvoiced > -1.441362202167511 & mindurunvoiced <= 1.3090165853500366 & stddurunvoiced <= 0.9025495946407318,rule,0.04920539590008135,0.8292682926829268,0.018514728683481196
524,avgdurpause > -0.41776837408542633,rule,0.012136985490649909,0.8170731707317073,0.0046922377724222175
