,rule,type,coef,support,importance
324,F0min <= 2.213104009628296,rule,-0.004243126464151751,0.9767441860465116,0.0006395023805748771
1775,F0kurt <= 1.698992371559143,rule,0.010872243868305743,0.9767441860465116,0.0016386091469847537
1751,F0std <= 1.7034960389137268,rule,0.05513555418982957,0.9651162790697675,0.010116562443365307
1424,F0std <= 1.717113971710205,rule,-0.015203752520270614,0.9651162790697675,0.002789664745460424
535,F0max <= 1.5085252523422241,rule,-0.012244905536087331,0.9651162790697675,0.00224675988641441
736,F0min <= 2.1846264600753784,rule,0.01934723355748396,0.9651162790697675,0.0035499325120915085
1718,F0min > -0.555726170539856,rule,-0.04357823282132396,0.9651162790697675,0.007995964128528842
1077,F0max <= 1.6045615077018738,rule,0.016309467493653466,0.9651162790697675,0.002992547163841104
698,F0tiltavg > -1.6650029420852661,rule,0.01516765067088122,0.9651162790697675,0.002783040587618257
249,F0skew > -1.6532343626022339,rule,0.011663773381601726,0.9651162790697675,0.0021401306919664924
1010,F0max <= 1.5984387397766113,rule,-0.004689136737641017,0.9651162790697675,0.0008603875540725796
1375,F0std <= 1.7891822457313538,rule,-0.026169133790788182,0.9651162790697675,0.004801650767339609
756,F0skew > -2.048405885696411,rule,0.01514745395175877,0.9651162790697675,0.002779334787011812
1215,F0kurt > -0.9507274627685547,rule,0.01497041982339971,0.9534883720930233,0.003152625980941662
1777,F0min <= 2.4920812845230103,rule,-0.02322944664766785,0.9534883720930233,0.004891897347452266
794,F0max <= 1.5753636360168457,rule,-0.019392670238062133,0.9534883720930233,0.0040839092526173855
1547,F0max > -1.0305920839309692,rule,-0.0062411584732867936,0.9418604651162791,0.0014604754818786357
1641,F0max <= 1.472706139087677,rule,-0.012245121942622646,0.9418604651162791,0.0028654456454454257
403,F0tiltavg <= 1.3238809704780579,rule,0.04125045360131813,0.9418604651162791,0.009652899595316686
1015,F0std <= 1.3592104315757751,rule,0.013970950658504986,0.9418604651162791,0.0032693018423768996
596,F0std <= 1.3428505063056946,rule,0.08798341428887811,0.9302325581395349,0.02241418636853065
546,F0max > -1.0204750895500183,rule,-0.013012380173306061,0.9302325581395349,0.003314964719884983
50,F0skew > -1.3146153688430786,rule,-0.005719171754821204,0.9302325581395349,0.0014569857583078972
48,F0skew > -1.312129557132721,rule,-0.008250248642759292,0.9302325581395349,0.0021017894356584396
970,F0min > -0.5287790596485138,rule,-0.046219535638135634,0.9302325581395349,0.011774642914614336
329,F0skew > -1.4933148622512817,rule,-0.00598449427133961,0.9302325581395349,0.00152457791054565
386,F0tiltavg <= 1.3238809704780579 & F0std <= 1.7034960389137268,rule,0.055737158471523524,0.9302325581395349,0.014199301853997025
1301,F0skew > -1.3577351570129395,rule,0.003999512059410713,0.9302325581395349,0.0010188944064898557
227,F0skew <= 1.0326599478721619,rule,0.014967956142957425,0.9186046511627907,0.004092857426558053
1773,F0std <= 1.3336530327796936,rule,0.0004444634224240128,0.9186046511627907,0.00012153465723223986
1636,F0skew > -1.3532202243804932,rule,-0.014432125277535592,0.9186046511627907,0.003946339136687686
1260,F0min > -0.5279386937618256,rule,-0.03038551647371486,0.9186046511627907,0.008308655207929658
15,F0kurt <= 0.9636499285697937,rule,0.02475691550263115,0.9186046511627907,0.006769563225991228
1734,F0kurt > -0.8087843060493469,rule,-0.01515259184881778,0.9069767441860465,0.0044012979426239504
273,F0min > -0.555726170539856 & F0skew > -1.4933148622512817,rule,-0.05571547948485825,0.9069767441860465,0.01618339804012776
828,F0tiltavg > -1.3541185855865479,rule,0.0422768765575994,0.9069767441860465,0.012279953929336953
880,F0skew > -1.6532343626022339 & F0min > -0.5378976762294769,rule,0.012631208456364111,0.9069767441860465,0.003668924257085898
611,F0min <= 3.40764582157135 & F0tiltavg <= 1.2068684101104736,rule,0.025802711302022274,0.9069767441860465,0.007494785136482831
1729,F0max <= 1.6045615077018738 & F0tiltavg <= 1.252182424068451,rule,-0.05131184997596641,0.9069767441860465,0.014904297692745544
617,F0tiltavg <= 1.8522211909294128 & F0tiltavg <= 1.1809130907058716,rule,-0.07006928044287483,0.9069767441860465,0.02035267516813811
706,F0skew > -1.2221966981887817,rule,0.0004231654125059492,0.9069767441860465,0.00012291475135307376
650,F0skew <= 1.0025857985019684,rule,0.008426546542892882,0.9069767441860465,0.0024476170369198604
395,F0skew > -1.319130301475525,rule,0.015584872158607013,0.9069767441860465,0.004526860252827708
418,F0min <= 1.6199705600738525,rule,0.023162595048731055,0.9069767441860465,0.006727923707769214
1442,F0skew > -1.0433671474456787,rule,0.011201144340598362,0.9069767441860465,0.0032535406505492244
895,F0skew > -1.188130795955658,rule,-0.002527827956011875,0.9069767441860465,0.0007342456058413802
436,F0tiltavg <= 0.9326219856739044,rule,0.05773750745040038,0.8953488372093024,0.017673647849792463
