,rule,type,coef,support,importance
830,eye_lmk_Y_47 > -1.369435727596283,rule,0.11633221649934447,0.920892494929006,0.03139881901560406
405,eye_lmk_Z_8 <= 1.081114411354065,rule,0.07652863781516729,0.8742393509127789,0.025375320931724232
209,eye_lmk_Z_45 > -1.0612797737121582,rule,0.0029335504898263063,0.8742393509127789,0.000972704954301513
50,eye_lmk_Z_35 > -2.2717480659484863 & eye_lmk_Z_8 <= 1.081114411354065,rule,0.09772230148563275,0.8600405679513184,0.03390425774923737
225,eye_lmk_Z_16 <= 0.8126905560493469,rule,0.0014797105422730617,0.8580121703853956,0.0005164747003992377
261,eye_lmk_Z_3 <= 1.7564151883125305 & eye_lmk_X_35 > -1.5320159792900085 & eye_lmk_Y_18 > -1.605285406112671 & eye_lmk_Z_18 <= 1.7879060506820679,rule,0.20277240765489948,0.8559837728194726,0.07119464657429918
179,eye_lmk_Y_38 > -1.3866522908210754 & eye_lmk_Y_37 > -1.3163245916366577 & eye_lmk_Z_14 <= 1.5664221048355103,rule,0.3744291665976862,0.845841784989858,0.1352065015454399
1353,eye_lmk_Y_19 > -1.0306228995323181,rule,-0.12351720338449104,0.8417849898580122,0.045076675710264746
1764,eye_lmk_Z_14 <= 1.4829650521278381 & eye_lmk_Y_39 > -1.2572818994522095 & eye_lmk_Y_38 > -1.270444929599762,rule,0.12213700012354918,0.8397565922920892,0.044803717040372525
1478,eye_lmk_Z_5 > -0.7480969727039337,rule,8.976001596721237e-05,0.8093306288032455,3.526033032532749e-05
239,eye_lmk_Z_18 <= 0.6358086168766022,rule,0.05193072755470338,0.8073022312373225,0.020482399214481816
945,eye_lmk_Z_5 > -0.7466593682765961,rule,0.01669874086858331,0.8052738336713996,0.0066125303140163565
349,eye_lmk_Z_0 <= 0.7218084037303925,rule,0.0173815389329573,0.8032454361054767,0.006909947796349538
1013,eye_lmk_Y_39 > -0.8121219575405121 & eye_lmk_Y_6 > -0.895026445388794,rule,0.12176651222648974,0.795131845841785,0.049145602966556574
714,eye_lmk_Z_8 <= 0.6904827058315277,rule,0.10085437643891539,0.7890466531440162,0.04114710640082029
1685,eye_lmk_Y_37 > -0.7368046939373016,rule,0.023103705771947668,0.7870182555780934,0.009459000277206047
1945,eye_lmk_Z_34 > -1.0112962126731873 & eye_lmk_X_11 > -1.2866933345794678,rule,0.14371446317402156,0.7647058823529411,0.06096116070584894
1438,eye_lmk_Y_12 > -0.6211170852184296,rule,0.019412048815742523,0.7505070993914807,0.008399972673778358
1144,eye_lmk_Y_36 > -0.5614877045154572,rule,0.10608644646069283,0.744421906693712,0.0462733868536134
1421,eye_lmk_X_42 > -0.5244247317314148,rule,-0.0010457989518747879,0.7281947261663286,0.0004652655601671249
777,eye_lmk_Y_47 > -0.5480823516845703,rule,0.004275966299192803,0.7241379310344828,0.0019111330220827063
1833,eye_lmk_X_21 <= 0.4801685959100723 & eye_lmk_Y_27 > -1.8755903840065002 & eye_lmk_X_9 <= 0.4483249634504318,rule,-0.2356257168383693,0.6835699797160243,0.10958548123340162
1561,eye_lmk_Y_42 <= 0.3411407768726349,rule,-0.027847823405407292,0.6774847870182555,0.013017156688995038
210,eye_lmk_Y_8 <= 0.3643575757741928,rule,-0.10102248885627216,0.6450304259634888,0.04833967530289968
1786,eye_lmk_Y_42 <= 0.3411407768726349 & eye_lmk_Z_37 <= 2.7376922369003296 & eye_lmk_Z_19 <= 1.8950692415237427 & eye_lmk_Y_47 <= 0.4221303313970566,rule,-0.029438233497144063,0.6064908722109533,0.014381403965759331
1274,eye_lmk_X_43 > -0.16221294552087784,rule,-0.0026370596197406934,0.5983772819472617,0.001292756209381367
693,eye_lmk_X_9 <= 0.7290383279323578 & eye_lmk_X_41 <= 0.43245837092399597 & eye_lmk_X_36 <= 0.43372194468975067 & eye_lmk_Z_8 > -0.7753793001174927,rule,0.3350479935525662,0.5841784989858012,0.16513277404536086
1370,eye_lmk_Z_37 <= 2.7000657320022583 & eye_lmk_Z_8 <= 3.134910225868225 & eye_lmk_Z_14 <= 0.04076843336224556,rule,-0.14328321361539006,0.5821501014198783,0.07066802479744383
1086,eye_lmk_X_36 <= 0.26788853108882904,rule,-0.08793392605471817,0.5801217038539553,0.04339880126787753
430,eye_lmk_X_35 <= 0.2306298390030861,rule,-0.2031899591740544,0.5720081135902637,0.10053588506947038
1578,eye_lmk_Z_5 > -0.26074589788913727 & eye_lmk_Z_42 > -1.283988118171692,rule,0.5445707402727947,0.5496957403651116,0.2709371239794437
632,eye_lmk_Y_9 <= 0.0936342179775238 & eye_lmk_Z_38 <= 3.189833641052246,rule,-0.11791465029007213,0.5273833671399595,0.058868840586627676
147,eye_lmk_Y_46 <= 0.24096384644508362 & eye_lmk_Y_37 <= 0.26734836399555206 & eye_lmk_Z_44 > -1.0728787779808044,rule,0.2596627274581906,0.5192697768762677,0.12973490881900088
433,eye_lmk_X_41 <= 0.03072547074407339 & eye_lmk_X_30 <= 0.04153590276837349,rule,0.17235486791458268,0.4746450304259635,0.08606656008697952
1982,eye_lmk_X_19 <= 0.10941892862319946,rule,0.18071947473500324,0.47058823529411764,0.0902032701724177
1679,eye_lmk_X_19 > -1.4567320346832275 & eye_lmk_X_1 > 0.1543874889612198 & eye_lmk_X_16 > -1.4174129962921143,rule,0.17456279388818866,0.46247464503042596,0.08703523883280574
848,eye_lmk_Y_38 <= -0.09623081609606743,rule,0.0421768886014653,0.45841784989858014,0.02101539075409794
1536,eye_lmk_Z_1 <= -0.17988063395023346 & eye_lmk_Z_13 <= -0.25203312933444977 & eye_lmk_Z_5 <= -0.2348688468337059,rule,0.5184351471066103,0.45841784989858014,0.25831960484456284
444,eye_lmk_X_7 > -0.2943456918001175 & eye_lmk_X_11 > -0.3051842600107193 & eye_lmk_X_10 > 0.12325198203325272,rule,0.23288520845142305,0.4563894523326572,0.11599883893667032
107,eye_lmk_Z_11 <= 2.287106990814209 & eye_lmk_Z_52 > 0.030672035180032253,rule,0.09015151217143293,0.4563894523326572,0.044903971402085074
1776,eye_lmk_Y_7 > -1.8977530002593994 & eye_lmk_X_0 > -1.1959394216537476 & eye_lmk_X_38 > -1.2403871417045593 & eye_lmk_X_42 > -1.2250056862831116 & eye_lmk_Y_47 <= 0.19096051901578903,rule,-0.20921276824642224,0.45030425963488846,0.1040884159513762
242,eye_lmk_Z_14 > -0.3252713084220886 & eye_lmk_X_54 <= 0.4130314588546753 & eye_lmk_X_8 <= 0.304993212223053,rule,0.3605744234942649,0.4462474645030426,0.179242363729683
84,eye_lmk_X_35 > 0.2306298390030861,rule,0.3194922442776778,0.4279918864097363,0.1580808209315752
27,eye_lmk_X_36 > 0.26788853108882904,rule,0.0053359359912108825,0.4198782961460446,0.002633491259295945
1754,eye_lmk_Y_19 <= -0.16786931455135345,rule,0.6636314429075669,0.4198782961460446,0.32752784275705593
1434,eye_lmk_X_14 > 0.18360313773155212 & eye_lmk_Z_9 <= 0.24731294810771942 & eye_lmk_Z_8 <= 0.2548290565609932 & eye_lmk_Z_3 <= 0.4259447902441025,rule,0.005549521964987705,0.4178498985801217,0.002737053042992239
1449,eye_lmk_Y_7 > -1.8977530002593994 & eye_lmk_X_0 > -1.1959394216537476 & eye_lmk_X_38 > -1.2403871417045593 & eye_lmk_Y_47 > 0.19096051901578903 & eye_lmk_X_42 > -1.2250056862831116,rule,0.6009784640808697,0.4178498985801217,0.29640569841207765
1600,eye_lmk_X_43 <= -0.16221294552087784,rule,0.035344539540093846,0.40162271805273836,0.017326825914794647
654,eye_lmk_Z_42 > -1.283988118171692 & eye_lmk_Z_5 <= -0.26074589788913727,rule,-0.07117683361054934,0.39148073022312374,0.03474009698587645
694,eye_lmk_X_6 <= 0.18527471274137497 & eye_lmk_Z_8 <= 0.8149551749229431,rule,0.30720333623893165,0.3894523326572008,0.14980036470799366
863,eye_lmk_Z_1 <= 1.7159815430641174 & eye_lmk_Y_36 > 0.15008945763111115 & eye_lmk_Z_7 <= 1.6747664213180542,rule,0.1385517116001573,0.3813387423935091,0.06729670802847064
586,eye_lmk_Z_36 <= -0.184380941092968 & eye_lmk_Z_42 <= 0.048610994592309,rule,0.32014612255365393,0.3793103448275862,0.15533983641434707
1846,eye_lmk_Y_8 > 0.3643575757741928,rule,0.4353024392801546,0.35496957403651114,0.20829400276705243
1798,eye_lmk_Z_36 <= -0.346294566988945 & eye_lmk_Z_3 <= 1.6673401594161987 & eye_lmk_Z_13 <= 1.594097375869751,rule,0.2243137419029664,0.33874239350912777,0.10616368787172423
1337,eye_lmk_Z_38 <= 2.5772745609283447 & eye_lmk_Y_47 <= 0.26801712810993195 & eye_lmk_Z_15 > -0.08383237943053246 & eye_lmk_Y_36 <= 0.2602353096008301 & eye_lmk_Z_3 > -1.7203401923179626 & eye_lmk_Y_5 <= 0.454130619764328,rule,0.2799165840181278,0.32454361054766734,0.13105808516397038
572,eye_lmk_Y_42 > 0.3411407768726349,rule,0.035799226905055374,0.3225152129817444,0.016733952208182537
1236,eye_lmk_Y_52 <= 0.1980338841676712 & eye_lmk_Z_12 <= 1.9114627838134766 & eye_lmk_Y_10 > -1.3267451524734497 & eye_lmk_Z_25 > -0.39617055654525757 & eye_lmk_Z_6 <= 1.9575958251953125 & eye_lmk_Y_43 <= 0.18656433373689651 & eye_lmk_Y_7 > -1.3132721185684204,rule,-0.5476737967600604,0.3144016227180527,0.25427241199450296
648,eye_lmk_Z_41 > 0.40447407960891724 & eye_lmk_Z_42 > 0.3940996676683426 & eye_lmk_Z_33 > 0.44887034595012665,rule,0.5578970325419828,0.3022312373225152,0.2562002136742451
601,eye_lmk_Z_45 <= -0.3214403986930847 & eye_lmk_Y_18 > -0.970380961894989 & eye_lmk_Y_10 > -0.9129637181758881,rule,0.14997762601685516,0.29411764705882354,0.06833657033729461
1260,eye_lmk_X_9 > 0.4483249634504318 & eye_lmk_Y_27 > -1.8755903840065002,rule,0.6964322893714877,0.2920892494929006,0.31668386652501607
513,eye_lmk_X_42 <= -0.5244247317314148,rule,0.06302225389619591,0.2718052738336714,0.0280379744208417
1616,eye_lmk_Z_42 <= 1.330152690410614 & eye_lmk_Y_25 > -2.9031931161880493 & eye_lmk_X_5 <= -0.5851457118988037,rule,0.35240305315294557,0.25963488843813387,0.15450557697586598
417,eye_lmk_X_14 > -0.2399466335773468 & eye_lmk_Y_36 <= 0.02595682628452778 & eye_lmk_X_8 > -0.20998629927635193 & eye_lmk_X_1 > -0.053442373871803284 & eye_lmk_Y_49 <= 0.05537452548742294 & eye_lmk_Y_16 <= 0.20404674112796783 & eye_lmk_X_3 > -0.2079201191663742,rule,1.0165950926676728,0.25557809330628806,0.44342420324094783
312,eye_lmk_Y_36 <= -0.6261765658855438,rule,-0.030254811858354932,0.24949290060851928,0.0130918480204103
478,eye_lmk_Y_12 <= -0.6211170852184296,rule,-0.17877491867773793,0.24949290060851928,0.07735939909815778
393,eye_lmk_X_18 <= 0.4627671390771866 & eye_lmk_Z_17 <= 1.9543534517288208 & eye_lmk_X_38 <= -0.09705376625061035 & eye_lmk_Y_9 > -0.5805350840091705 & eye_lmk_Z_18 <= 1.9242489337921143 & eye_lmk_X_51 <= -0.07636032626032829,rule,0.9322289506382598,0.23529411764705882,0.395435209646851
