,rule,type,coef,support,importance
1332,Z_48 <= 3.4787185192108154 & Y_65 > -1.370385766029358,rule,0.33021516903604053,0.9087221095334685,0.09510325122630142
1970,Y_26 > -2.20570707321167 & Z_11 > -1.4392644762992859,rule,0.20485841080332678,0.8661257606490872,0.06975780158212555
1748,Z_53 > -1.205418884754181 & Z_60 <= 3.445683002471924 & Z_14 > -1.5315496921539307 & Z_54 > -1.5780267715454102,rule,0.8034668973420998,0.8661257606490872,0.27359425557784345
1319,Z_22 > -0.8798466324806213,rule,-0.07322055219393166,0.845841784989858,0.02643996671873574
1897,Z_48 <= 3.5918796062469482 & Z_16 > -1.8847512602806091 & Z_55 > -1.0487527251243591 & Z_16 > -1.6589778661727905,rule,0.053541713698366855,0.8397565922920892,0.019640795074151663
1501,Z_58 > -0.7439764440059662,rule,0.04389769887712571,0.8397565922920892,0.01610306522368077
280,X_6 > -1.321258783340454 & Z_54 > -1.4322968125343323 & X_38 > -1.4529749155044556,rule,0.5331420673428648,0.8336713995943205,0.1985289609235666
271,X_41 > -1.0815642476081848 & Z_35 > -1.6485528945922852 & Z_42 <= 3.3351274728775024 & X_14 > -1.074289321899414,rule,0.7798480674952555,0.7728194726166329,0.32676428324473894
137,Y_29 > -0.6999160945415497,rule,0.015771498804970988,0.768762677484787,0.00664963915432032
808,Y_1 > -0.4454668164253235,rule,-0.24345991394634894,0.716024340770791,0.10978219640438563
1844,Y_25 > -2.2520803213119507 & Z_0 <= 2.7034929990768433 & Z_10 > -0.12935294210910797,rule,0.16667782277097284,0.6896551724137931,0.07711095352914986
356,Z_12 <= 0.5041413605213165,rule,0.013677656086553901,0.6795131845841785,0.006382865708974351
787,Z_6 > -0.3436497449874878,rule,0.02621459834467611,0.6754563894523327,0.012273781756972791
59,Z_48 <= 3.536366581916809 & Y_3 > -0.262396976351738,rule,0.017148149702625255,0.6389452332657201,0.008236365769560348
1345,X_0 <= 0.33854585886001587,rule,-0.1584704173222854,0.6328600405679513,0.07638672082640327
1255,Z_4 <= 0.24957839399576187,rule,-0.02569397729584626,0.6247464503042597,0.012440723539462498
723,Y_0 <= 2.504769802093506 & Z_9 > -3.084445357322693 & Y_25 > -0.2662316560745239,rule,-0.269814508786455,0.59026369168357,0.1326907226454214
247,Z_39 > -0.5938255488872528 & Z_48 > -0.1701904907822609 & Z_35 > -1.1592843532562256 & Y_15 > -2.2509589195251465 & Z_21 <= 2.404425621032715 & Z_16 > -3.6791794300079346 & Z_48 > -0.17873094975948334,rule,0.023578341911389276,0.5720081135902637,0.011666272694614514
1513,Z_28 <= 0.07088212296366692 & Z_31 <= 3.2467223405838013,rule,-0.1441856300121402,0.565922920892495,0.07146346149858857
1924,X_3 <= 2.9575730562210083 & Z_4 > -0.018126005306839943 & Y_12 > -2.391283631324768,rule,0.14486347849112255,0.565922920892495,0.0717994270082968
807,Y_4 > -0.024047529324889183,rule,0.07274619291567808,0.5354969574036511,0.03628131799242275
10,Y_16 > -2.394241690635681 & Z_57 > -2.6079431772232056 & Z_49 <= 0.0669042095541954,rule,-0.12238985658232378,0.5314401622718052,0.061073828076033024
1955,Z_54 > -4.3703453540802 & Y_65 > -1.478287696838379 & Z_29 <= 0.0958041399717331,rule,-0.3524241500667432,0.4949290060851927,0.1762030122205974
798,Z_41 <= 0.0529363676905632,rule,0.14864374634672595,0.48884381338742394,0.07430337059528343
606,Z_26 <= 2.9285049438476562 & Y_55 <= 0.031566398218274117 & Y_22 <= 0.034995224326848984,rule,4.65832951488597e-05,0.486815415821501,2.3283548440230724e-05
890,X_16 > -0.6261143386363983 & X_16 > -0.6159631013870239 & X_19 > 0.09698031842708588,rule,0.10108939431435592,0.4827586206896552,0.05051463786391145
861,Z_18 <= 0.7010456323623657 & Z_18 <= 0.6950255930423737 & Z_19 <= 0.044539473950862885,rule,0.018672802370231008,0.4746450304259635,0.009324389189786302
553,Z_10 > -3.104050040245056 & X_36 > 0.16613204777240753,rule,1.0959499027605097,0.4746450304259635,0.5472699396282971
66,X_30 > -1.609558343887329 & Z_1 > 0.001199397724121809,rule,0.15496386753655372,0.4685598377281947,0.07732860277974633
565,Z_10 > -3.104050040245056 & X_36 <= 0.16613204777240753 & Z_2 > -0.4573732763528824 & X_44 <= 0.3138948082923889,rule,0.7802584495571403,0.4685598377281947,0.38935718803683306
1808,Y_4 <= -0.024047529324889183,rule,-0.19744721036981114,0.4645030425963489,0.09847450071301282
554,Y_26 > -0.018278739415109158,rule,0.4321659410121576,0.4543610547667343,0.21518092349454562
715,X_25 > 0.17502032965421677,rule,0.042312688667406124,0.45233265720081134,0.021059983026657802
821,Z_18 > 0.24201875180006027,rule,-0.2106847359873177,0.4421906693711968,0.10463590785745545
1409,X_20 > -1.450423240661621 & Z_7 > -1.938714861869812 & Z_60 <= -0.018291855230927467 & X_13 > -1.320836365222931,rule,-0.48165074213263037,0.44016227180527384,0.23909457515449026
937,Z_54 > -4.3703453540802 & Z_29 > 0.0958041399717331 & Y_65 > -1.478287696838379,rule,0.08809636770823813,0.43610547667342797,0.0436870491374192
49,X_25 <= 0.17502032965421677 & X_15 <= 0.1397756114602089 & X_30 > -1.6226685643196106 & Z_37 > -0.6329068541526794,rule,0.27571788713673945,0.43204868154158216,0.13657991556299082
816,Y_26 <= -0.02477926854044199 & X_0 <= 2.598628282546997 & Z_17 <= 2.7914172410964966 & Y_57 <= 0.20596318691968918 & Z_53 > -1.1390615105628967,rule,0.31802315089542615,0.4239350912778905,0.15716076348800667
1371,Z_18 > 0.2856639325618744,rule,-0.1709927059110127,0.42190669371196754,0.08444710449477374
404,Y_16 > -0.7894479930400848 & Z_8 <= 3.022671103477478 & X_30 > -1.5065494775772095 & Z_61 > -2.4115962982177734 & X_29 > -1.484588623046875 & Y_14 <= 0.3184059113264084 & Y_17 > -1.356623888015747,rule,-0.32428437893375484,0.4198782961460446,0.16004691189229564
1284,Z_7 <= -0.12516269832849503 & X_29 > -2.141265869140625 & X_0 <= 2.5335824489593506,rule,0.7825848098710554,0.3975659229208925,0.38299292818336683
1106,Z_47 <= 0.035688284784555435 & Y_15 > -0.6995866000652313 & Y_14 > -0.9049406051635742,rule,0.0005281222041228251,0.39553752535496955,0.0002582337164617474
1625,Y_16 <= -0.1183241605758667 & Z_15 > -1.9868532419204712 & Z_15 > -1.9690858721733093 & Z_8 > -1.4657519459724426,rule,0.44406935389415697,0.3935091277890467,0.21694035302033937
125,Y_15 > -0.6995866000652313 & Y_14 > -0.9049406051635742 & Z_47 > 0.035688284784555435,rule,-0.04010343817536443,0.385395537525355,0.019517887161772555
