,rule,type,coef,support,importance
850,Z_48 <= 3.408259868621826 & Y_25 > -2.23746657371521,rule,0.20765201684800522,0.9655172413793104,0.03788935143591834
464,Z_11 > -1.8094255328178406 & Z_56 > -3.7711477279663086,rule,-0.2748098827286587,0.9432048681541582,0.06360495059688549
1916,Z_45 > -1.6913816928863525,rule,-0.16833941537128128,0.9371196754563894,0.04086398630090494
1868,Y_8 > -1.3627693057060242,rule,0.567460200600064,0.9188640973630832,0.1549414388332984
77,X_56 > -1.3345189094543457 & Z_49 <= 3.754345655441284,rule,-4.747816228922123e-05,0.9046653144016227,1.394322834159976e-05
92,Z_44 > -1.2332420349121094,rule,-0.0840958583626513,0.9046653144016227,0.024696991189136274
1857,pose_Tz > -0.7958084046840668,rule,0.0034851505849031973,0.9026369168356998,0.0010331782441110242
187,X_60 > -1.2660027146339417,rule,0.07719252202546902,0.9006085192697769,0.02309499306526816
1937,Y_16 > -2.3491894006729126 & Z_15 > -1.5402997136116028,rule,0.026675035313470544,0.8985801217038539,0.008052763582763
1266,Z_10 > -1.553378701210022 & Z_15 > -1.5237168669700623 & Z_48 <= 3.423205614089966,rule,0.14758040880773404,0.8864097363083164,0.04682917661309992
1349,Z_10 > -3.0245282649993896 & pose_Rx > -0.902702808380127 & Z_9 > -2.9798015356063843,rule,-0.29336231614969427,0.8843813387423936,0.0938076116644137
1155,Z_45 > -1.1775081157684326 & Z_22 <= 3.333305835723877,rule,0.052887001804678445,0.8539553752535497,0.018677094843355394
591,Y_16 > -2.5495944023132324 & Z_9 > -3.1753655672073364 & Z_9 > -1.2797664403915405 & Z_51 <= 2.922789692878723,rule,0.019988632461414312,0.8336713995943205,0.0074432738962532845
1295,Y_8 > -0.8423303961753845,rule,0.029021910951244238,0.8235294117647058,0.011063734085135137
623,Y_7 > -0.8058520257472992 & Z_25 <= 3.2753125429153442 & Z_3 <= 3.1352107524871826,rule,0.04824050349611253,0.7910750507099391,0.019611726522867252
1730,Y_5 > -2.5423519611358643 & Z_58 <= 0.5421497225761414,rule,0.06597951163035072,0.7748478701825557,0.027558485585469732
978,Z_3 > -0.46320268511772156 & Z_3 > -0.45636484026908875 & Z_48 > -1.4341776967048645,rule,-0.19225084490452998,0.7606490872210954,0.08203099423905662
1071,Z_10 <= 2.326980948448181 & X_41 > -1.0815642476081848 & Z_35 > -1.6485528945922852 & X_16 > -0.9793774485588074,rule,0.968113797724353,0.7565922920892495,0.41545551599070946
715,Z_19 <= 0.5324667692184448,rule,-0.09573102204818465,0.742393509127789,0.041864718898178915
1220,X_54 > -0.6340013742446899,rule,-0.32310028729183426,0.7261663286004056,0.14407838192042516
