,rule,type,coef,support,importance
1065,AU25_r > -0.9354561865329742,rule,-0.031579944709572885,0.8985801217038539,0.009533476740122495
29,AU14_r <= 3.612786650657654 & AU17_r > -1.0087379813194275,rule,0.4061911501258323,0.8864097363083164,0.12888971687767778
663,AU06_r <= 4.5995872020721436 & AU07_r <= 4.353396415710449 & AU25_r <= 4.305197477340698 & AU12_r <= 0.7082053124904633,rule,0.3096342732194794,0.8681541582150102,0.10475642525782439
552,AU06_r <= 0.3124571442604065,rule,-0.019021976996301447,0.8661257606490872,0.0064773093367480345
542,AU10_r <= 0.9284066259860992,rule,0.017886859451074086,0.8296146044624746,0.0067249409029150374
820,AU14_r <= 0.7798705697059631,rule,0.04564149579131755,0.8275862068965517,0.017240604691849466
538,AU06_r <= 0.0029170410707592964,rule,0.13188086357681225,0.8133874239350912,0.051380811956178406
1007,AU14_r <= 0.5364168286323547,rule,0.06497419009436807,0.7322515212981744,0.028769646258410518
899,AU06_r <= 4.769834280014038 & AU14_r > -0.7915126085281372 & AU14_r > -0.7472482919692993,rule,0.22040047880057678,0.7139959432048681,0.09959705627065348
310,AU05_r <= -0.04199659265577793,rule,0.10160950637338859,0.6835699797160243,0.047256839377402646
189,AU10_r > -0.7258577048778534,rule,-3.4810035438657245e-05,0.6551724137931034,1.6545628467187578e-05
175,AU20_r <= -0.10444006323814392,rule,0.08756633376881838,0.6227180527383367,0.04244396107725618
234,AU15_r <= 0.6827196180820465 & AU04_r > -0.5433012843132019 & AU15_r <= 0.7830921411514282,rule,0.1871014177629223,0.6166328600405679,0.09096992842258847
653,AU14_r <= 3.8451743125915527 & AU17_r <= 0.04050404205918312 & AU25_r <= 4.831852912902832,rule,0.04324457712616805,0.6105476673427992,0.021087184483258796
1088,AU14_r <= 3.612786650657654 & AU09_r <= -0.32087528705596924,rule,0.06969434023200333,0.592292089249493,0.034248381008084285
486,AU07_r <= -0.48381824791431427,rule,-0.15689423350296477,0.5862068965517241,0.07727234064913881
241,AU04_r > -0.34406058490276337,rule,0.11432638221973596,0.5821501014198783,0.05638636522623716
1275,AU06_r <= 0.03387105092406273 & AU14_r <= 3.9669013023376465 & AU09_r <= 4.25995147228241 & AU09_r <= 0.14008840918540955 & AU17_r <= 1.700606107711792,rule,0.3533452553206095,0.565922920892495,0.17513031671177778
347,AU09_r <= -0.43611620366573334 & AU17_r <= 3.2600958347320557,rule,0.005058337540145042,0.5618661257606491,0.0025097337274368847
341,AU09_r <= -0.32087528705596924 & AU14_r <= 2.915623664855957,rule,0.3342389381897147,0.5578093306288032,0.16599871165274155
1833,AU17_r <= 1.2694107294082642 & AU05_r <= 0.03892807476222515 & AU23_r <= 0.14142488688230515,rule,0.2572572585360175,0.5578093306288032,0.1277660039000485
1415,AU14_r <= 4.055429935455322 & AU23_r <= -0.23339615762233734 & AU17_r <= 1.9449500441551208 & AU05_r <= 0.46378257870674133,rule,0.16275220821519806,0.5517241379310345,0.0809395078503294
1684,AU14_r <= 3.8341082334518433 & AU09_r <= -0.3784957528114319,rule,0.21520983521872503,0.5496957403651116,0.10707210192204349
1626,AU25_r > -0.38289961218833923,rule,-0.08373546157132315,0.5354969574036511,0.041762087976657834
463,AU06_r <= 4.723403453826904 & AU07_r <= 0.2536943182349205 & AU25_r <= 2.716597318649292 & AU20_r <= -0.00453710462898016,rule,0.05942435070109827,0.5314401622718052,0.029653377163716098
393,AU06_r <= 3.129271984100342 & AU07_r <= 5.503048419952393 & AU10_r <= 1.2190206050872803 & AU01_r <= -0.06711309589445591 & AU15_r <= 1.924829363822937,rule,0.600656368453292,0.5152129817444219,0.30018913924470125
999,AU07_r <= 2.769913673400879 & AU23_r > -0.608217179775238,rule,0.32168161373494697,0.5152129817444219,0.16076634130526044
834,AU07_r <= 4.33170485496521 & AU12_r <= -0.2968447059392929,rule,0.22490955668490872,0.513184584178499,0.11241567478233831
1339,AU14_r > -0.6587196588516235 & AU01_r <= 0.1548893302679062,rule,0.09792447159827691,0.5111561866125761,0.04895004655319858
104,AU25_r <= 4.175692081451416 & AU14_r > -0.17181218415498734,rule,0.03807359433182435,0.48073022312373226,0.01902265426156007
701,AU25_r <= -0.38289961218833923,rule,0.1543097307154706,0.4645030425963489,0.07696018423812974
845,AU04_r > -0.8670674562454224 & AU17_r <= -0.10322773456573486,rule,0.38163584212277973,0.4340770791075051,0.18915212499141804
812,AU17_r <= 2.9870054721832275 & AU25_r <= 5.056329011917114 & AU09_r <= 4.231141090393066 & AU12_r > -0.2420237958431244,rule,0.352133914684621,0.43204868154158216,0.174433442943943
728,AU17_r > -0.08885455504059792 & AU07_r <= 2.8132967948913574 & AU17_r > -0.10322773456573486,rule,0.2807391701129349,0.4300202839756592,0.1389879607391457
160,AU04_r <= -0.34406058490276337,rule,-0.0658927446430544,0.4178498985801217,0.03249864373440355
495,AU06_r <= 5.048420429229736 & AU02_r > -0.521082192659378,rule,0.11841723036352178,0.4158215010141988,0.05836347663914287
1411,AU07_r > -0.48381824791431427,rule,0.27113583415317394,0.41379310344827586,0.13353773475987282
1112,AU23_r <= 0.18307167291641235 & AU23_r <= 0.20389506220817566 & AU15_r <= -0.37119171023368835,rule,0.0035633736632364396,0.40365111561866124,0.0017482947360502148
1705,AU25_r <= 5.2376368045806885 & AU04_r > 0.1291361302137375,rule,0.056615013835928936,0.40162271805273836,0.027754173676136296
444,AU10_r > -0.45759864151477814 & AU06_r <= 0.18864109367132187 & AU06_r <= 0.23507210612297058,rule,-0.39063196346324075,0.3935091277890467,0.19083468677044144
978,AU07_r <= 1.7721025347709656 & AU01_r > -0.08561329916119576,rule,-0.2099104453987813,0.39148073022312374,0.1024534088071792
1742,AU20_r > -0.10444006323814392,rule,-0.023534532847437048,0.3772819472616633,0.011407338336045816
1525,AU10_r > -0.5917281806468964 & AU04_r <= 2.395499348640442 & AU25_r <= 0.1178547665476799 & AU17_r <= 3.6697314977645874,rule,-0.25282223827785383,0.36511156186612576,0.12172415655563684
1531,AU12_r <= -0.0592874214053154 & AU09_r <= -0.5513571202754974,rule,0.2963137984572455,0.35496957403651114,0.14178736801437247
952,AU17_r <= 1.607180416584015 & AU20_r <= -0.47075091302394867 & AU12_r <= -0.02274014800786972,rule,-0.5729970427440331,0.35496957403651114,0.2741814353354112
1144,AU10_r <= -0.7258577048778534,rule,0.21645350682101117,0.3448275862068966,0.10288295484764522
1303,AU10_r <= -0.7258577048778534 & AU14_r <= 3.856240391731262,rule,0.15258307198886248,0.3306288032454361,0.07178111618468196
1536,AU17_r > -1.1524696946144104 & AU04_r > -0.41877585649490356 & AU07_r <= -0.44043515622615814,rule,0.33451860648312787,0.3265720081135903,0.15687557821184023
1554,AU25_r <= 5.203101873397827 & AU02_r <= 1.4727057218551636 & AU09_r > -0.20563435554504395,rule,0.2945086364365584,0.32454361054766734,0.1378901435619392
1798,AU06_r > -0.36853107810020447 & AU14_r <= 2.959887981414795,rule,0.5826703529671452,0.3225152129817444,0.27236280452470224
1231,AU05_r > -0.04199659265577793,rule,-0.0015026546423800497,0.31643002028397565,0.0006988589120167209
1184,AU10_r > 0.1906941458582878 & AU10_r > 0.16833922266960144,rule,0.06677764883460412,0.3144016227180527,0.03100333435148007
960,AU01_r > -0.35386623442173004 & AU20_r > -0.47075091302394867,rule,0.3166962008227191,0.2880324543610548,0.14341469863073267
771,AU04_r <= -0.742542028427124,rule,0.4333382937339743,0.2738336713995943,0.19323622615338615
1066,AU14_r > 0.5364168286323547,rule,-0.23706304193472422,0.26774847870182555,0.10496813961819473
1735,AU07_r <= 2.769913673400879 & AU23_r > 0.26636524498462677,rule,0.14907374501788778,0.25963488843813387,0.06535903925879298
712,AU23_r <= 0.016484539257362485 & AU01_r <= -0.08561329916119576 & AU23_r <= 0.03730793111026287 & AU10_r > -0.6364380121231079 & AU10_r > -0.7258577048778534 & AU14_r <= 3.856240391731262,rule,0.055758298847047284,0.2535496957403651,0.02425724707517149
1660,AU14_r <= -0.857909083366394,rule,0.6569895234841782,0.23732251521298176,0.27951066168133115
1597,AU14_r <= 0.9347956776618958 & AU05_r > -0.12292126193642616,rule,0.36536276609340296,0.22920892494929007,0.1535707083056505
44,AU15_r <= -0.04498106427490711 & AU25_r > -0.4692365825176239 & AU20_r <= -0.48740142583847046,rule,0.42895649304387257,0.22718052738336714,0.17973713962368784
1311,AU10_r > -0.45759864151477814 & AU20_r <= -0.5040519088506699,rule,-0.2059334910927999,0.22515212981744423,0.08601480983432702
1714,AU04_r > 0.5027124881744385 & AU07_r <= 0.29707740247249603,rule,0.16550248215133076,0.21906693711967545,0.06845415829450724
