,rule,type,coef,support,importance
1389,gaze_0_x > -1.5936065912246704,rule,0.02609684293963661,0.9371196754563894,0.0063349455623932845
1354,gaze_0_x > -1.5929925441741943 & gaze_0_z <= 3.529712677001953,rule,0.17094344304291217,0.9371196754563894,0.041496107725741825
1133,gaze_0_x > -3.9079880714416504 & gaze_1_z <= 1.1940163969993591 & gaze_0_x > -2.2756688594818115 & gaze_1_x > -1.5677717328071594 & gaze_0_x > -3.421443223953247,rule,0.014964941688766255,0.9188640973630832,0.004086083208764143
1708,gaze_0_x > -3.3552416563034058 & gaze_0_x > -1.5943201184272766,rule,0.14778248188079238,0.9046653144016227,0.043400266362458154
582,gaze_0_z > -1.0736990571022034 & gaze_0_z <= 2.522094964981079,rule,0.0641150591200226,0.8924949290060852,0.01985991570593053
1337,gaze_1_x > -1.853515088558197 & gaze_0_y > -1.8368151783943176 & gaze_0_z > -1.1651723980903625 & gaze_1_z <= 3.3810479640960693,rule,0.1262366575416565,0.8640973630831643,0.04325942758724411
1351,gaze_0_x > -3.3816137313842773 & gaze_1_y > -0.9398732781410217 & gaze_0_x > -3.5208301544189453,rule,0.03546261705186437,0.8498985801217038,0.012666211464156902
1735,gaze_0_z <= 0.7493808269500732,rule,0.014144554541562122,0.821501014198783,0.005416405907080766
1225,gaze_0_y > -1.810868740081787 & gaze_0_x > -1.2269741892814636 & gaze_1_x > -1.572419822216034 & gaze_0_x > -1.2440532445907593 & gaze_0_z <= 2.5533623695373535,rule,0.1770884954708929,0.8174442190669371,0.06840962452337114
668,gaze_1_y > -0.8273087441921234 & gaze_1_y > -0.8024626672267914 & gaze_0_x > -3.6646648645401 & gaze_0_z <= 3.4942303895950317,rule,0.110464103920452,0.8154158215010142,0.04285563922814473
373,gaze_0_x > -0.7201048731803894,rule,0.20757761616831963,0.7910750507099391,0.0843887427686125
