,rule,type,coef,support,importance
437,pose_Ty > -1.211236298084259,rule,0.07952082311364009,0.9127789046653144,0.022437498255690514
532,pose_Rx <= 2.2986689805984497 & pose_Rx > -1.045421302318573,rule,0.01431615233650678,0.9107505070993914,0.0040815855194308555
1646,pose_Tx > -1.203917682170868,rule,0.061406115162932144,0.9107505070993914,0.017507099991832267
258,pose_Tz > -0.7958084046840668,rule,0.0678526625966689,0.8843813387423936,0.021697047892193767
1197,pose_Tz > -0.7936497926712036 & pose_Tz > -0.7806978523731232,rule,0.15068499257588072,0.8559837728194726,0.052906432953879805
901,pose_Tz > -0.7461594045162201,rule,0.03232750231841762,0.8519269776876268,0.011481835157889291
121,pose_Tz > -0.8713612854480743 & pose_Tz > -0.7159382700920105,rule,0.23406824655915062,0.847870182555781,0.08406483310211045
970,pose_Rx > -1.065010130405426 & pose_Rx > -1.106986165046692 & pose_Tx > -1.4338374137878418 & pose_Tx > -1.4487672448158264,rule,0.6015330727630896,0.8438133874239351,0.21837585521845213
1330,pose_Tz > -0.7806978523731232,rule,0.12958317132788444,0.8377281947261663,0.04777731113665631
948,pose_Ty > -0.9949800372123718 & pose_Rx > -1.176946222782135,rule,-0.5094471767178999,0.8194726166328601,0.1959466876381557
118,pose_Tx > -1.379094660282135 & pose_Tx > -0.9212459027767181 & pose_Tx > -1.3711320757865906 & pose_Rx <= 1.3975836038589478,rule,0.14190518822854956,0.7545638945233266,0.0610682549328199
608,pose_Ty > -0.6799980998039246,rule,0.09566183204351947,0.7525354969574036,0.04128180183447656
654,pose_Rx > -0.3402239978313446,rule,0.22838167070636875,0.716024340770791,0.1029830374218133
1415,pose_Rx > -0.9754612743854523 & pose_Rx > -4.1544458866119385 & pose_Rx > -0.9894532859325409 & pose_Rx > -0.36540962755680084,rule,0.1652064716648532,0.6957403651115619,0.07601036644940622
1788,pose_Rx > -0.31783679127693176,rule,0.03300652043146678,0.6795131845841785,0.01540294521966232
1079,pose_Rx > -0.36820802092552185,rule,0.061019394337327594,0.6734279918864098,0.028615606376703483
1822,pose_Ty > -0.9056568145751953 & pose_Tx > -0.955086886882782 & pose_Ty > -0.8884190022945404,rule,0.053785860355329056,0.6693711967545639,0.025302997514303333
1030,pose_Ty > -0.03436351381242275 & pose_Rx > -9.054447889328003,rule,0.06258513509580255,0.5334685598377282,0.03122238444972195
851,pose_Rx <= -0.004415765055455267 & pose_Rx <= 0.0011810389114543796,rule,0.02264308998898412,0.4908722109533469,0.011319658293534
1577,pose_Rx > 0.15789154917001724 & pose_Rx > 0.16628675162792206,rule,0.26906209550284516,0.4726166328600406,0.13432914034936155
1738,pose_Tx <= 0.14275482296943665 & pose_Tx <= 0.05118507519364357 & pose_Tz <= 3.1264641284942627 & pose_Tx <= 0.14076417684555054 & pose_Rx > -6.874492883682251,rule,0.2546080979617554,0.45841784989858014,0.12686304858528716
956,pose_Ty > -1.476071834564209 & pose_Tz > -0.07050102204084396,rule,0.5107367660485493,0.4563894523326572,0.25439516858048666
127,pose_Rx <= 0.6672007143497467 & pose_Rx > -4.064896941184998 & pose_Tx <= 0.11886706203222275,rule,0.260211156353425,0.4543610547667343,0.12956244723167212
921,pose_Ty > 0.04869142360985279,rule,0.2579307441202083,0.45233265720081134,0.1283779703984904
1821,pose_Ty > 0.022051160223782063 & pose_Rx > -4.347535610198975,rule,0.17894941950893895,0.4462474645030426,0.08895616230901923
1656,pose_Ty <= 0.1113743968307972 & pose_Ty <= 0.10353902354836464 & pose_Ty <= -0.1268208920955658,rule,0.11651161956165909,0.4421906693711968,0.057865127398268316
1424,pose_Rx > -4.347535610198975 & pose_Tx > 0.2950392961502075,rule,0.17705490532557316,0.4300202839756592,0.08765609807909773
1089,pose_Ty <= 0.10353902354836464 & pose_Rx > -1.137768566608429 & pose_Rx > -0.8215491473674774 & pose_Tz > -0.8173949420452118 & pose_Ty <= 0.1113743968307972 & pose_Tz <= 3.510704278945923 & pose_Rx > -1.1517605781555176,rule,-0.17227502324327154,0.4279918864097363,0.0852395561647294
845,pose_Ty > -0.7708884179592133 & pose_Tz > -0.09424620494246483 & pose_Ty > -0.7677542567253113 & pose_Ty > -1.6061390042304993,rule,0.12286153523345952,0.4117647058823529,0.06046666784026088
372,pose_Tx > 0.1676379144191742 & pose_Tx > 0.16266129910945892 & pose_Tz <= 0.2662488520145416,rule,0.7887523344717758,0.3793103448275862,0.38271479795213154
806,pose_Ty <= -0.33680884540081024 & pose_Ty <= -0.341510072350502,rule,0.3520268734443325,0.34279918864097364,0.167087806056742
832,pose_Tz <= -0.374871090054512,rule,0.5734762702198943,0.33468559837728196,0.2706122340898958
60,pose_Rx <= 1.6606334447860718 & pose_Ty > -0.9902788400650024 & pose_Ty > 0.3527038246393204 & pose_Ty > -0.9871446788311005 & pose_Rx > -6.519095778465271,rule,0.7038192029799654,0.332657200811359,0.3316149227395693
538,pose_Ty <= -0.046900106593966484 & pose_Rx > -0.4521600902080536 & pose_Ty <= -0.01242447318509221,rule,0.15246525786382875,0.3265720081135903,0.0714999854150469
466,pose_Tx <= 0.2452731356024742 & pose_Tz > -0.029486614279448986 & pose_Tx <= 0.2412918359041214,rule,0.15376983276972825,0.31643002028397565,0.07151571292538281
214,pose_Ty <= -0.4731443077325821,rule,0.14438492826953708,0.3144016227180527,0.067034618387691
977,pose_Tx <= -0.2135709449648857 & pose_Ty > -0.7520835399627686 & pose_Tx <= 0.2064555287361145 & pose_Ty > -0.7614859938621521,rule,0.4487011711533312,0.30831643002028397,0.2072093113045205
1442,pose_Ty > 0.3150940537452698 & pose_Rx > -1.1013893485069275 & pose_Rx > -1.4483911991119385,rule,0.11352817987681407,0.30628803245436104,0.05233090947555837
1231,pose_Ty <= -0.04376595839858055 & pose_Ty <= -0.03436351381242275 & pose_Tx > -0.42457951605319977 & pose_Rx > -9.054447889328003,rule,0.29068266216293903,0.2880324543610548,0.131634564238468
397,pose_Rx > -1.2553014755249023 & pose_Rx <= 1.752980649471283 & pose_Rx <= 0.6252246797084808 & pose_Tx <= 0.07706348225474358 & pose_Rx > -0.6816290318965912,rule,0.3455820989733177,0.2839756592292089,0.1558316572464128
354,pose_Ty > -0.9260287582874298 & pose_Tz <= 2.9624063968658447 & pose_Ty > 0.48277099430561066 & pose_Ty > -0.9181933999061584,rule,0.46317956509807356,0.25760649087221094,0.2025558891709265
1563,pose_Rx > -4.750505447387695 & pose_Tx <= -0.536055713891983 & pose_Tz <= 2.394680619239807,rule,0.2584315280290829,0.24746450304259635,0.1115232574996488
1207,pose_Tz > 0.40008533000946045,rule,0.09151922078314698,0.23529411764705882,0.038820852144017176
1035,pose_Tz > 0.19501329958438873 & pose_Rx <= 2.1755393743515015 & pose_Tz > 0.3979266732931137,rule,0.2280097534799416,0.2150101419878296,0.09367310603324398
1154,pose_Tz <= -0.12446734681725502 & pose_Tz <= -0.12015004083514214 & pose_Tx > 0.5050525367259979,rule,0.33679750405033837,0.19066937119675456,0.13230380050175886
1222,pose_Rx > -3.4800310134887695 & pose_Tz <= -0.5475633442401886 & pose_Tx > -0.9321944415569305,rule,0.03299723766903167,0.18661257606490872,0.01285573067815381
1724,pose_Tx > 0.07507283426821232 & pose_Rx > -4.39790678024292 & pose_Tx > 0.10393721237778664 & pose_Rx > -3.9389688968658447 & pose_Rx <= 0.28102123737335205 & pose_Rx <= 0.27542443573474884 & pose_Tx > 0.13379691541194916,rule,-0.19683870752146884,0.18661257606490872,0.07668840150540249
31,pose_Rx > -2.7944225072860718 & pose_Tx > -0.399696409702301 & pose_Tx > -0.39272914826869965 & pose_Rx > -4.369922876358032 & pose_Rx <= -0.18911030143499374,rule,0.3200082346524386,0.17849898580121704,0.12254146904328964
500,pose_Tx > 0.1696285605430603 & pose_Ty <= -0.15816237777471542 & pose_Ty <= -0.15032700449228287 & pose_Rx > -7.003219366073608,rule,0.548460991788204,0.15010141987829614,0.19589425370583002
5,pose_Rx > -5.895051956176758 & pose_Ty > -0.4371016025543213 & pose_Tz <= -0.5389287173748016,rule,0.6800156988223129,0.1460446247464503,0.24014818894028164
790,pose_Rx <= -0.31783679127693176 & pose_Tz <= -0.44826529920101166,rule,-0.5217975680180114,0.1440162271805274,0.1832063537046705
1377,pose_Rx <= -0.14993266761302948 & pose_Rx > -0.46335369348526,rule,-0.061293328223598176,0.12981744421906694,0.02060083947143566
57,pose_Tz <= 3.117829442024231 & pose_Rx <= -0.8243475258350372,rule,0.29067603743900805,0.1257606490872211,0.09638219035064102
1302,pose_Rx <= -0.4549584835767746 & pose_Rx <= -0.4465632736682892 & pose_Rx <= -0.9166947901248932,rule,0.15171765218138317,0.11359026369168357,0.0481419775614182
842,pose_Rx <= -0.4465632736682892 & pose_Tz <= 2.9753583669662476 & pose_Tz > -0.30579419434070587 & pose_Rx <= -0.46335369348526,rule,1.0533359815401255,0.09939148073022312,0.3151443501358877
175,pose_Tx <= -0.9381663799285889 & pose_Ty > -0.5687358379364014 & pose_Tx <= -0.9341850876808167 & pose_Rx > -3.0322866439819336,rule,0.2096146801564941,0.09330628803245436,0.060968772716601075
1321,pose_Tx <= -1.0894555449485779 & pose_Tx <= -1.082488238811493 & pose_Ty > -0.6063456237316132,rule,0.11389611984436622,0.09330628803245436,0.033127959544196006
844,pose_Tz <= -1.1001784801483154 & pose_Rx > -4.518238067626953 & pose_Rx > -4.6077868938446045,rule,0.22619443747055737,0.08316430020283976,0.062459161139744056
1435,pose_Tz > 0.27272480726242065 & pose_Tx > 0.1676379144191742 & pose_Tx > 0.16266129910945892 & pose_Tz > 0.2662488520145416,rule,-0.00863189516453259,0.08316430020283976,0.002383528689086777
225,pose_Tz <= -0.12446734681725502 & pose_Tz <= -0.12015004083514214 & pose_Tx > 0.03426457569003105 & pose_Tx <= 0.5050525367259979 & pose_Tx <= 0.48912736773490906,rule,-0.6285365891294304,0.07707910750507099,0.1676413470211514
1176,pose_Tz <= 2.036344349384308 & pose_Rx > -4.115268230438232 & pose_Tx > -1.214866280555725 & pose_Rx <= -0.815952330827713,rule,0.4481940749720311,0.07505070993914807,0.11808710483425253
236,pose_Rx > -3.9417673349380493 & pose_Rx <= -1.1545589566230774,rule,0.18486252708483422,0.06693711967545639,0.04619956134928515
778,pose_Tx <= -0.977979302406311 & pose_Ty <= 0.4028502106666565 & pose_Tx <= -0.9650401175022125 & pose_Ty <= 0.39188069105148315 & pose_Ty > -0.888418972492218 & pose_Rx > -4.274777173995972 & pose_Ty > -0.8429738283157349,rule,0.2570804581779741,0.06288032454361055,0.06240566000567985
255,pose_Tz <= -1.0829092264175415,rule,0.08165930674283481,0.060851926977687626,0.01952135198534179
1681,pose_Rx > -4.064896941184998 & pose_Rx > 0.6672007143497467 & pose_Tx <= 0.11886706203222275,rule,-0.47470662887454007,0.056795131845841784,0.10987120032867144
1847,pose_Ty > -0.7520835399627686 & pose_Tz <= -0.13741926103830338 & pose_Tx > -0.2135709449648857 & pose_Tx <= 0.2064555287361145 & pose_Ty > -0.7614859938621521,rule,-0.2000136401967941,0.05476673427991886,0.04550797754413997
210,pose_Rx <= -1.176946222782135,rule,0.03426267646619641,0.05273833671399594,0.007658072619481432
1271,pose_Rx <= -0.698419451713562 & pose_Rx <= -1.4539880156517029 & pose_Tz > -1.952846348285675,rule,0.2181162153631115,0.05070993914807302,0.04785573216035567
683,pose_Ty <= -0.8053640723228455 & pose_Tx > -1.020778238773346 & pose_Tz <= -0.7461594045162201,rule,-0.2031119717397856,0.04665314401622718,0.0428352641967167
1294,pose_Ty <= -1.476071834564209 & pose_Ty <= -1.4854742884635925 & pose_Rx <= 0.4153445363044739 & pose_Tz > -1.4477216005325317,rule,0.2504676797723848,0.04665314401622718,0.052822338062543515
273,pose_Tx <= -1.812060296535492 & pose_Tx <= -1.4119402766227722,rule,0.3803398317666652,0.038539553752535496,0.07321344826708198
1787,pose_Tz > -1.29013991355896 & pose_Ty <= 0.10353902354836464 & pose_Rx > -1.137768566608429 & pose_Rx > -0.8215491473674774 & pose_Tz <= -0.8411401510238647 & pose_Tz <= -0.8173949420452118 & pose_Ty <= 0.1113743968307972 & pose_Tz <= 3.510704278945923 & pose_Rx > -1.1517605781555176,rule,0.21874628330702733,0.032454361054766734,0.03876260398410177
319,pose_Ty <= 0.1113743968307972 & pose_Ty <= 0.10353902354836464 & pose_Tz > 0.25761424005031586 & pose_Ty > -0.1268208920955658,rule,-0.8187503314853274,0.030425963488843813,0.14062552194646427
