"media_open; media_play; media_end","2022/09/13 14:29:28:551; 2022/09/13 14:29:37:517; 2022/09/13 14:30:30:610"
"Multimedia File","0.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,7.70532631578947
14,15.145485
15,16.0030575
16,16.569665
17,21.7304675
18,24.34915
19,24.34915
20,19.9846825
21,15.1608
22,15.1608
23,15.1608
24,15.1608
25,34.3032125
26,51.4088725
27,50.9954
28,50.9954
29,50.9954
30,50.9954
31,50.9954
32,50.9954
33,50.9954
34,50.9954
35,50.9954
36,50.9954
37,50.9954
38,50.9954
39,53.4303175
40,59.8315425
41,63.1852925
42,63.24655
43,63.24655
44,63.24655
45,63.24655
46,67.427265
47,73.2618625
48,75.4009763157895
49,74.57885
50,74.57885
51,74.57885
52,74.57885
53,74.57885
