"media_open; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_end","2022/09/13 15:46:53:194; 2022/09/13 15:46:58:520; 2022/09/13 15:47:10:369; 2022/09/13 15:47:31:776; 2022/09/13 15:52:28:138; 2022/09/13 15:52:47:720; 2022/09/13 15:55:23:914; 2022/09/13 16:00:09:989; 2022/09/13 16:00:34:791"
"Multimedia File","11.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,3.215925
4,25.2526725
5,43.7672325
6,44.165395
7,53.7196789473684
8,63.55285
9,63.55285
10,69.4793325
11,82.5421
12,82.5421
13,82.5421
14,82.5421
15,82.5421
16,82.5421
17,82.5421
18,82.5421
19,82.5421
20,82.5421
21,82.5421
22,82.5421
23,82.5421
24,82.5421
25,82.5421
26,82.5421
27,82.5421
28,82.5421
29,82.5421
30,82.5421
31,82.5421
32,82.5421
33,82.5421
34,82.5421
35,82.5421
36,82.5421
37,76.707495
38,61.68452
39,52.7565025
40,53.44565
41,48.3678657894737
42,36.2174525
43,18.8514525
44,17.74886
45,16.753455
46,12.098
47,12.098
48,12.098
49,12.098
50,12.098
51,12.098
52,12.098
53,12.098
54,12.098
55,12.098
56,12.098
57,12.098
58,12.098
59,12.098
60,12.098
61,11.914235
62,9.14243
63,4.517615
64,-5.865245
65,-11.79175
66,-11.79175
67,-11.79175
68,-11.79175
69,-11.79175
70,-11.79175
71,-11.79175
72,-13.7672375
73,-15.77335
74,-15.77335
75,-15.77335
76,-15.77335
77,-15.77335
78,-4.2879
79,43.0467476190476
80,58.9264184210527
81,59.8775
82,60.153125
83,60.18375
84,60.18375
85,60.18375
86,60.18375
87,60.18375
88,60.18375
89,60.18375
90,60.18375
91,60.18375
92,60.18375
93,60.18375
94,60.18375
95,60.18375
96,60.18375
97,60.18375
98,60.18375
99,60.18375
100,60.18375
101,60.18375
102,60.18375
103,60.18375
104,60.18375
105,60.18375
106,60.18375
107,60.18375
108,60.18375
109,60.18375
110,60.18375
111,60.18375
112,60.18375
113,60.18375
114,60.18375
115,60.18375
116,60.18375
117,61.1831868421053
