frame,berk,cansu,yagmur,file,group
0,0,2,0,0,0
1,0,2,-1,0,-1
2,0,2,-1,0,-1
3,0,2,-1,0,-1
4,0,2,-1,0,-1
5,0,2,-1,0,-1
6,0,2,-1,0,-1
7,0,2,-1,0,-1
8,0,2,-1,0,-1
9,0,2,-1,0,-1
10,0,2,0,0,0
11,0,2,0,0,0
12,0,2,0,0,0
13,0,2,0,0,0
14,0,2,0,0,0
15,0,2,0,0,0
16,1,2,0,0,0
17,1,2,0,0,0
18,1,2,0,0,0
19,0,2,0,0,0
20,0,2,0,0,0
21,0,2,0,0,0
22,0,2,0,0,0
23,0,2,0,0,0
24,1,2,0,0,0
25,1,2,0,0,0
26,1,2,0,0,0
27,1,2,0,0,0
28,1,1,0,0,0
29,1,2,0,0,0
30,1,2,0,0,0
31,1,2,0,0,0
32,1,2,1,0,1
33,1,2,1,0,1
34,1,2,1,0,1
35,1,2,1,0,1
36,1,2,1,0,1
37,1,2,1,0,1
38,1,2,1,0,1
39,1,2,1,0,1
40,2,2,1,0,1
41,2,2,1,0,1
42,2,2,1,0,1
43,2,2,1,0,1
44,2,2,1,0,1
45,2,2,2,0,2
46,2,2,2,0,2
47,2,2,1,0,1
48,2,2,1,0,1
49,2,2,1,0,1
50,2,2,0,0,0
51,2,2,0,0,0
52,2,2,1,0,1
0,0,2,0,1,0
1,0,2,1,1,1
2,0,2,1,1,1
3,0,2,1,1,1
4,0,2,1,1,1
5,1,2,1,1,1
6,1,2,0,1,0
7,1,2,1,1,1
8,1,2,1,1,1
9,1,2,1,1,1
10,1,2,1,1,1
11,1,2,1,1,1
12,1,2,1,1,1
13,1,2,1,1,1
14,1,2,1,1,1
15,0,2,0,1,0
16,1,2,0,1,0
17,1,2,0,1,0
18,1,2,0,1,0
19,1,2,0,1,0
20,1,2,0,1,0
21,1,2,0,1,0
22,1,2,0,1,0
23,1,2,0,1,0
24,1,2,0,1,0
25,1,2,0,1,0
26,1,2,0,1,0
27,1,2,1,1,1
28,1,2,0,1,0
29,1,2,0,1,0
30,1,2,1,1,1
31,1,3,1,1,1
32,1,3,1,1,1
33,1,3,1,1,1
34,1,3,1,1,1
35,1,3,1,1,1
36,2,3,1,1,1
37,3,3,1,1,1
38,3,3,1,1,1
39,3,3,1,1,1
40,3,3,2,1,2
41,3,3,2,1,2
42,3,3,2,1,2
43,3,3,2,1,2
44,3,3,2,1,2
45,2,3,3,1,3
46,3,3,3,1,3
47,3,3,3,1,3
48,3,3,3,1,3
49,3,3,3,1,3
50,3,3,3,1,3
51,3,3,3,1,3
52,3,3,3,1,3
53,3,3,3,1,3
54,3,3,3,1,3
55,3,3,3,1,3
56,3,3,3,1,3
57,3,3,3,1,3
58,3,3,3,1,3
59,2,3,3,1,3
60,1,3,3,1,3
61,0,3,3,1,3
62,0,3,3,1,3
63,0,3,3,1,3
64,0,3,3,1,3
65,0,3,3,1,3
66,0,3,3,1,3
67,0,3,3,1,3
68,0,3,3,1,3
69,0,3,3,1,3
70,0,3,3,1,3
71,0,3,3,1,3
72,0,3,3,1,3
73,0,3,3,1,3
74,0,3,3,1,3
75,0,3,3,1,3
76,0,3,2,1,2
77,1,3,2,1,2
78,1,3,2,1,2
79,1,3,2,1,2
80,1,3,2,1,2
81,1,3,2,1,2
82,1,3,2,1,2
83,1,3,2,1,2
84,1,3,2,1,2
85,1,3,2,1,2
86,1,3,2,1,2
87,1,3,2,1,2
88,1,3,2,1,2
89,1,3,2,1,2
90,1,3,2,1,2
91,1,3,2,1,2
92,1,3,2,1,2
93,2,3,2,1,2
94,2,3,2,1,2
95,2,3,2,1,2
96,2,3,2,1,2
97,2,3,1,1,1
98,2,3,1,1,1
99,2,3,1,1,1
100,2,3,1,1,1
101,2,3,1,1,1
102,2,3,1,1,1
103,2,3,0,1,0
104,2,3,0,1,0
105,2,3,0,1,0
106,3,3,0,1,0
107,3,3,0,1,0
108,3,3,0,1,0
109,3,3,0,1,0
110,3,3,0,1,0
111,3,3,0,1,0
112,3,3,0,1,0
113,3,3,1,1,1
114,3,3,1,1,1
115,3,3,1,1,1
116,3,3,1,1,1
117,3,3,1,1,1
118,3,3,1,1,1
119,3,3,1,1,1
120,3,3,1,1,1
121,3,3,1,1,1
122,3,3,1,1,1
123,3,3,1,1,1
124,2,3,1,1,1
125,1,3,1,1,1
126,1,3,1,1,1
127,0,3,0,1,0
128,0,3,0,1,0
129,0,3,1,1,1
130,0,3,1,1,1
131,0,3,1,1,1
132,0,3,1,1,1
133,0,3,1,1,1
0,0,3,0,2,0
1,0,3,1,2,1
2,0,3,1,2,1
3,0,3,1,2,1
4,0,3,1,2,1
5,0,3,1,2,1
6,0,3,1,2,1
7,1,3,2,2,2
8,1,3,2,2,2
9,1,3,2,2,2
10,1,3,2,2,2
11,1,3,2,2,2
12,1,3,2,2,2
13,1,3,2,2,2
14,1,3,2,2,2
15,1,3,1,2,1
16,2,3,1,2,1
17,2,3,1,2,1
18,2,3,1,2,1
19,3,3,1,2,1
20,3,3,1,2,1
21,3,3,1,2,1
22,3,3,1,2,1
23,3,3,1,2,1
24,3,3,1,2,1
25,3,3,1,2,1
26,3,3,1,2,1
27,3,3,1,2,1
28,3,3,1,2,1
29,3,3,1,2,1
30,3,3,1,2,1
31,3,3,1,2,1
32,3,3,1,2,1
33,3,3,1,2,1
34,3,3,1,2,1
35,3,3,1,2,1
36,3,3,1,2,1
37,3,3,1,2,1
38,3,3,1,2,1
39,3,3,2,2,2
40,3,3,2,2,2
41,3,3,2,2,2
42,3,3,2,2,2
43,3,3,2,2,2
44,3,3,2,2,2
45,3,3,2,2,2
46,1,3,2,2,2
47,1,3,2,2,2
48,0,3,3,2,3
49,0,3,3,2,3
50,0,3,3,2,3
51,0,3,3,2,3
52,0,3,3,2,3
53,0,3,3,2,3
54,0,3,3,2,3
55,0,3,3,2,3
56,0,3,3,2,3
57,0,3,3,2,3
58,0,2,3,2,2
59,0,2,3,2,2
60,0,2,3,2,2
61,-1,2,3,2,2
62,-1,3,3,2,3
63,-1,3,3,2,3
64,-1,3,3,2,3
65,-1,3,3,2,3
66,-1,3,3,2,3
67,0,3,3,2,3
68,0,3,3,2,3
69,0,3,3,2,3
70,0,3,3,2,3
71,0,3,3,2,3
72,0,3,3,2,3
73,0,3,3,2,3
74,0,3,3,2,3
75,0,3,2,2,2
76,0,3,-1,2,-1
77,0,3,-1,2,-1
78,1,3,-1,2,-1
79,0,3,-1,2,-1
80,0,3,-1,2,-1
81,0,3,-1,2,-1
82,0,3,-1,2,-1
83,0,3,-1,2,-1
84,0,3,-1,2,-1
85,0,3,-1,2,-1
86,0,3,-1,2,-1
87,0,3,-1,2,-1
88,0,3,-1,2,-1
89,0,3,-1,2,-1
90,0,3,-1,2,-1
91,0,3,-1,2,-1
92,0,3,-1,2,-1
93,0,3,-1,2,-1
94,0,3,-1,2,-1
95,0,3,-1,2,-1
96,0,3,-1,2,-1
97,0,3,-1,2,-1
98,0,3,-1,2,-1
99,0,3,-1,2,-1
100,0,3,-1,2,-1
101,0,3,-1,2,-1
102,0,3,-1,2,-1
103,0,3,-1,2,-1
104,0,3,-1,2,-1
105,1,2,-1,2,-1
106,1,2,-1,2,-1
107,1,2,-1,2,-1
108,1,2,-1,2,-1
109,1,2,-1,2,-1
110,1,2,-1,2,-1
111,1,2,-1,2,-1
112,1,2,-1,2,-1
113,1,2,-1,2,-1
114,1,2,-1,2,-1
115,1,2,-1,2,-1
116,1,2,-1,2,-1
117,1,2,-1,2,-1
118,1,2,-1,2,-1
119,1,2,-1,2,-1
120,1,2,-1,2,-1
121,0,2,-1,2,-1
122,0,2,-1,2,-1
123,0,2,-1,2,-1
124,0,2,-1,2,-1
125,0,2,-1,2,-1
126,0,2,-1,2,-1
127,0,2,-1,2,-1
128,0,2,-1,2,-1
129,0,2,-1,2,-1
130,0,2,-1,2,-1
131,0,2,-1,2,-1
132,0,2,-1,2,-1
133,0,2,-1,2,-1
134,0,2,-1,2,-1
135,0,2,-1,2,-1
136,1,2,-1,2,-1
137,1,2,-1,2,-1
138,1,2,-1,2,-1
139,1,2,-1,2,-1
140,1,2,-1,2,-1
141,1,2,-1,2,-1
142,1,2,-1,2,-1
143,1,2,-2,2,-2
144,1,2,-2,2,-2
145,2,2,-2,2,-2
146,2,2,-2,2,-2
147,2,2,-2,2,-2
148,2,2,-2,2,-2
149,3,2,-2,2,-2
