frame,berk,cansu,yagmur,file,group
0,0,2,-1,0,-1
1,0,2,-1,0,-1
2,0,2,-1,0,-1
3,0,2,-1,0,-1
4,0,2,-1,0,-1
5,0,2,-1,0,-1
6,0,2,-1,0,-1
7,0,2,-1,0,-1
8,0,2,-1,0,-1
9,0,2,-1,0,-1
10,0,2,-1,0,-1
11,0,2,0,0,0
12,0,2,0,0,0
13,0,2,0,0,0
14,0,2,0,0,0
15,0,2,0,0,0
16,0,2,0,0,0
17,0,2,0,0,0
18,0,2,0,0,0
19,0,2,0,0,0
20,0,2,0,0,0
21,0,2,0,0,0
22,0,2,0,0,0
23,0,2,0,0,0
24,1,2,0,0,0
25,1,2,0,0,0
26,1,2,0,0,0
27,1,2,0,0,0
28,1,2,0,0,0
29,1,2,0,0,0
30,1,2,0,0,0
31,1,2,0,0,0
32,1,2,0,0,0
33,1,2,1,0,1
34,1,2,1,0,1
35,1,2,1,0,1
36,1,2,1,0,1
37,1,2,1,0,1
38,1,2,1,0,1
39,2,2,1,0,1
40,2,2,1,0,1
41,2,2,1,0,1
42,2,2,1,0,1
43,2,2,1,0,1
44,2,2,1,0,1
45,2,2,2,0,2
46,3,2,2,0,2
47,3,2,1,0,1
48,3,2,0,0,0
49,3,2,0,0,0
50,3,2,0,0,0
51,3,2,0,0,0
52,3,2,0,0,0
0,0,2,0,1,0
1,0,2,1,1,1
2,0,2,1,1,1
3,0,2,1,1,1
4,0,2,1,1,1
5,0,2,1,1,1
6,1,3,0,1,0
7,1,3,0,1,0
8,1,3,1,1,1
9,1,3,1,1,1
10,1,3,1,1,1
11,1,3,1,1,1
12,1,3,1,1,1
13,1,3,1,1,1
14,0,3,0,1,0
15,0,3,0,1,0
16,0,3,0,1,0
17,0,3,0,1,0
18,1,3,0,1,0
19,1,3,0,1,0
20,1,3,0,1,0
21,1,3,0,1,0
22,1,3,0,1,0
23,1,3,0,1,0
24,1,3,0,1,0
25,1,3,0,1,0
26,1,3,0,1,0
27,1,3,0,1,0
28,1,3,0,1,0
29,1,3,0,1,0
30,1,3,0,1,0
31,1,3,1,1,1
32,1,3,1,1,1
33,1,3,1,1,1
34,1,3,1,1,1
35,1,3,1,1,1
36,3,3,1,1,1
37,3,3,1,1,1
38,3,3,1,1,1
39,3,3,1,1,1
40,3,3,2,1,2
41,3,3,2,1,2
42,3,3,2,1,2
43,3,3,2,1,2
44,3,3,3,1,3
45,3,3,3,1,3
46,3,3,3,1,3
47,3,3,3,1,3
48,3,3,3,1,3
49,3,3,3,1,3
50,3,3,3,1,3
51,3,3,3,1,3
52,3,3,3,1,3
53,3,3,3,1,3
54,3,3,3,1,3
55,3,3,3,1,3
56,3,3,3,1,3
57,3,3,3,1,3
58,3,3,3,1,3
59,3,3,3,1,3
60,1,3,3,1,3
61,0,3,3,1,3
62,-1,3,3,1,3
63,-1,3,3,1,3
64,-1,3,3,1,3
65,-1,3,3,1,3
66,-1,3,3,1,3
67,-1,3,3,1,3
68,-1,3,3,1,3
69,-1,3,3,1,3
70,-1,3,3,1,3
71,-1,3,3,1,3
72,-1,3,3,1,3
73,-1,3,3,1,3
74,-1,3,3,1,3
75,-1,3,3,1,3
76,0,3,3,1,3
77,0,3,2,1,2
78,0,3,2,1,2
79,0,3,2,1,2
80,0,3,2,1,2
81,0,3,2,1,2
82,0,3,2,1,2
83,0,3,2,1,2
84,0,3,2,1,2
85,0,3,2,1,2
86,0,3,2,1,2
87,0,3,2,1,2
88,0,3,2,1,2
89,0,3,2,1,2
90,0,3,2,1,2
91,0,3,2,1,2
