"media_open; media_play; media_end","2022/09/14 15:12:39:708; 2022/09/14 15:13:02:883; 2022/09/14 15:14:05:075"
"Multimedia File","12.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,62.02145
2,62.02145
3,54.37979
4,22.3430125
5,21.28635
6,21.28635
7,21.28635
8,30.53598
9,43.33845
10,43.7366125
11,62.756515
12,69.37215
13,69.37215
14,69.37215
15,69.37215
16,77.764175
17,99.0650315789474
18,99.08115
19,99.08115
20,99.08115
21,99.08115
22,99.08115
23,99.08115
24,99.08115
25,99.08115
26,99.08115
27,99.08115
28,99.08115
29,99.08115
30,99.08115
31,99.08115
32,99.08115
33,99.08115
34,99.08115
35,99.08115
36,99.08115
37,99.08115
38,99.08115
39,99.08115
40,99.08115
41,99.08115
42,99.08115
43,99.08115
44,99.0658375
45,96.2601894736842
46,96.0184
47,96.0184
48,96.0184
49,96.0184
50,96.0184
51,96.0184
52,96.0184
53,96.0184
54,96.0184
55,96.0184
56,96.0184
57,96.0184
58,96.0184
59,96.0184
60,96.0184
61,96.0184
62,96.0184
