"media_open; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_end","2022/09/14 16:26:32:950; 2022/09/14 16:26:38:099; 2022/09/14 16:29:28:487; 2022/09/14 16:29:33:354; 2022/09/14 16:29:58:386; 2022/09/14 16:30:50:250; 2022/09/14 16:30:51:232; 2022/09/14 16:30:58:879; 2022/09/14 16:32:41:783; 2022/09/14 16:33:10:358; 2022/09/14 16:35:18:500; 2022/09/14 16:39:07:517; 2022/09/14 16:39:58:754; 2022/09/14 16:42:13:807; 2022/09/14 16:45:21:311"
"Multimedia File","v0.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0.336905
2,53.7825475
3,62.634
4,62.634
5,62.634
6,62.634
7,62.634
8,62.634
9,62.634
10,62.634
11,62.634
12,62.634
13,62.634
14,62.634
15,62.634
16,62.634
17,68.4678857142857
18,69.9847
19,69.9847
20,69.9847
21,69.9847
22,69.9847
23,69.9847
24,69.9847
25,69.9847
26,69.9847
27,69.9847
28,69.9847
29,69.9847
30,69.9847
31,69.9847
32,69.9847
33,69.9847
34,69.9847
35,69.9847
36,69.9847
37,69.9847
38,69.9847
39,69.9847
40,69.9847
41,69.9847
42,69.9847
43,69.9847
44,69.9847
45,69.9847
46,69.9847
47,69.9847
48,69.9847
49,69.9847
50,69.9847
51,69.9847
52,69.9847
53,70.0918975
54,83.9929105263158
55,90.81165
56,90.81165
57,90.81165
58,90.78102
59,92.0367552631579
60,92.9556
61,92.9556
62,92.9556
63,92.9556
64,92.9556
65,92.9556
66,92.9556
67,92.9556
68,92.9556
69,92.9556
70,92.9556
71,92.9556
72,92.9556
73,92.9556
74,92.9556
75,92.9556
76,92.9556
77,92.9556
78,92.9556
79,92.9556
80,92.9556
81,92.9556
82,92.9556
83,92.9556
84,92.9556
85,92.9556
86,92.9556
87,92.9556
88,92.9556
89,92.9556
90,92.9556
91,92.9556
92,92.9556
93,92.9556
94,92.9556
95,92.9556
96,92.9556
97,92.9556
98,92.9556
99,92.9556
100,92.9556
101,92.9556
102,92.9556
103,92.9556
104,92.9556
105,92.9556
106,92.9556
107,82.2197078947368
108,78.86675
109,78.86675
110,86.6156225
111,92.9556
112,92.9556
113,92.9556
114,92.9556
115,92.9556
116,92.9556
117,92.9556
118,92.9556
119,92.9556
120,92.9556
121,92.9556
122,92.9556
123,92.9556
124,92.9556
125,92.9556
126,92.9556
127,97.3813225
128,100
129,100
130,100
131,100
132,100
133,100
134,100
135,100
136,100
137,100
138,100
139,100
140,100
141,100
142,100
143,100
144,100
145,100
146,100
147,100
148,100
149,100
150,100
151,100
152,100
153,100
154,100
155,100
156,100
157,100
158,100
159,100
160,100
161,100
162,100
163,100
164,100
165,100
166,100
167,100
168,100
169,100
170,100
171,100
172,100
173,100
174,100
175,100
176,100
177,100
178,100
179,100
180,100
181,100
182,100
183,100
184,100
185,100
186,100
187,100
188,100
189,100
190,100
191,100
192,100
193,100
194,100
195,100
196,100
197,100
198,100
199,100
200,100
201,100
202,100
203,100
204,100
205,100
206,100
207,100
208,100
209,100
210,100
211,100
212,100
213,100
214,100
215,100
216,100
217,100
218,100
219,100
220,100
221,100
222,100
223,100
224,100
225,100
226,100
227,100
228,100
229,100
230,100
231,100
232,100
233,100
234,100
235,100
236,100
237,100
238,100
239,100
240,100
241,100
242,100
243,100
244,100
245,100
246,100
247,100
248,100
249,100
250,100
251,100
252,100
253,100
254,100
255,100
256,100
257,100
258,100
259,100
260,100
261,100
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,100
270,100
271,100
272,100
273,100
274,100
275,100
276,100
277,100
278,100
279,100
280,100
281,100
282,100
283,100
284,100
285,100
286,100
287,100
288,100
289,100
290,100
291,100
292,100
293,100
294,100
295,100
296,100
297,100
298,100
299,100
300,100
301,100
302,100
303,100
304,100
305,100
306,100
307,100
308,100
309,100
310,100
311,100
312,100
313,100
314,100
315,100
316,100
317,100
318,100
319,100
320,100
321,100
322,100
323,100
324,100
325,100
326,100
327,100
328,100
329,100
330,100
331,100
332,100
333,100
334,100
335,100
336,100
337,100
338,100
339,100
340,100
341,100
342,100
343,100
344,100
345,100
346,100
347,100
348,100
349,100
350,100
351,100
352,100
353,100
354,100
355,100
356,100
357,100
358,100
359,100
360,100
361,100
362,100
363,100
364,100
365,100
366,100
367,100
368,100
369,100
370,100
371,100
372,100
373,100
374,99.555895
375,91.0695684210527
376,93.20062
377,92.03675
378,92.03675
379,92.03675
380,92.03675
381,92.03675
382,92.03675
383,92.03675
384,92.03675
385,92.03675
386,92.03675
387,92.03675
388,92.03675
389,92.03675
390,92.03675
391,92.03675
392,92.03675
393,92.03675
394,92.03675
395,92.03675
396,92.03675
397,92.03675
398,92.03675
399,92.03675
400,92.03675
401,92.03675
402,93.21593
403,96.0184
404,91.3323025
405,91.087275
406,91.1179
407,91.1179
408,91.1179
409,91.1179
410,91.1179
411,91.1179
412,92.06739
413,92.34305
414,92.34305
415,92.34305
416,92.34305
417,92.34305
418,92.34305
419,92.34305
420,92.34305
421,92.34305
422,92.34305
423,92.34305
424,92.34305
425,92.34305
426,92.34305
427,92.34305
428,92.34305
429,92.34305
430,92.34305
431,92.34305
432,92.34305
433,85.5009447368421
434,72.34305
435,77.84305
436,88.4113842105263
437,95.7121
438,95.7121
439,95.7121
440,95.7121
441,95.7121
442,95.7121
443,95.7121
444,95.7121
445,95.7121
446,95.7121
447,95.7121
448,95.7121
449,95.7121
450,95.7121
451,98.9739675
452,100
453,100
454,100
455,100
456,100
457,100
458,100
459,100
460,100
461,100
462,100
463,100
464,100
465,100
466,100
467,100
468,100
469,100
470,100
471,100
472,100
473,100
474,100
475,100
476,100
477,100
478,100
479,100
480,100
481,100
482,100
483,100
484,100
485,100
486,100
487,100
488,100
489,100
490,100
491,100
492,100
493,100
494,100
495,100
496,100
497,100
498,100
499,100
500,100
501,100
502,100
503,100
504,100
505,100
506,100
507,100
508,100
509,100
510,100
511,100
512,100
513,100
514,100
515,100
516,100
517,100
518,100
519,100
520,100
521,100
522,100
523,100
524,100
525,100
526,100
527,100
528,100
529,100
530,100
531,100
532,100
533,100
534,100
535,100
536,57.94794
537,53.44565
538,78.621745
539,100
540,100
541,100
542,100
543,100
544,100
545,100
546,100
547,100
548,79.5238095238095
549,64.2352289473684
550,73.5018125
551,91.8677552631579
552,93.8628
553,93.8628
554,93.8628
555,93.8628
556,93.8628
557,93.8628
558,93.8628
559,93.8628
560,93.8628
561,93.8628
562,93.8628
563,93.8628
564,93.8628
565,93.8628
566,93.8628
567,93.8628
568,93.8628
569,93.8628
570,93.8628
571,93.8628
572,93.8628
573,93.8628
574,93.8628
575,93.8628
576,93.8628
577,93.8628
578,93.8628
579,93.8628
580,93.8628
581,93.8628
582,93.8628
583,93.8628
584,93.8628
585,93.8628
586,93.8628
587,93.8628
588,93.8628
589,93.8628
590,93.8628
591,93.8628
592,93.8628
593,93.8628
594,93.8628
595,95.70396
596,100
597,100
598,100
599,100
600,100
601,100
602,100
603,100
604,100
605,100
606,100
607,100
608,100
609,100
610,100
611,100
612,100
613,100
614,100
615,100
616,100
617,100
618,100
619,100
620,100
621,100
622,100
623,100
624,100
625,100
626,100
627,100
628,100
629,100
630,100
631,100
632,100
633,100
634,100
635,100
636,100
637,100
638,100
639,100
640,100
641,100
642,100
643,100
644,100
645,100
646,100
647,100
648,100
649,100
650,100
651,100
652,100
653,100
654,100
655,100
656,100
657,98.7238416666667
658,100
659,100
660,100
661,100
