"media_open; media_play; media_end","2022/10/06 11:01:37:537; 2022/10/06 11:01:45:206; 2022/10/06 11:09:45:392"
"Multimedia File","v7.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,45.1761
2,45.1761
3,45.1761
4,45.1761
5,45.1761
6,45.1761
7,45.1761
8,45.1761
9,45.1761
10,45.1761
11,45.1761
12,45.1761
13,45.1761
14,45.1761
15,56.1761
16,70.1761
17,70.1761
18,70.1761
19,70.1761
20,70.1761
21,70.1761
22,70.1761
23,70.1761
24,70.1761
25,70.1761
26,70.1761
27,70.1761
28,74.3427666666667
29,80.1761
30,80.1761
31,80.1761
32,80.1761
33,80.1761
34,80.1761
35,80.1761
36,81.2287315789473
37,85.1761
38,85.1761
39,85.1761
40,85.1761
41,85.1761
42,85.1761
43,85.1761
44,85.1761
45,85.1761
46,85.1761
47,85.1761
48,85.1761
49,85.1761
50,85.1761
51,85.1761
52,85.1761
53,85.1761
54,85.1761
55,85.1761
56,85.1761
57,85.1761
58,85.1761
59,85.1761
60,85.1761
61,85.1761
62,85.1761
63,85.1761
64,85.1761
65,85.1761
66,85.1761
67,85.1761
68,85.1761
69,85.1761
70,85.1761
71,85.1761
72,85.1761
73,85.1761
74,85.1761
75,85.1761
76,85.1761
77,85.1761
78,85.1761
79,85.1761
80,85.1761
81,85.1761
82,85.1761
83,85.1761
84,85.1761
85,85.1761
86,85.1761
87,85.1761
88,85.1761
89,85.1761
90,85.1761
91,85.1761
92,85.1761
93,85.1761
94,85.1761
95,85.1761
96,85.1761
97,85.1761
98,85.1761
99,85.1761
100,85.1761
101,85.1761
102,85.1761
103,85.1761
104,85.1761
105,85.1761
106,85.1761
107,85.1761
108,85.1761
109,83.8603105263158
110,76.4918894736842
111,67.6761
112,51.1761
113,45.1761
114,42.1761
115,39.6497842105263
116,35.1761
117,35.1761
118,35.1761
119,35.1761
120,35.1761
121,38.8603105263158
122,64.9129421052632
123,75.1761
124,82.1009777777778
125,100
126,100
127,100
128,100
129,100
130,100
131,88.9473684210526
132,33.6842105263158
133,-10
134,-18.4210526315789
135,-45.5555555555556
136,-45.7894736842105
137,10.5263157894737
138,19.2105263157895
139,36.8421052631579
140,40
141,33.4210526315789
142,22.3684210526316
143,20
144,20
145,20
146,18.9473684210526
147,5.83333333333333
148,-9.21052631578947
149,-22.75
150,-28.6111111111111
151,-30
152,-30
153,-30
154,-30
155,-35.7894736842105
156,-48.25
157,-55
158,-55
159,-55
160,-55
161,-55
162,-55
163,-55
164,-55
165,-55
166,-55
167,-55
168,-55
169,-55
170,-55
171,-55
172,-55
173,-54.2105263157895
174,-20.2631578947368
175,26.5789473684211
176,43.4210526315789
177,50
178,50
179,50
180,50
181,50
182,50
183,50
184,50
185,50
186,50
187,50
188,50
189,50
190,50
191,50
192,50
193,51.75
194,55
195,55
196,55
197,55
198,55
199,55
200,55
201,55
202,55
203,55
204,55
205,55
206,55
207,69.25
208,75
209,75
210,75
211,75
212,75
213,75
214,71.5789473684211
215,49.7368421052632
216,24
217,25
218,25
219,25
220,25
221,25
222,25
223,25
224,25
225,25
226,25
227,25
228,25
229,17.3684210526316
230,4.21052631578947
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1.31578947368421
254,-19.7368421052632
255,-49.4736842105263
256,-50
257,-50
258,-50
259,-48.1578947368421
260,-5.26315789473684
261,20
262,22.3684210526316
263,-15.5263157894737
264,-40
265,-40
266,-45.5
267,-38.8888888888889
268,-35
269,-20.5263157894737
270,23.9473684210526
271,25
272,25
273,25
274,25
275,25
276,25
277,25
278,25
279,25
280,25
281,25
282,25
283,22.8947368421053
284,-12.5
285,-35.8333333333333
286,-42.3684210526316
287,-49.4736842105263
288,-50
289,-50
290,-50
291,-45.2631578947368
292,-29.5
293,-25
294,-25
295,-25
296,-25
297,-25
298,-25
299,-25
300,-25
301,-25
302,-25
303,-25
304,-25
305,-25
306,-25
307,-25
308,-25
309,-25
310,-25
311,-25
312,-25
313,-25
314,-25
315,-25
316,-25
317,-25
318,-25
319,-25
320,-25
321,-25
322,-25
323,-25
324,-25
325,-25
326,-25
327,-25
328,-25
329,-25
330,-25
331,-25
332,-25
333,-25
334,-25
335,-23.1578947368421
336,12.3684210526316
337,25
338,25
339,25
340,25
341,27.8947368421053
342,30
343,30
344,30
345,30
346,30
347,30
348,30
