"media_open; media_play; media_end","2022/10/06 13:22:13:600; 2022/10/06 13:22:18:911; 2022/10/06 13:30:19:011"
"Multimedia File","v7.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,-10.5102
5,-27.41195
6,-27.41195
7,-27.41195
8,-27.41195
9,-27.41195
10,-27.41195
11,-27.41195
12,-27.41195
13,-27.41195
14,-27.41195
15,-27.41195
16,-27.41195
17,-27.41195
18,-27.41195
19,-27.41195
20,-27.41195
21,-27.41195
22,-27.41195
23,-27.41195
24,-27.41195
25,-27.41195
26,-27.41195
27,-27.41195
28,-27.41195
29,-27.41195
30,-27.41195
31,-27.41195
32,-27.41195
33,-27.41195
34,-27.41195
35,-27.41195
36,-27.41195
37,-27.41195
38,-27.41195
39,-27.41195
40,-27.41195
41,-27.41195
42,-27.41195
43,-27.41195
44,-27.41195
45,-27.41195
46,-27.41195
47,-27.41195
48,-27.41195
49,-27.41195
50,-27.41195
51,-27.41195
52,-27.41195
53,-27.41195
54,-27.41195
55,-27.41195
56,-27.41195
57,-27.41195
58,-27.41195
59,-27.41195
60,-27.41195
61,-27.41195
62,-27.41195
63,-27.41195
64,-27.41195
65,-27.41195
66,-27.41195
67,-27.41195
68,-27.41195
69,-27.41195
70,-27.41195
71,-27.41195
72,-27.41195
73,-27.41195
74,-27.41195
75,-27.41195
76,-27.41195
77,-27.41195
78,-27.41195
79,-27.41195
80,-27.41195
81,-27.41195
82,-27.41195
83,-27.41195
84,-27.41195
85,-27.41195
86,-27.41195
87,-27.41195
88,-27.41195
89,-27.41195
90,-27.41195
91,-27.41195
92,-27.41195
93,-27.41195
94,-27.41195
95,-27.41195
96,-27.41195
97,-27.41195
98,-27.41195
99,-27.41195
100,-27.41195
101,-27.41195
102,-27.41195
103,-27.41195
104,-27.41195
105,-27.41195
106,-27.41195
107,-27.41195
108,-27.41195
109,-27.41195
110,-27.41195
111,-27.41195
112,-27.41195
113,-27.41195
114,-27.41195
115,-27.41195
116,-27.41195
117,-35.3913157894737
118,-51.5595921052631
119,-51.60795
120,-51.60795
121,-51.60795
122,-51.60795
123,-51.60795
124,-51.60795
125,-51.60795
126,-51.60795
127,-51.60795
128,-51.60795
129,-51.60795
130,-51.60795
131,-51.60795
132,-51.60795
133,-51.60795
134,-51.60795
135,-51.60795
136,-51.60795
137,-51.60795
138,-51.60795
139,-51.60795
140,-51.60795
141,-51.60795
142,-51.60795
143,-51.60795
144,-51.60795
145,-51.60795
146,-51.60795
147,-51.60795
148,-51.60795
149,-51.60795
150,-51.60795
151,-51.60795
152,-51.60795
153,-51.60795
154,-51.60795
155,-51.60795
156,-51.60795
157,-51.60795
158,-51.60795
159,-57.8624894736842
160,-97.4369447368421
161,-98.16235
162,-98.16235
163,-98.16235
164,-98.16235
165,-98.16235
166,-98.16235
167,-98.16235
168,-98.16235
169,-98.16235
170,-98.16235
171,-98.16235
172,-98.16235
173,-98.16235
174,-98.16235
175,-98.16235
176,-98.16235
177,-98.16235
178,-98.16235
179,-98.16235
180,-98.16235
181,-98.16235
182,-98.16235
183,-98.16235
184,-98.16235
185,-98.16235
186,-98.16235
187,-98.16235
188,-98.16235
189,-98.16235
190,-98.16235
191,-98.16235
192,-98.16235
193,-98.16235
194,-98.16235
195,-66.5027868421053
196,-28.63705
197,-53.3605666666666
198,-54.0582
199,-54.0582
200,-54.0582
201,-54.0582
202,-68.0180605263158
203,-98.2751815789473
204,-98.7749
205,-98.7749
206,-98.7749
207,-98.7749
208,-98.7749
209,-98.7749
210,-98.7749
211,-98.7749
212,-98.7749
213,-98.7749
214,-98.7749
215,-98.7749
216,-98.7749
217,-98.7749
218,-98.7749
219,-98.7749
220,-98.7749
221,-98.7749
222,-98.7749
223,-98.7749
224,-98.7749
225,-98.7749
226,-98.7749
227,-98.7749
228,-98.7749
229,-98.7749
230,-98.7749
231,-98.7749
232,-98.7749
233,-98.7749
234,-98.7749
235,-98.7749
236,-98.7749
237,-98.7749
238,-98.7749
239,-98.7749
240,-98.7749
241,-98.7749
242,-98.7749
243,-98.7749
244,-98.7749
245,-98.7749
246,-98.7749
247,-98.7749
248,-98.7749
249,-98.7749
250,-98.7749
251,-98.7749
252,-98.7749
253,-98.7749
254,-98.7749
255,-98.7749
256,-98.7749
257,-98.7749
258,-98.7749
259,-98.7749
260,-98.7749
261,-98.7749
262,-98.7749
263,-98.7749
264,-98.7749
265,-98.7749
266,-98.7749
267,-98.7749
