"media_open; media_play; media_end","2022/11/01 15:30:19:600; 2022/11/01 15:30:28:410; 2022/11/01 15:35:28:645"
"Multimedia File","v3.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,-7.89473684210526
28,-10
29,-10
30,-10
31,-10
32,-10
33,-10
34,-10
35,-10
36,-10
37,-10
38,-10
39,-10
40,-10
41,-10
42,-10
43,-10
44,-10
45,-10
46,-10
47,-10
48,-10
49,-10
50,-10
51,-10
52,-10
53,-10
54,-10
55,-10
56,-17.3684210526316
57,-20
58,-20
59,-20
60,-20
61,-20
62,-20
63,-20
64,-20
65,-20
66,-20
67,-20
68,-20
69,-20
70,-20
71,-20
72,-20
73,-20
74,-20
75,-20
76,-20
77,-20
78,-20
79,-20
80,-20
81,-20
82,-20
83,-20
84,-20
85,-20
86,-20
87,-20
88,-20
89,-20
90,-20
91,-20
92,-20
93,-20
94,-20
95,-20
96,-20
97,-20
98,-20
99,-20
100,-20
101,-20
102,-20
103,-20
104,-20
105,-20
106,-29.4736842105263
107,-30
108,-30
109,-30
110,-30
111,-30
112,-30
113,-30
114,-30
115,-30
116,-30
117,-30
118,-30
119,-30
120,-30
121,-30
122,-30
123,-30
124,-31.0526315789474
125,-40
126,-40
127,-40
128,-40
129,-40
130,-40
131,-40
132,-40
133,-40
134,-40
135,-40
136,-40
137,-40
138,-40
139,-40
140,-32.6315789473684
141,-30
142,-30
143,-30
144,-30
145,-30
146,-30
147,-30
148,-30
149,-30
150,-30
151,-30
152,-30
153,-30
154,-30
155,-30
156,-30
157,-30
158,-30
159,-30
160,-30
161,-30
162,-30
163,-30
164,-14
165,-10
166,-10
167,-12.7777777777778
168,-20
169,-20
170,-20
171,-20
172,-20
173,-20
174,-20
175,-20
176,-20
177,-20
178,-20
179,-20
180,-20
181,-20
182,-20
183,-20
184,-20
185,-20
186,-20
187,-20
188,-20
189,-20
190,-20
191,-20
192,-20
193,-20
194,-20
195,-20
196,-20
197,-20
198,-20
199,-20
200,-20
201,-20
202,-20
203,-20
204,-20
205,-20
206,-20
207,-20
208,-20
209,-20
210,-20
211,-20
212,-20
213,-20
214,-20
215,-20
216,-20
217,-20
218,-20
219,-20
220,-20
221,-20
222,-20
223,-20
224,-20
225,-20
226,-20
227,-20
228,-20
229,-20
230,-20
231,-20
232,-20
233,-20
234,-20
235,-20
236,-20
237,-20
238,-20
239,-20
240,-20
241,-20
242,-20
243,-20
244,-20
245,-20
246,-20
247,-20
248,-20
249,-20
250,-20
251,-20
252,-20
253,-20
254,-20
255,-20
256,-20
257,-20
258,-20
259,-20
260,-20
261,-20
262,-20
263,-20
264,-20
265,-20
266,-20
267,-20
268,-20
269,-20
270,-20
271,-20
272,-20
273,-20
274,-20
275,-20
276,-20
277,-20
278,-20
279,-20
280,-20
281,-20
282,-20
283,-20
284,-20
285,-20
286,-20
287,-20
288,-20
289,-20
290,-20
291,-21.5789473684211
292,-30
293,-30
294,-30
295,-30
296,-30
297,-30
298,-30
299,-30
300,-30
