"media_open; media_play; media_end","2022/11/01 13:13:18:510; 2022/11/01 13:13:23:382; 2022/11/01 13:18:23:528"
"Multimedia File","v1.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,-2.10526315789474
24,-23.1578947368421
25,-40
26,-40
27,-40
28,-40
29,-40
30,-40
31,-40
32,-40
33,-40
34,-40
35,-40
36,-40
37,-40
38,-40
39,-40
40,-40
41,-40
42,-40
43,-40
44,-40
45,-40
46,-40
47,-40
48,-40
49,-40
50,-40
51,-40
52,-40
53,-40
54,-40
55,-40
56,-40
57,-40
58,-40
59,-40
60,-40
61,-40
62,-40
63,-40
64,-40
65,-40
66,-40
67,-40
68,-40
69,-40
70,-40
71,-40
72,-40
73,-40
74,-40
75,-40
76,-40
77,-40
78,-40
79,-40
80,-40
81,-40
82,-40
83,-40
84,-40
85,-40
86,-40
87,-40
88,-40
89,-40
90,-40
91,-40
92,-46.8421052631579
93,-55.275252631579
94,-59.26495
95,-59.26495
96,-59.26495
97,-59.26495
98,-59.26495
99,-59.26495
100,-59.26495
101,-59.26495
102,-59.26495
103,-59.26495
104,-59.26495
105,-59.26495
106,-59.26495
107,-59.26495
108,-59.26495
109,-59.26495
110,-59.26495
111,-59.26495
112,-59.26495
113,-59.26495
114,-59.26495
115,-59.26495
116,-59.26495
117,-59.26495
118,-59.26495
119,-59.26495
120,-59.26495
121,-59.26495
122,-59.26495
123,-59.26495
124,-59.26495
125,-59.26495
126,-59.26495
127,-59.26495
128,-59.26495
129,-59.26495
130,-59.26495
131,-59.26495
132,-59.26495
133,-59.26495
134,-59.26495
135,-59.26495
136,-59.26495
137,-59.26495
138,-59.26495
139,-59.26495
140,-59.26495
141,-59.26495
142,-59.26495
143,-59.26495
144,-59.26495
145,-59.26495
146,-59.26495
147,-59.26495
148,-59.26495
149,-59.26495
150,-59.26495
151,-59.26495
152,-59.26495
153,-59.26495
154,-59.26495
155,-59.26495
156,-59.26495
157,-59.26495
158,-59.26495
159,-59.26495
160,-59.26495
161,-59.26495
162,-59.26495
163,-59.26495
164,-59.26495
165,-59.26495
166,-59.26495
167,-59.26495
168,-59.26495
169,-59.26495
170,-59.26495
171,-59.26495
172,-59.26495
173,-59.26495
174,-59.26495
175,-59.26495
176,-59.26495
177,-59.26495
178,-59.26495
179,-59.26495
180,-59.26495
181,-50.3175815789474
182,-22.9491605263158
183,-19.26495
184,-19.26495
185,-19.26495
186,-19.26495
187,-15.3123473684211
188,-12.7106
189,-12.7106
190,-12.7106
191,-12.7106
192,-12.7106
193,-12.7106
194,-12.7106
195,-12.7106
196,-12.7106
197,-12.7106
198,-12.7106
199,-12.7106
200,-12.7106
201,-12.7106
202,-12.7106
203,-12.7106
204,-12.7106
205,-12.7106
206,-12.7106
207,-12.7106
208,-12.7106
209,-12.7106
210,-17.7561210526316
211,-23.5915236842105
212,-23.7366
213,-42.0004921052631
214,-59.3294078947369
215,-52.2970775
216,-51.60795
217,-51.60795
218,-51.60795
219,-51.60795
220,-51.60795
221,-51.60795
222,-51.60795
223,-51.60795
224,-51.60795
225,-51.60795
226,-51.60795
227,-51.60795
228,-51.60795
229,-51.60795
230,-51.60795
231,-51.60795
232,-51.60795
233,-51.60795
234,-51.60795
235,-51.60795
236,-51.60795
237,-51.60795
238,-51.60795
239,-51.60795
240,-51.60795
241,-51.60795
242,-51.60795
243,-51.60795
244,-51.60795
245,-51.60795
246,-51.60795
247,-51.60795
248,-51.60795
249,-51.60795
250,-51.60795
251,-51.60795
252,-51.60795
253,-51.60795
254,-51.60795
255,-51.60795
256,-51.60795
257,-51.60795
258,-51.60795
259,-51.60795
260,-51.60795
261,-51.60795
262,-51.60795
263,-51.60795
264,-51.60795
265,-51.60795
266,-51.60795
267,-51.60795
268,-51.60795
269,-51.60795
270,-51.60795
271,-51.60795
272,-51.60795
273,-51.60795
274,-51.60795
275,-51.60795
276,-51.60795
277,-51.60795
278,-51.60795
279,-51.60795
280,-51.60795
281,-51.60795
282,-51.60795
283,-51.60795
284,-51.60795
285,-51.60795
286,-51.60795
287,-51.60795
288,-51.60795
289,-51.60795
290,-51.60795
291,-51.60795
292,-51.60795
293,-51.60795
294,-51.60795
295,-51.60795
296,-51.60795
297,-51.60795
298,-51.60795
299,-51.60795
300,-51.60795
