"media_open; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_end","2022/11/01 13:29:28:145; 2022/11/01 13:29:33:202; 2022/11/01 13:29:57:101; 2022/11/01 13:30:48:769; 2022/11/01 13:31:10:719; 2022/11/01 13:31:30:571; 2022/11/01 13:33:07:280; 2022/11/01 13:33:19:740; 2022/11/01 13:35:57:323"
"Multimedia File","v4.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,-3.68421052631579
4,-20
5,-20
6,-20
7,-20
8,-20
9,-20
10,-20
11,-20
12,-20
13,-20
14,-20
15,-20
16,-20
17,-20
18,-20
19,-20
20,-20
21,-20
22,-20
23,-20
24,-20
25,-20
26,-20
27,-20
28,-24.4104184210526
29,-34.1501
30,-34.1501
31,-34.1501
32,-34.1501
33,-34.1501
34,-34.1501
35,-34.1501
36,-34.1501
37,-34.1501
38,-34.1501
39,-34.1501
40,-34.1501
41,-34.1501
42,-34.1501
43,-34.1501
44,-34.1501
45,-34.1501
46,-34.1501
47,-34.1501
48,-34.1501
49,-34.1501
50,-34.1501
51,-34.1501
52,-34.1501
53,-34.1501
54,-34.1501
55,-34.1501
56,-34.1501
57,-34.1501
58,-34.1501
59,-34.1501
60,-34.1501
61,-34.1501
62,-34.1501
63,-34.1501
64,-32.1673368421053
65,-24.9617
66,-25.42112
67,-24.9617
68,-24.9617
69,-24.9617
70,-24.9617
71,-24.9617
72,-24.9617
73,-24.9617
74,-24.9617
75,-24.9617
76,-24.9617
77,-24.9617
78,-24.9617
79,-24.9617
80,-24.9617
81,-24.9617
82,-24.9617
83,-24.9617
84,-24.9617
85,-24.9617
86,-24.9617
87,-24.9617
88,-24.9617
89,-24.9617
90,-24.9617
91,-24.9617
92,-24.9617
93,-24.9617
94,-24.9617
95,-24.9617
96,-24.9617
97,-24.9617
98,-24.9617
99,-24.9617
100,-24.9617
101,-24.9617
102,-24.9617
103,-24.9617
104,-24.9617
105,-24.9617
106,-24.9617
107,-24.9617
108,-24.9617
109,-16.5406473684211
110,-14.9617
111,-14.9617
112,-14.9617
113,-14.9617
114,-14.9617
115,-14.9617
116,-14.9617
117,-14.9617
118,-14.9617
119,-14.9617
120,-14.9617
121,-14.9617
122,-14.9617
123,-14.9617
124,-14.9617
125,-14.9617
126,-14.9617
127,-14.9617
128,-14.9617
129,-14.9617
130,-14.9617
131,-14.9617
132,-14.9617
133,-14.9617
134,-14.9617
135,-14.9617
136,-14.9617
137,-14.9617
138,-14.9617
139,-14.9617
140,-14.9617
141,-14.9617
142,-14.9617
143,-14.9617
144,-14.9617
145,-14.9617
146,-14.9617
147,-14.9617
148,-14.9617
149,-14.9617
150,-14.9617
151,-14.9617
152,-14.9617
153,-14.9617
154,-14.9617
155,-14.9617
156,-14.9617
157,-14.9617
158,-14.9617
159,-14.9617
160,-14.9617
161,-14.9617
162,-14.9617
163,-14.9617
164,-14.9617
165,-14.9617
166,-8.82083947368421
167,-7.50385
168,-7.50385
169,-7.50385
170,-7.50385
171,-7.50385
172,-7.50385
173,-7.50385
174,-7.50385
175,-7.50385
176,-7.50385
177,-7.50385
178,-7.50385
179,-7.50385
180,-7.50385
181,-7.50385
182,-7.50385
183,-7.50385
184,-7.50385
185,-7.50385
186,-7.50385
187,-7.50385
188,1.96983421052632
189,4.60141315789474
190,12.49615
191,12.49615
192,12.49615
193,12.49615
194,12.49615
195,12.49615
196,12.49615
197,12.49615
198,12.49615
199,12.49615
200,12.49615
201,12.49615
202,12.49615
203,12.49615
204,12.49615
205,12.49615
206,12.49615
207,12.49615
208,12.49615
209,12.49615
210,12.49615
211,12.49615
212,12.49615
213,12.49615
214,12.49615
215,12.49615
216,12.49615
217,12.49615
218,12.49615
219,12.49615
220,12.49615
221,12.49615
222,12.49615
223,12.49615
224,12.49615
225,12.49615
226,12.49615
227,12.49615
228,12.49615
229,12.49615
230,12.49615
231,12.49615
232,12.49615
233,12.49615
234,12.49615
235,12.49615
236,12.49615
237,12.49615
238,12.49615
239,12.49615
240,12.49615
241,12.49615
242,12.49615
243,12.49615
244,12.49615
245,12.49615
246,12.49615
247,12.49615
248,12.49615
249,12.49615
250,12.49615
251,12.49615
252,12.49615
253,12.49615
254,12.49615
255,12.49615
256,12.49615
257,12.49615
258,12.49615
259,12.49615
260,12.49615
261,12.49615
262,12.49615
263,12.49615
264,12.49615
265,12.49615
266,12.49615
267,12.49615
268,12.49615
269,12.49615
270,12.49615
271,12.49615
272,12.49615
273,12.49615
274,12.49615
275,12.49615
276,12.49615
277,12.49615
278,12.49615
279,12.49615
280,12.49615
281,12.49615
282,12.49615
283,12.49615
284,12.49615
285,12.49615
286,12.49615
287,12.49615
288,12.49615
289,12.49615
290,12.49615
291,12.49615
292,12.49615
293,12.49615
294,12.49615
295,12.49615
296,12.49615
297,12.49615
298,12.49615
299,12.49615
300,12.49615
