"media_open; media_play; media_pause; media_play; media_end","2022/11/01 12:15:56:459; 2022/11/01 12:16:02:397; 2022/11/01 12:16:51:521; 2022/11/01 12:16:57:475; 2022/11/01 12:21:08:537"
"Multimedia File","v2.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,10.1761025
2,14.8545
3,16.5632394736842
4,16.6922
5,16.6922
6,16.6922
7,16.6922
8,16.6922
9,16.6922
10,16.6922
11,16.6922
12,16.6922
13,16.6922
14,16.6922
15,16.6922
16,16.6922
17,16.6922
18,16.6922
19,16.6922
20,16.6922
21,16.6922
22,16.6922
23,16.6922
24,16.6922
25,16.6922
26,16.6922
27,16.6922
28,16.6922
29,16.6922
30,16.6922
31,16.6922
32,16.6922
33,16.6922
34,16.6922
35,16.6922
36,16.6922
37,16.6922
38,16.6922
39,17.04442
40,21.28635
41,21.28635
42,21.28635
43,21.28635
44,21.28635
45,21.28635
46,21.28635
47,21.28635
48,21.28635
49,21.28635
50,21.28635
51,21.28635
52,21.28635
53,21.28635
54,21.28635
55,21.28635
56,21.28635
57,21.28635
58,21.28635
59,21.28635
60,21.28635
61,21.28635
62,21.28635
63,21.28635
64,21.28635
65,21.28635
66,21.28635
67,21.28635
68,21.28635
69,21.28635
70,21.28635
71,21.28635
72,21.28635
73,21.28635
74,21.28635
75,21.28635
76,16.66155
77,8.03130833333334
78,4.3185425
79,3.82850000000001
80,3.420125
81,2.2971
82,2.2971
83,2.2971
84,2.2971
85,2.2971
86,2.0980175
87,-4.032675
88,-4.44105
89,-4.44105
90,-4.44105
91,-4.44105
92,-4.44105
93,-4.44105
94,-4.44105
95,-4.44105
96,-4.44105
97,-4.44105
98,-4.44105
99,-0.685097368421055
100,8.76117105263158
101,6.50437894736842
102,4.31208421052632
103,10.19908
104,10.8729
105,11.4854605263158
106,12.4043
107,12.4043
108,12.4043
109,12.4043
110,12.4043
111,12.4043
112,12.4043
113,12.4043
114,12.4043
115,12.4043
116,12.4043
117,12.4043
118,12.4043
119,12.4043
120,12.4043
121,12.4043
122,12.4043
123,12.4043
124,12.4043
125,12.4043
126,12.4043
127,12.4043
128,12.4043
129,12.4043
130,12.4043
131,12.4043
132,12.4043
133,12.4043
134,12.4043
135,12.4043
136,12.4043
137,12.4043
138,12.4043
139,12.4043
140,12.4043
141,14.1836214285714
142,16.99845
143,16.99845
144,16.99845
145,16.99845
146,16.99845
147,16.99845
148,16.99845
149,16.99845
150,16.99845
151,16.99845
152,16.99845
153,16.99845
154,16.99845
155,16.99845
156,16.99845
157,16.99845
158,16.99845
159,16.99845
160,16.99845
161,16.99845
162,16.99845
163,16.99845
164,16.99845
165,16.99845
166,16.99845
167,16.99845
168,16.99845
169,16.99845
170,16.99845
171,16.99845
172,16.99845
173,16.99845
174,16.99845
175,16.99845
176,16.99845
177,16.99845
178,16.99845
179,16.99845
180,16.99845
181,16.99845
182,16.99845
183,16.99845
184,16.99845
185,16.99845
186,16.99845
187,16.99845
188,16.99845
189,16.99845
190,16.99845
191,16.99845
192,16.99845
193,16.99845
194,16.99845
195,16.99845
196,16.99845
197,16.99845
198,16.99845
199,16.99845
200,16.99845
201,16.99845
202,16.99845
203,16.99845
204,16.99845
205,16.99845
206,16.99845
207,16.99845
208,16.99845
209,16.99845
210,16.99845
211,16.99845
212,16.99845
213,7.00410263157895
214,1.68455
215,1.68455
216,1.68455
217,1.68455
218,1.68455
219,1.68455
220,1.68455
221,1.68455
222,1.68455
223,1.68455
224,1.68455
225,1.68455
226,1.68455
227,1.68455
228,1.68455
229,1.68455
230,1.68455
231,1.68455
232,1.68455
233,1.68455
234,1.68455
235,1.68455
236,1.68455
237,1.68455
238,1.68455
239,1.68455
240,1.68455
241,1.68455
242,1.68455
243,1.68455
244,1.68455
245,1.68455
246,1.68455
247,1.68455
248,1.68455
249,1.68455
250,-1.5878
251,-4.13475
252,1.28153684210526
253,10.9212421052632
254,11.17915
255,11.17915
256,11.17915
257,11.17915
258,11.17915
259,5.92407105263158
260,5.0536
261,5.0536
262,5.0536
263,5.0536
264,5.0536
265,5.0536
266,5.0536
267,5.0536
268,25.5895775
269,47.0621447368421
270,57.65295
271,57.73355
272,63.2143052631579
273,63.8591
274,63.8591
275,63.8591
276,63.8591
277,63.8591
278,63.8591
279,63.8591
280,63.8591
281,63.8591
282,63.8591
283,63.8591
284,63.8591
285,63.8591
286,68.4532842105263
287,70.9035
288,70.9035
289,70.9035
290,72.1125052631579
291,73.35375
292,73.35375
293,73.35375
294,73.35375
295,73.35375
296,73.35375
297,73.35375
298,73.35375
299,73.35375
300,73.35375
