"media_open; media_play; media_end","2022/11/01 12:32:05:407; 2022/11/01 12:32:13:253; 2022/11/01 12:39:27:338"
"Multimedia File","v5.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,6.28677368421053
2,23.3174657894737
3,23.4303
4,23.4303
5,23.4303
6,23.4303
7,23.4303
8,23.4303
9,23.4303
10,23.4303
11,23.4303
12,23.4303
13,23.4303
14,23.4303
15,23.4303
16,23.4303
17,23.4303
18,23.4303
19,23.4303
20,23.4303
21,23.4303
22,23.4303
23,23.4303
24,23.4303
25,23.4303
26,23.4303
27,23.4303
28,23.4303
29,23.4303
30,23.4303
31,23.4303
32,23.4303
33,23.4303
34,23.4303
35,23.4303
36,23.4303
37,23.4303
38,23.4303
39,23.4303
40,23.4303
41,23.4303
42,23.4303
43,23.4303
44,23.4303
45,23.4303
46,23.4303
47,23.4303
48,23.4303
49,23.4303
50,23.4303
51,23.4303
52,23.4303
53,23.4303
54,23.4303
55,23.4303
56,23.4303
57,23.4303
58,23.4303
59,23.4303
60,23.4303
61,23.4303
62,21.1412789473684
63,13.3070157894737
64,9.64780000000001
65,9.30748333333334
66,7.66501842105264
67,4.15087894736842
68,0.811644999999997
69,0.153149999999997
70,0.153149999999997
71,0.153149999999997
72,0.153149999999997
73,0.153149999999997
74,0.153149999999997
75,0.153149999999997
76,0.153149999999997
77,0.153149999999997
78,0.153149999999997
79,0.153149999999997
80,0.153149999999997
81,0.153149999999997
82,0.153149999999997
83,0.153149999999997
84,0.153149999999997
85,0.153149999999997
86,0.153149999999997
87,0.153149999999997
88,0.153149999999997
89,0.153149999999997
90,0.153149999999997
91,0.153149999999997
92,0.153149999999997
93,0.153149999999997
94,0.153149999999997
95,0.153149999999997
96,0.153149999999997
97,0.153149999999997
98,0.153149999999997
99,0.153149999999997
100,0.153149999999997
101,0.153149999999997
102,0.153149999999997
103,0.153149999999997
104,0.153149999999997
105,0.153149999999997
106,0.153149999999997
107,0.153149999999997
108,0.153149999999997
109,0.153149999999997
110,0.153149999999997
111,0.153149999999997
112,0.153149999999997
113,0.153149999999997
114,0.153149999999997
115,0.153149999999997
116,0.153149999999997
117,0.153149999999997
118,0.153149999999997
119,0.153149999999997
120,0.153149999999997
121,0.153149999999997
122,0.153149999999997
123,0.153149999999997
124,0.153149999999997
125,0.153149999999997
126,0.153149999999997
127,0.153149999999997
128,0.153149999999997
129,0.153149999999997
130,0.153149999999997
131,2.74843684210526
132,5.68228421052631
133,6.55276578947368
134,8.1164
135,8.1164
136,8.1164
137,8.1164
138,8.1164
139,8.1164
140,8.1164
141,8.1164
142,8.1164
143,8.1164
144,8.1164
145,8.1164
146,8.1164
147,8.1164
148,8.1164
149,8.1164
150,8.1164
151,8.1164
152,8.1164
153,8.1164
154,8.1164
155,8.1164
156,8.1164
157,8.1164
158,8.1164
159,8.1164
160,8.1164
161,8.1164
162,8.1164
163,8.1164
164,8.1164
165,8.1164
166,8.1164
167,8.1164
168,8.1164
169,8.1164
170,8.1164
171,8.1164
172,8.1164
173,8.1164
174,8.1164
175,8.1164
176,8.1164
177,8.1164
178,8.1164
179,8.1164
180,8.1164
181,8.1164
182,8.1164
183,8.1164
184,8.1164
185,8.1164
186,8.1164
187,8.1164
188,8.1164
189,8.1164
190,8.1164
191,8.1164
192,8.1164
193,8.1164
194,8.1164
195,8.1164
196,8.1164
197,8.1164
198,8.1164
199,8.1164
200,8.1164
201,8.1164
202,8.1164
203,8.1164
204,8.1164
205,8.1164
206,8.1164
207,8.1164
208,8.1164
209,8.1164
210,8.1164
211,8.1164
212,8.1164
213,8.1164
214,8.1164
215,8.1164
216,8.1164
217,8.1164
218,8.1164
219,8.1164
220,8.1164
221,-2.07140263157895
222,-9.0352
223,-10.67945
224,-12.4043
225,-12.4043
226,-12.4043
227,-12.4043
228,-13.7422605263158
229,-13.9357
230,-13.9357
231,-13.9357
232,-13.9357
233,-13.9357
234,-13.9357
235,-13.9357
236,-13.9357
237,-13.9357
238,-13.9357
239,-13.9357
240,-13.9357
241,-13.9357
242,-13.9357
243,-8.03579736842105
244,31.6676078947368
245,56.9114131578947
246,62.3277
