"media_open; media_play; media_end","2022/11/03 13:54:14:365; 2022/11/03 13:54:19:598; 2022/11/03 13:59:19:774"
"Multimedia File","v10.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,45.1914275
2,89.28025
3,89.28025
4,89.28025
5,89.28025
6,91.5047973684211
7,96.0184
8,96.0184
9,96.0184
10,96.0184
11,96.0184
12,96.0184
13,96.0184
14,96.0184
15,96.0184
16,96.0184
17,96.0184
18,96.0184
19,96.0184
20,96.0184
21,96.0184
22,96.0184
23,96.0184
24,96.0184
25,96.0184
26,96.0184
27,96.0184
28,96.0184
29,96.0184
30,96.0184
31,96.0184
32,96.0184
33,96.0184
34,96.0184
35,96.0184
36,96.0184
37,96.0184
38,96.0184
39,96.0184
40,96.0184
41,96.0184
42,96.0184
43,96.0184
44,96.0184
45,96.0184
46,96.0184
47,96.0184
48,96.0184
49,96.0184
50,96.0184
51,96.0184
52,96.0184
53,96.0184
54,96.0184
55,96.0184
56,96.0184
57,96.0184
58,96.0184
59,96.3085552631579
60,98.4686
61,98.4686
62,98.4686
63,98.4686
64,98.4686
65,98.4686
66,98.4686
67,98.4686
68,98.4686
69,98.3718815789474
70,94.5836921052632
71,93.26185
72,93.26185
73,93.26185
74,93.26185
75,93.26185
76,93.26185
77,93.26185
78,93.26185
79,93.26185
80,93.26185
81,93.26185
82,93.26185
83,93.26185
84,93.26185
85,93.26185
86,93.26185
87,93.26185
88,93.26185
89,93.26185
90,93.26185
91,93.26185
92,93.26185
93,93.26185
94,93.26185
95,93.26185
96,93.26185
97,93.26185
98,93.26185
99,93.26185
100,93.26185
101,83.5987675
102,71.2098
103,71.2098
104,71.2098
105,71.2098
106,71.2098
107,71.2098
108,71.2098
109,71.2098
110,71.2098
111,71.2098
112,71.2098
113,71.2098
114,71.2098
115,71.2098
116,71.2098
117,71.2098
118,71.2098
119,73.0797105263158
120,73.35375
121,73.35375
122,73.35375
123,73.35375
124,73.35375
125,73.35375
126,73.35375
127,73.35375
128,73.35375
129,73.35375
130,73.35375
131,73.35375
132,73.35375
133,73.35375
134,73.35375
135,73.35375
136,73.35375
137,73.35375
138,73.35375
139,73.35375
140,73.35375
141,73.35375
142,73.35375
143,73.35375
144,73.35375
145,73.35375
146,73.35375
147,73.35375
148,73.35375
149,73.35375
150,73.35375
151,67.6956473684211
152,62.94025
153,62.94025
154,62.94025
155,62.94025
156,62.94025
157,62.94025
158,62.94025
159,62.94025
160,62.94025
161,62.94025
162,64.027545
163,89.0250111111111
164,92.03675
165,92.03675
166,92.03675
167,92.03675
168,92.03675
169,92.03675
170,92.03675
171,92.03675
172,92.03675
173,92.03675
174,92.03675
175,92.03675
176,92.03675
177,92.03675
178,92.03675
179,92.03675
180,92.03675
181,92.03675
182,92.03675
183,92.03675
184,92.03675
185,92.03675
186,92.03675
187,92.03675
188,92.03675
189,92.03675
190,92.03675
191,92.03675
192,92.03675
193,92.03675
194,92.03675
195,92.03675
196,92.03675
197,92.03675
198,92.03675
199,92.03675
200,92.03675
201,92.03675
202,92.03675
203,92.03675
204,92.03675
205,92.03675
206,92.03675
207,92.03675
208,93.4069447368421
209,95.7121
210,95.7121
211,95.7121
212,95.7121
213,95.7121
214,95.7121
215,98.8716052631579
216,100
217,100
218,100
219,100
220,100
221,100
222,98.1139657894737
223,95.7121
224,95.7121
225,95.7121
226,95.7121
227,95.7121
228,95.7121
229,95.7121
230,95.7121
231,95.7121
232,95.7121
233,95.7121
234,95.7121
235,95.7121
236,95.7121
237,95.7121
238,95.7121
239,95.7121
240,95.7121
241,95.7121
242,95.7121
243,95.7121
244,95.7121
245,95.7121
246,95.7121
247,95.7121
248,93.4553052631579
249,87.44255
250,87.44255
251,87.44255
252,87.44255
253,87.44255
254,87.44255
255,87.44255
256,87.44255
257,87.44255
258,87.44255
259,87.44255
260,87.44255
261,87.44255
262,87.44255
263,87.44255
264,87.44255
265,87.44255
266,87.44255
267,87.44255
268,87.44255
269,87.44255
270,87.44255
271,87.44255
272,87.44255
273,87.44255
274,87.44255
275,87.44255
276,87.44255
277,87.44255
278,87.44255
279,87.44255
280,87.44255
281,87.44255
282,87.44255
283,87.44255
284,87.44255
285,87.44255
286,87.44255
287,87.44255
288,87.44255
289,87.44255
290,87.44255
291,87.44255
292,87.44255
293,87.44255
294,87.44255
295,87.44255
296,87.44255
297,87.44255
298,87.44255
299,84.0734921052632
300,73.04745
