"media_open; media_play; media_end","2022/11/09 15:59:13:438; 2022/11/09 16:00:37:134; 2022/11/09 16:05:37:307"
"Multimedia File","v7.mp4"
"Lower Label","Negative Affect"
"Upper Label","Positive Affect"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,0
6,-6.14169473684211
7,-36.5084275
8,-38.7595875
9,-38.438
10,-47.3966325
11,-7.13920714285715
12,0.153149999999997
13,0.153149999999997
14,0.153149999999997
15,0.153149999999997
16,0.153149999999997
17,0.153149999999997
18,0.153149999999997
19,0.153149999999997
20,0.153149999999997
21,0.153149999999997
22,0.153149999999997
23,0.153149999999997
24,0.153149999999997
25,0.153149999999997
26,0.153149999999997
27,0.153149999999997
28,0.153149999999997
29,0.153149999999997
30,0.153149999999997
31,0.153149999999997
32,0.153149999999997
33,0.153149999999997
34,0.153149999999997
35,0.153149999999997
36,0.153149999999997
37,0.153149999999997
38,0.153149999999997
39,0.153149999999997
40,0.153149999999997
41,0.153149999999997
42,0.153149999999997
43,0.153149999999997
44,0.153149999999997
45,0.153149999999997
46,0.153149999999997
47,0.153149999999997
48,-12.5727375
49,-35.0689184210526
50,-9.4486875
51,-3.2159
52,-3.2159
53,-3.2159
54,-3.2159
55,-3.2159
56,-3.2159
57,-3.2159
58,-3.2159
59,-3.2159
60,-3.2159
61,-3.2159
62,-3.2159
63,-3.2159
64,-3.2159
65,-3.2159
66,-3.2159
67,-3.2159
68,-3.2159
69,-3.2159
70,-3.2159
71,-3.2159
72,-3.2159
73,-3.2159
74,-3.2159
75,-3.2159
76,-3.2159
77,-3.2159
78,-3.2159
79,-3.2159
80,-3.2159
81,-3.2159
82,-3.2159
83,-3.2159
84,-3.2159
85,-3.2159
86,-3.2159
87,-3.2159
88,-3.2159
89,-3.2159
90,-3.2159
91,-3.2159
92,-3.2159
93,-3.2159
94,-3.2159
95,-3.2159
96,-3.2159
97,-3.2159
98,-3.2159
99,-3.2159
100,-3.2159
101,-3.2159
102,-3.2159
103,-3.2159
104,-3.2159
105,-3.2159
106,-3.2159
107,-3.2159
108,-3.2159
109,-3.2159
110,-3.2159
111,-3.2159
112,-3.2159
113,-3.2159
114,-3.2159
115,-3.2159
116,-3.2159
117,-3.2159
118,-3.2159
119,-3.2159
120,-3.2159
121,-3.2159
122,-3.2159
123,-3.2159
124,-3.2159
125,-3.2159
126,-3.2159
127,-3.2159
128,-3.2159
129,-3.2159
130,-3.2159
131,-3.36906
132,-10.5827315789474
133,-29.08117
134,-39.11181
135,-19.12711
136,3.078095
137,1.68455
138,1.68455
139,1.68455
140,1.68455
141,1.68455
142,1.68455
143,1.68455
144,1.68455
145,1.68455
146,1.68455
147,1.68455
148,1.68455
149,1.68455
150,1.68455
151,1.68455
152,1.68455
153,1.68455
154,1.68455
155,1.68455
156,1.68455
157,1.68455
158,1.68455
159,1.68455
160,1.68455
161,1.68455
162,1.68455
163,1.68455
164,1.68455
165,1.68455
166,1.68455
167,1.68455
168,1.68455
169,1.68455
170,1.68455
171,1.68455
172,-4.6554275
173,-35.6169947368421
174,-6.3399775
175,-3.5222
176,-3.5222
177,-3.5222
178,-3.5222
179,-3.5222
180,-3.5222
181,-3.5222
182,-3.5222
183,-3.5222
184,-3.5222
185,-3.5222
186,-3.5222
187,-3.5222
188,-3.5222
189,-3.5222
190,-3.5222
191,-3.5222
192,-3.5222
193,-3.5222
194,-3.5222
195,-3.5222
196,-3.5222
197,-3.5222
198,-3.5222
199,-3.5222
200,-3.5222
201,-3.5222
202,-3.5222
203,-3.5222
204,-3.5222
205,-3.5222
206,-3.5222
207,-3.5222
208,-3.5222
209,-3.5222
210,-3.5222
211,-3.5222
212,-3.5222
213,-3.5222
214,-3.5222
215,-3.5222
216,-3.5222
217,-3.5222
218,-3.5222
219,-0.413472499999999
220,39.647775
221,90.01532
222,100
223,100
224,100
225,100
226,100
227,100
228,100
229,100
230,100
231,100
232,100
233,100
234,100
235,100
236,100
237,100
238,100
239,100
240,100
241,100
242,100
243,100
244,100
245,100
246,100
247,89.8468625
248,19.647775
249,-37.5513842105263
250,-76.355285
251,-67.7488525
252,-16.29404
253,39.31087
254,96.278715
255,100
256,100
257,100
258,100
259,100
260,100
261,100
262,100
263,97.5191425
264,77.810105
265,58.1687736842105
266,44.24196
267,32.8790175
268,19.908115
269,6.04535714285714
270,-1.66752222222222
271,-1.68455
272,-1.68455
273,-1.68455
274,-1.68455
275,-1.68455
276,-1.68455
277,-1.68455
278,-1.68455
279,-1.68455
280,-1.68455
281,-1.68455
282,-1.68455
283,-1.68455
284,-1.68455
285,-1.68455
286,-1.68455
287,-1.68455
288,-1.68455
289,-1.68455
290,-1.68455
291,-1.68455
292,-1.68455
293,-1.68455
294,-1.68455
295,-1.68455
296,-1.68455
297,-1.68455
298,-1.68455
299,-1.68455
300,-1.68455
