"media_open; media_play; media_pause; media_play; media_end","2022/11/09 16:11:08:983; 2022/11/09 16:11:15:587; 2022/11/09 16:15:13:789; 2022/11/09 16:15:46:136; 2022/11/09 16:16:48:215"
"Multimedia File","v9.mp4"
"Lower Label","Negative Affect"
"Upper Label","Positive Affect"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,44.4257225
3,99.597
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,99.4358026315789
25,94.5788725
26,83.0817452380952
27,76.7872947368421
28,72.0367575
29,71.3871315789473
30,97.85605
31,96.1562
32,66.6003175
33,63.55285
34,63.55285
35,63.55285
36,63.55285
37,63.55285
38,63.55285
39,63.55285
40,63.55285
41,63.55285
42,63.55285
43,63.55285
44,63.55285
45,63.55285
46,63.55285
47,63.55285
48,63.55285
49,63.55285
50,63.55285
51,63.55285
52,63.55285
53,63.55285
54,63.55285
55,63.55285
56,63.55285
57,63.55285
58,63.55285
59,63.55285
60,63.55285
61,63.55285
62,63.55285
63,63.55285
64,63.55285
65,63.55285
66,63.55285
67,63.55285
68,63.55285
69,63.55285
70,63.55285
71,63.55285
72,63.55285
73,63.55285
74,63.55285
75,63.55285
76,63.55285
77,63.55285
78,63.55285
79,63.55285
80,63.55285
81,63.55285
82,63.55285
83,63.55285
84,63.55285
85,63.55285
86,63.55285
87,63.55285
88,63.55285
89,63.55285
90,63.55285
91,63.55285
92,63.55285
93,63.55285
94,63.55285
95,63.55285
96,63.55285
97,63.55285
98,63.55285
99,63.55285
100,63.55285
101,63.55285
102,63.55285
103,63.55285
104,63.55285
105,63.55285
106,63.55285
107,63.55285
108,63.55285
109,63.55285
110,63.55285
111,67.48851
112,72.4655225
113,91.1340342105263
114,100
115,100
116,100
117,100
118,100
119,100
120,100
121,100
122,100
123,100
124,100
125,100
126,100
127,100
128,100
129,100
130,100
131,100
132,100
133,100
134,100
135,100
136,100
137,100
138,100
139,100
140,100
141,100
142,100
143,100
144,100
145,100
146,100
147,100
148,100
149,100
150,100
151,100
152,100
153,100
154,100
155,100
156,100
157,100
158,100
159,100
160,95.038285
161,88.8933578947369
162,98.98928
163,100
164,100
165,100
166,100
167,100
168,100
169,99.7666452380952
170,95.25269
171,99.9319361111111
172,100
173,100
174,100
175,100
176,100
177,100
178,100
179,100
180,100
181,100
182,100
183,100
184,100
185,100
186,100
187,100
188,100
189,100
190,100
191,100
192,100
193,100
194,100
195,100
196,100
197,100
198,100
199,100
200,100
201,100
202,100
203,100
204,100
205,100
206,100
207,100
208,100
209,100
210,100
211,100
212,100
213,100
214,100
215,100
216,100
217,100
218,100
219,100
220,100
221,100
222,100
223,100
224,100
225,100
226,100
227,100
228,100
229,100
230,100
231,100
232,100
233,100
234,100
235,100
236,100
237,100
238,100
239,100
240,100
241,100
242,100
243,100
244,100
245,100
246,100
247,100
248,100
249,100
250,100
251,100
252,100
253,100
254,25.4211325
255,-73.5068975
256,-100
257,-100
258,-66.646255
259,-15.620225
260,53.124045
261,99.7520595238095
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,100
270,100
271,100
272,100
273,100
274,100
275,100
276,100
277,100
278,100
279,100
280,100
281,100
282,100
283,100
284,100
285,100
286,100
287,100
288,100
289,100
290,100
291,100
292,100
293,100
294,100
295,100
296,100
297,100
298,100
299,100
300,100
