"media_open; media_play; media_end","2022/11/03 18:00:27:649; 2022/11/03 18:00:33:456; 2022/11/03 18:05:33:671"
"Multimedia File","v6.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,4.47368421052632
4,1.11111111111111
5,-18.75
6,-30
7,-30
8,-30
9,-30
10,-30
11,-30
12,-30
13,-30
14,-30
15,-30
16,-30
17,-30
18,-30
19,-30
20,-30
21,-30
22,-30
23,-30
24,-30
25,-30
26,-30
27,-30
28,-30
29,-30
30,-30
31,-30
32,-30
33,-30
34,-30
35,-35
36,-41.5789473684211
37,-45
38,-45
39,-45
40,-45
41,-45
42,-45
43,-45
44,-45
45,-45
46,-45
47,-45
48,-45
49,-45
50,-45
51,-45
52,-45
53,-45
54,-45
55,-45
56,-45
57,-45
58,-44.7222222222222
59,-40
60,-37.25
61,10.2631578947368
62,15
63,18.4210526315789
64,20
65,20
66,21.8421052631579
67,33.4210526315789
68,47.1052631578947
69,55
70,55
71,55
72,53.1578947368421
73,47.3684210526316
74,45
75,40.5263157894737
76,36.5789473684211
77,32.3684210526316
78,25.75
79,20
80,20
81,20
82,20
83,20
84,20
85,17.3684210526316
86,13.9473684210526
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,10
124,10
125,10
126,10
127,10
128,10
129,10
130,10
131,10
132,10
133,10
134,10
135,10
136,10
137,10
138,10
139,10
140,10
141,10
142,10
143,10
144,10
145,10
146,10
147,6.11111111111111
148,-21.8421052631579
149,-25
150,-25
151,-24.2105263157895
152,-20
153,-20
154,-20
155,-20
156,-20
157,-20.5263157894737
158,-26.3157894736842
159,-33.6842105263158
160,-35
161,-35
162,-35
163,-35
164,-35
165,-35
166,-35
167,-35
168,-35
169,-31.0526315789474
170,-25
171,-25
172,-25
173,-25
174,-25
175,-25
176,-25
177,-25
178,-21.0526315789474
179,-13.1578947368421
180,-1.84210526315789
181,13.9473684210526
182,20
183,20
184,20
185,22.8947368421053
186,25
187,25
188,25
189,25
190,25
191,25
192,25
193,25
194,25
195,25
196,25
197,25
198,21.3157894736842
199,19.4736842105263
200,15
201,6.84210526315789
202,-34.7222222222222
203,-35
204,-35
205,-35
206,-36
207,-43.6842105263158
208,-52.5
209,-55
210,-55
211,-55
212,-55
213,-55
214,-55
215,-55
216,-55
217,-55
218,-55
219,-55
220,-55
221,-55
222,-55
223,-55
224,-55
225,-55
226,-55
227,-55
228,-55
229,-55
230,-55
231,-55
232,-55
233,-55
234,-55
235,-55
236,-55
237,-55
238,-55
239,-55
240,-55
241,-60.2631578947368
242,-65
243,-65
244,-69.4736842105263
245,-70
246,-70
247,-70
248,-70
249,-70
250,-70
251,-70
252,-70
253,-70
254,-70
255,-70
256,-70
257,-70
258,-70
259,-70
260,-70
261,-70
262,-70
263,-70
264,-70
265,-70
266,-70
267,-70
268,-70
269,-70
270,-70
271,-70
272,-70
273,-70
274,-70
275,-70
276,-70
277,-70
278,-70
279,-70
280,-70
281,-70
282,-70
283,-68.6842105263158
284,-65
285,-65
286,-65
287,-65
288,-65.2631578947368
289,-78.6842105263158
290,-89
291,-90
292,-90
293,-90
294,-90
295,-84.4444444444444
296,-76.25
297,-75
298,-75
299,-71.3888888888889
300,-70
