"media_open; media_play; media_end","2022/11/03 09:07:40:015; 2022/11/03 09:07:46:974; 2022/11/03 09:12:47:198"
"Multimedia File","v1.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,11.9206868421053
3,63.27718
4,75.1591631578947
5,73.5068916666666
6,72.7412
7,72.7412
8,72.7412
9,72.7412
10,72.7412
11,72.7412
12,72.7412
13,72.7412
14,72.7412
15,72.7412
16,72.7412
17,72.7412
18,72.7412
19,72.7412
20,72.7412
21,72.7412
22,72.7412
23,72.7412
24,72.7412
25,71.6385875
26,68.9467277777778
27,68.75955
28,68.75955
29,68.75955
30,68.75955
31,68.75955
32,68.75955
33,68.75955
34,68.75955
35,68.75955
36,68.75955
37,68.75955
38,68.75955
39,68.75955
40,68.75955
41,68.75955
42,68.75955
43,68.75955
44,68.75955
45,68.75955
46,68.75955
47,68.75955
48,68.75955
49,68.75955
50,68.75955
51,68.75955
52,68.75955
53,68.75955
54,68.75955
55,68.75955
56,68.75955
57,68.75955
58,68.75955
59,68.75955
60,68.75955
61,68.75955
62,68.75955
63,68.75955
64,68.75955
65,68.75955
66,68.75955
67,68.75955
68,68.75955
69,68.75955
70,68.75955
71,68.75955
72,68.2114789473684
73,61.8441184210526
74,61.1026
75,61.1026
76,61.1026
77,61.1026
78,61.1026
79,61.1026
80,61.1026
81,61.1026
82,61.1026
83,61.1026
84,61.1026
85,60.64318
86,59.4422421052631
87,57.0242578947369
88,53.87443
89,51.82915
90,51.60795
91,51.60795
92,51.60795
93,51.60795
94,51.60795
95,51.60795
96,51.60795
97,51.60795
98,51.60795
99,51.60795
100,51.60795
101,51.60795
102,51.60795
103,51.60795
104,51.60795
105,51.60795
106,51.60795
107,51.60795
108,51.60795
109,51.60795
110,51.60795
111,51.60795
112,51.60795
113,51.60795
114,51.60795
115,51.60795
116,51.60795
117,51.60795
118,51.60795
119,51.60795
120,51.60795
121,51.60795
122,51.60795
123,51.60795
124,51.60795
125,51.60795
126,51.60795
127,51.60795
128,51.60795
129,51.60795
130,51.60795
131,51.60795
132,51.60795
133,51.60795
134,51.60795
135,48.8192184210526
136,40.5308861111111
137,36.9065868421053
138,35.98775
139,35.98775
140,35.98775
141,35.98775
142,35.98775
143,35.98775
144,35.98775
145,35.98775
146,35.98775
147,35.98775
148,35.98775
149,35.98775
150,35.98775
151,35.98775
152,35.98775
153,35.98775
154,35.98775
155,35.98775
156,35.98775
157,35.98775
158,35.98775
159,35.98775
160,35.98775
161,35.98775
162,35.98775
163,35.98775
164,35.98775
165,35.98775
166,35.98775
167,35.98775
168,35.98775
169,35.98775
170,35.98775
171,35.98775
172,35.98775
173,35.98775
174,35.98775
175,35.98775
176,35.98775
177,35.98775
178,35.98775
179,35.98775
180,35.98775
181,35.98775
182,35.98775
183,35.98775
184,35.98775
185,35.98775
186,34.8432236842105
187,32.3124
188,32.3124
189,32.3124
190,32.3124
191,32.3124
192,32.3124
193,32.3124
194,32.3124
195,32.3124
196,32.3124
197,32.3124
198,32.3124
199,32.3124
200,32.3124
201,32.3124
202,32.3124
203,32.3124
204,32.3124
205,32.3124
206,32.3124
207,32.3124
208,32.3124
209,32.3124
210,32.3124
211,32.3124
212,32.3124
213,32.3124
214,32.3124
215,32.3124
216,32.3124
217,32.3124
218,32.3124
219,32.3124
220,32.3124
221,32.3124
222,32.3124
223,32.3124
224,32.3124
225,32.3124
226,32.3124
227,32.3124
228,32.3124
229,32.3124
230,32.3124
231,32.3124
232,32.3124
233,32.3124
234,32.3124
235,32.3124
236,32.3124
237,32.3124
238,32.3124
239,32.3124
240,32.3124
241,32.3124
242,32.3124
243,32.3124
244,32.3124
245,32.3124
246,32.3124
247,32.3124
248,32.3124
249,32.3124
250,32.3124
251,32.3124
252,31.1517605263158
253,30.781
254,30.781
255,30.781
256,30.781
257,30.781
258,30.781
259,30.781
260,30.781
261,30.781
262,30.781
263,30.781
264,30.781
265,30.781
266,30.781
267,30.781
268,30.781
269,30.781
270,30.781
271,30.781
272,30.781
273,30.781
274,30.781
275,30.781
276,30.781
277,30.781
278,30.781
279,30.781
280,30.781
281,30.781
282,30.781
283,30.781
284,30.781
285,30.781
286,30.4908447368421
287,28.0406131578948
288,26.4931
289,26.4931
290,26.4931
291,26.4931
292,26.4931
293,26.4931
294,26.4931
295,26.4931
296,26.4931
297,26.4931
298,26.4931
299,26.4931
300,26.4931
