"media_open; media_play; media_end","2022/11/03 14:42:46:693; 2022/11/03 14:42:54:145; 2022/11/03 14:47:54:346"
"Multimedia File","v6.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,-10
2,-10
3,-10
4,-10
5,-10
6,-9.47368421052632
7,0
8,0
9,0
10,0
11,2.5
12,16.1111111111111
13,20
14,30
15,30
16,30
17,30
18,30
19,30
20,30
21,39.4736842105263
22,40
23,40
24,44.2105263157895
25,50
26,50
27,50
28,50
29,50
30,50
31,50
32,50
33,50
34,50
35,50
36,50
37,50
38,50
39,50
40,50
41,50
42,50
43,50
44,50
45,50
46,50
47,50
48,19.4736842105263
49,-18.9473684210526
50,-20
51,-20
52,-20
53,-20
54,-20
55,-20
56,-20
57,-20
58,-15.2631578947368
59,16.8421052631579
60,31.0526315789474
61,40
62,40
63,40
64,40
65,40
66,40
67,40
68,40
69,40
70,40
71,40
72,40
73,40
74,40
75,40
76,40
77,40
78,40
79,40
80,40
81,40
82,40
83,40
84,40
85,40
86,40
87,40
88,40
89,40
90,40
91,40
92,40
93,40
94,40
95,40
96,40
97,40
98,40
99,40
100,40
101,40
102,40
103,40
104,40
105,40
106,40
107,40
108,40
109,40
110,40
111,40
112,40
113,40
114,40
115,40
116,40
117,40
118,40
119,40
120,40
121,40
122,40
123,40
124,40
125,40
126,40
127,40
128,40
129,40
130,40
131,40
132,40
133,37.8947368421053
134,-3.68421052631579
135,-30
136,-30
137,-30
138,-30
139,-30
140,-30
141,-30
142,-30
143,-30
144,-30
145,-30
146,-30
147,-30
148,-30
149,-30
150,-30
151,-30
152,-30
153,-30
154,-30
155,-30
156,-30
157,-30
158,-30
159,-30
160,-30
161,-30
162,-30
163,-30
164,-30
165,-30
166,-30
167,-30
168,-30
169,-30
170,-30
171,-30
172,-30
173,-30
174,-30
175,-28.9473684210526
176,8
177,33.1578947368421
178,40
179,43.1578947368421
180,74.7368421052632
181,80
182,80
183,80
184,80
185,80
186,80
187,80
188,80
189,80
190,80
191,80
192,80
193,80
194,80
195,80
196,80
197,80
198,80
199,80
200,80
201,80
202,76.8421052631579
203,45.2631578947368
204,34.7368421052632
205,20
206,12.7777777777778
207,10
208,10
209,10
210,10
211,10
212,10
213,10
214,10
215,10
216,10
217,10
218,10
219,10
220,10
221,10
222,10
223,10
224,10
225,10
226,10
227,10
228,10
229,14.5
230,30.5263157894737
231,40
232,40
233,31.0526315789474
234,3.68421052631579
235,0
236,0
237,0
238,0
239,5
240,38.3333333333333
241,40
242,40
243,40
244,40
245,40
246,40
247,40
248,40
249,40
250,40
251,40
252,40
253,40
254,40
255,40
256,40
257,40
258,40
259,40
260,40
261,40
262,40
263,40
264,45.2631578947368
265,47.3684210526316
266,14.7368421052632
267,10
268,31.0526315789474
269,50
270,50
271,50
272,50
273,50
274,50
275,50
276,50
277,50
278,50
279,50
280,50
281,50
282,50
283,50
284,50
285,50
286,50
287,50
288,50
289,50
290,50
291,50
292,50
293,50
294,50
295,50
296,50
297,50
298,50
299,50
300,50
