"media_open; media_play; media_end","2022/11/10 15:40:10:768; 2022/11/10 15:40:16:891; 2022/11/10 15:45:17:196"
"Multimedia File","v7.mp4"
"Lower Label","Negative Affect"
"Upper Label","Positive Affect"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,-0.677047368421052
4,-14.21135
5,-12.9684894736842
6,32.6831526315789
7,43.8865105263158
8,53.8808736842105
9,58.7974447368421
10,74.1436210526316
11,69.5333289473684
12,61.7635078947368
13,75.5138236842105
14,90.6665552631579
15,92.4719789473684
16,94.379785
17,91.1859694444444
18,89.441447368421
19,85.7177447368421
20,84.3798
21,98.1945684210526
22,100
23,100
24,100
25,100
26,100
27,85.8466973684211
28,36.523735
29,-1.85469166666667
30,-12.5977315789474
31,39.1311289473684
32,17.1919052631579
33,-2.65172894736842
34,-2.90965
35,-2.65171315789474
36,-1.32991315789474
37,1.81348157894737
38,4.94076052631579
39,-2.6678447368421
40,-1.179175
41,8.55161842105263
42,24.5103526315789
43,26.7994
44,26.7994
45,28.8143842105263
46,37.1322631578947
47,14.0324078947368
48,25.88055
49,1.57168684210526
50,-25.2679975
51,-49.2938638888889
52,-57.7335394736842
53,-52.7041236842105
54,-49.5929631578947
55,-54.9157725
56,-66.8090605263158
57,-70.5802305555555
58,-76.41655
59,-76.41655
60,-52.9781578947368
61,-69.0658684210526
62,-74.5466368421052
63,-76.2634025
64,-77.556575
65,-76.41655
66,-76.6583473684211
67,-84.3636736842105
68,-84.9601078947369
69,-84.68605
70,-84.4478555555555
71,-84.3798
72,-84.3798
73,-84.3798
74,-84.3798
75,-84.3798
76,-85.8789447368421
77,-86.52375
78,-85.2341447368421
79,-93.3263552631579
80,-98.4363657894737
81,-90.5666225
82,-87.2043583333333
83,-85.7660973684211
84,-89.5381710526316
85,-92.6331815789474
86,-92.6493
87,-92.6493
88,-92.6493
89,-92.6493
90,-92.6493
91,-92.6493
92,-92.6493
93,-97.8730694444444
94,-98.3614275
95,-98.16235
96,-98.16235
97,-98.16235
98,-98.16235
99,-98.16235
100,-98.16235
101,-98.16235
102,-98.16235
103,-98.16235
104,-96.1795842105263
105,-95.7121
106,-95.7121
107,-95.7121
108,-95.7121
109,-95.7121
110,-95.7121
111,-95.7121
112,-95.7121
113,-95.7121
114,-95.7121
115,-95.7121
116,-95.7121
117,-95.7121
118,-95.7121
119,-95.7121
120,-95.7121
121,-95.7121
122,-95.7121
123,-95.7121
124,-95.7121
125,-97.93665
126,-100
127,-100
128,-100
129,-100
130,-100
131,-100
132,-97.5206047619048
133,-84.0735138888889
134,-80.7689342105263
135,-84.9117394736842
136,-97.8076894736842
137,-97.85605
138,-97.85605
139,-97.595715
140,-89.1835263157895
141,-82.8967526315789
142,-18.5782289473684
143,28.7176578947368
144,40.3723631578947
145,19.7710947368421
146,27.4441815789474
147,26.8316315789474
148,26.4608710526316
149,40.8076131578947
150,53.9614789473684
151,51.91425
152,51.91425
153,51.91425
154,51.91425
155,51.91425
156,51.91425
157,51.91425
158,51.91425
159,51.91425
160,50.643185
161,52.8331
162,51.7781166666667
163,66.2174625
164,70.27395
165,69.06585
166,71.36294
167,79.6566342105263
168,81.0107
169,81.0107
170,81.0107
171,81.0107
172,81.0107
173,81.0107
174,81.0107
175,81.0107
176,81.0107
177,81.0107
178,81.0107
179,81.0107
180,64.9069026315789
181,49.738047368421
182,53.8970026315789
183,55.1059894736842
184,55.6540657894737
185,40.2434105263158
186,38.5185763157895
187,42.2906421052632
188,58.3622105263158
189,53.1135736842105
190,49.0448947368421
191,52.2527684210527
192,56.2021342105263
193,54.36445
194,37.3740578947368
195,27.21285
196,27.10565
197,27.10565
198,27.10565
199,27.10565
200,27.10565
201,27.10565
202,27.10565
203,27.10565
204,28.3477888888889
205,23.96631
206,25.1318722222222
207,32.9410815789474
208,49.657452631579
209,53.8325263157895
210,54.97705
211,54.5579289473684
212,52.81695
213,53.7519
214,53.7519
215,53.7519
216,53.7519
217,53.7519
218,53.7519
219,53.7519
220,53.7519
221,53.7519
222,53.7519
223,52.978152631579
224,53.1563833333333
225,53.44565
226,53.44565
227,53.44565
228,53.44565
229,53.44565
230,53.44565
231,53.44565
232,53.44565
233,53.44565
234,53.44565
235,53.44565
236,53.44565
237,70.9375527777778
238,88.7644026315789
239,92.31239
240,93.26185
241,93.26185
242,93.26185
243,93.26185
244,93.26185
245,68.7595605263158
246,-43.5318815789474
247,-78.3186842105263
248,-81.8812
249,-74.80455
250,-73.5149631578947
251,-76.4165526315789
252,-58.0720605263158
253,-11.7917263157895
254,31.4580368421053
255,69.2592894736842
256,80.6077236842106
257,80.8656421052631
258,80.70445
259,80.70445
260,80.70445
261,77.6586694444444
262,65.7274125
263,55.453475
264,54.97705
265,54.97705
266,54.97705
267,54.97705
268,54.97705
269,54.97705
270,52.1560421052631
271,53.7196789473684
272,65.0358631578947
273,83.9284210526316
274,86.83
275,86.2658078947369
276,80.8011710526315
277,80.0596578947368
278,76.1908578947368
279,67.6472842105263
280,67.748845
281,56.8487277777778
282,51.6563131578947
283,53.9292315789474
284,54.3966921052632
285,54.557902631579
286,55.0415078947368
287,55.89585
288,55.89585
289,58.107875
290,67.6311763157895
291,78.6249842105263
292,80.5109973684211
293,82.5098657894737
294,83.15465
295,83.15465
296,82.2868722222222
297,77.3659975
298,72.4689583333334
299,75.0947105263158
300,82.924965
