"media_open; media_play; media_end","2022/11/09 10:52:34:516; 2022/11/09 10:52:41:495; 2022/11/09 10:56:41:682"
"Multimedia File","v8.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,-35.3751894736842
2,-90.0765725
3,-18.3686684210526
4,2.10363421052631
5,-1.072
6,-1.072
7,-1.072
8,-1.072
9,-1.072
10,-1.072
11,-10.8890289473684
12,-11.2098025
13,-25.4041305555556
14,-22.2052
15,-22.2052
16,-22.2052
17,-9.8928
18,-6.13362368421053
19,-4.77956315789474
20,-2.78069210526316
21,3.10308947368421
22,2.90965
23,2.90965
24,2.90965
25,2.90965
26,2.09290277777777
27,1.37824999999999
28,1.37824999999999
29,1.37824999999999
30,1.37824999999999
31,1.37824999999999
32,1.37824999999999
33,1.37824999999999
34,1.37824999999999
35,1.37824999999999
36,1.37824999999999
37,1.37824999999999
38,1.37824999999999
39,1.37824999999999
40,1.37824999999999
41,1.37824999999999
42,-3.90506
43,-74.2045333333333
44,-94.487
45,-94.487
46,-94.487
47,-94.487
48,-94.487
49,-94.487
50,-94.487
51,-94.487
52,-94.9867131578947
53,-97.2112552631579
54,-100
55,-100
56,-100
57,-100
58,-100
59,-89.6026447368421
60,-20.7544157894737
61,-0.185389473684207
62,-0.153149999999997
63,-0.153149999999997
64,-0.153149999999997
65,-0.153149999999997
66,-0.153149999999997
67,6.64945789473684
68,19.3295861111111
69,22.9862175
70,23.7366
71,33.16675
72,40.7753552631579
73,51.8820078947369
74,51.91425
75,51.91425
76,51.91425
77,51.91425
78,51.91425
79,51.9464868421053
80,52.978152631579
81,53.13935
82,53.13935
83,53.13935
84,53.62295
85,55.5896
86,55.5896
87,55.5896
88,55.5896
89,55.5896
90,55.5896
91,55.5896
92,55.5896
93,55.5896
94,55.5896
95,55.5896
96,55.5896
97,55.5896
98,56.5890236842105
99,56.8147
100,56.8147
101,56.8147
102,56.8147
103,56.8147
104,24.7037947368421
105,-96.485847368421
106,-100
107,-69.0488361111111
108,-5.61779210526316
109,-54.1549289473684
110,-0.749586842105267
111,9.3415
112,9.3415
113,9.3415
114,-29.4752973684211
115,-100
116,-97.2273710526316
117,-16.7602583333333
118,14.7320175
119,13.9034289473684
120,13.3231
121,13.3231
122,22.5598315789474
123,30.781
124,30.781
125,30.781
126,30.781
127,30.781
128,30.781
129,30.643175
130,15.6882666666667
131,39.3721425
132,40.58195
133,40.58195
134,40.58195
135,40.58195
136,40.58195
137,40.58195
138,40.58195
139,40.58195
140,40.58195
141,40.58195
142,45.8692578947369
143,46.1433078947368
144,45.4824
145,45.4824
146,29.2979842105263
147,-82.7803333333333
148,-100
149,-100
150,-100
151,-100
152,-100
153,-100
154,-100
155,-100
156,-100
157,-100
158,-100
159,-100
160,-100
161,-100
162,-100
163,-100
164,-100
165,-100
166,-100
167,-53.5101131578948
168,24.1396
169,45.4824
170,45.4824
171,45.4824
172,45.4824
173,43.7575657894737
174,35.2784605263158
175,38.438
176,38.438
177,38.438
178,38.438
179,36.7994075
180,-59.2989638888889
181,-60.24502
182,-58.3461
183,9.479325
184,29.1045342105263
185,37.0516789473684
186,38.438
187,38.438
188,38.438
189,38.438
190,39.9532684210526
191,61.6667921052631
192,69.1142157894737
193,67.84075
194,67.84075
195,67.84075
196,67.84075
197,67.84075
198,74.192
199,80.6560684210526
200,80.39815
201,80.39815
202,80.39815
203,80.39815
204,80.39815
205,80.39815
206,80.39815
207,80.39815
208,93.3843925
209,92.9556
210,92.9556
211,92.9556
212,92.9556
213,92.9556
214,92.9556
215,92.9556
216,92.9556
217,92.9556
218,92.9556
219,92.9556
220,92.9556
221,92.9556
222,92.6976789473684
223,91.4242
224,91.4242
225,91.4242
226,91.4242
227,91.4242
228,91.4242
229,91.4242
230,91.4242
231,91.4242
232,91.4242
233,79.5599184210527
234,71.4193657894737
235,67.2282
236,67.2282
237,67.2282
238,67.2282
239,67.2282
240,75.2236631578947
